# http://fitlayout.github.io/resource/art10 -> https://www.imdb.com/title/tt0362359/fullcredits/
character=Sandy Cohen	name=Peter Gallagher	episodes=92 episodes, 2003-2007 	
character=Kirsten Cohen	name=Kelly Rowan	episodes=92 episodes, 2003-2007 	
character=Ryan Atwood	name=Ben McKenzie	episodes=92 episodes, 2003-2007 	
character=Seth Cohen	name=Adam Brody	episodes=92 episodes, 2003-2007 	
character=Summer Roberts	name=Rachel Bilson	episodes=92 episodes, 2003-2007 	
character=Julie Cooper	name=Melinda Clarke	episodes=90 episodes, 2003-2007 	
character=Marissa Cooper	name=Mischa Barton	episodes=76 episodes, 2003-2007 	
character=Jimmy Cooper	name=Tate Donovan	episodes=39 episodes, 2003-2006 	
character=Caleb Nichol	name=Alan Dale	episodes=37 episodes, 2003-2005 	
character=Taylor Townsend	name=Autumn Reeser	episodes=31 episodes, 2005-2007 	
character=Luke Ward	name=Chris Carmack	episodes=28 episodes, 2003-2004 	
character=Kaitlin Cooper	name=Willa Holland	episodes=22 episodes, 2006-2007 	
character=Zach Stevens	name=Michael Cassidy	episodes=19 episodes, 2004-2005 	
character=Dr. Neil Roberts	name=Michael Nouri	episodes=19 episodes, 2004-2007 	
character=Anna Stern	name=Samaire Armstrong	episodes=15 episodes, 2003-2006 	
character=Kevin Volchok	name=Cam Gigandet	episodes=15 episodes, 2005-2006 	
character=Matt Ramsey	name=Jeff Hephner	episodes=13 episodes, 2005-2006 	
character=Alex Kelly	name=Olivia Wilde	episodes=13 episodes, 2004-2005 	
character=Theresa Diaz	name=Navi Rawat	episodes=12 episodes, 2003-2006 	
character=Hailey Nichol	name=Amanda Righetti	episodes=12 episodes, 2003-2005 	
character=Lindsay Gardner	name=Shannon Lucio	episodes=12 episodes, 2004-2005 	
character=Johnny Harper	name=Ryan Donowho	episodes=11 episodes, 2005-2006 	
character=Brad Ward	name=Wayne Dalglish	episodes=10 episodes, 2006-2007 	
character=Eric Ward	name=Corey Price	episodes=10 episodes, 2006-2007 	
character=Ché	name=Chris Pratt	episodes=9 episodes, 2006-2007 	
character=Trey Atwood	name=Logan Marshall-Green	episodes=9 episodes, 2005-2006 	
character=Chili	name=Johnny Lewis	episodes=9 episodes, 2005-2006 	
character=Childress	name=Johnny Lewis	episodes=9 episodes, 2005-2006 	
character=Dennis 	name=Johnny Lewis	episodes=9 episodes, 2005-2006 	
character=Taryn Baker	name=Kimberly Oja	episodes=9 episodes, 2003-2006 	
character=Veronica Townsend	name=Paula Trickey	episodes=9 episodes, 2005-2007 	
character=Holly Fischer	name=Ashley Hartman	episodes=9 episodes, 2003-2007 	
character=High School Student	name=Danielle Riffenburgh	episodes=9 episodes, 2003-2004 	
character=Carter Buckley	name=Billy Campbell	episodes=7 episodes, 2005 	
character=Charlotte Morgan	name=Jeri Ryan	episodes=7 episodes, 2005 	
character=Frank Atwood	name=Kevin Sorbo	episodes=7 episodes, 2006-2007 	
character=Jess Sathers	name=Nikki Griffin	episodes=7 episodes, 2005-2006 	
character=Student	name=Chris Kerner	episodes=1 episode, 2006 	
character=Gordon Bullit	name=Gary Grubbs	episodes=6 episodes, 2006-2007 	
character=Spencer Bullit	name=Brandon Quinn	episodes=6 episodes, 2006-2007 	
character=Oliver Trask	name=Taylor Handley	episodes=6 episodes, 2003-2004 	
character=Dr. Kim	name=Rosalind Chao	episodes=6 episodes, 2003-2006 	
character=D.J.	name=Nicholas Gonzalez	episodes=6 episodes, 2004-2005 	
character=Sadie Campbell	name=Nikki Reed	episodes=6 episodes, 2006 	
character=Kaitlin Cooper	name=Shailene Woodley	episodes=6 episodes, 2003-2004 	
character=Rachel Hoffman	name=Bonnie Somerville	episodes=5 episodes, 2003 	
character=Dawn Atwood	name=Daphne Ashbrook	episodes=5 episodes, 2003-2006 	
character=Chip Saunders	name=Josh Kloss	episodes=5 episodes, 2003 	
character=Lance Baldwin	name=Johnny Messner	episodes=5 episodes, 2005 	
character=Joan	name=Danielle Bisutti	episodes=5 episodes, 2003-2005 	
character=Heather	name=Erin Foster	episodes=5 episodes, 2005-2006 	
character=Ham Guy	name=Craig Susser	episodes=5 episodes, 2006-2007 	
character=Darryl	name=Scott Krinsky	episodes=5 episodes, 2006-2007 	
character=Rebecca Bloom	name=Kim Delaney	episodes=4 episodes, 2005 	
character=Cheerleader	name=Caitlin Kazepis	episodes=5 episodes, 2005 	
character=Reed Carlson	name=Marguerite Moreau	episodes=4 episodes, 2005 	
character=Dean Jack Hess	name=Eric Mabius	episodes=4 episodes, 2005 	
character=Gwen Harper	name=Lisa Rotondi	episodes=4 episodes, 2005-2006 	
character=Henry Griffin	name=Shaun Duke	episodes=4 episodes, 2006 	
character=Greg Hoades	name=Lamont Thompson	episodes=4 episodes, 2004-2006 	
character=Renee Wheeler	name=Kathleen York	episodes=4 episodes, 2004-2005 	
character=Harbor Heckler	name=Tyson Chambers	episodes=4 episodes, 2005-2006 	
character=Waiter	name=Todd Sherry	episodes=3 episodes, 2003-2007 	
