# http://fitlayout.github.io/resource/art11 -> https://www.imdb.com/title/tt0248654/fullcredits/
character=Nate Fisher	name=Peter Krause	episodes=63 episodes, 2001-2005 	
character=David Fisher	name=Michael C. Hall	episodes=63 episodes, 2001-2005 	
character=Ruth Fisher	name=Frances Conroy	episodes=63 episodes, 2001-2005 	
character=Claire Fisher	name=Lauren Ambrose	episodes=63 episodes, 2001-2005 	
character=Federico 	name=Freddy Rodríguez	episodes=63 episodes, 2001-2005 	
character=Rico	name=Freddy Rodríguez	episodes=63 episodes, 2001-2005 	
character=Diaz	name=Freddy Rodríguez	episodes=63 episodes, 2001-2005 	
character=Keith Charles	name=Mathew St. Patrick	episodes=63 episodes, 2001-2005 	
character=Brenda Chenowith	name=Rachel Griffiths	episodes=63 episodes, 2001-2005 	
character=Vanessa Diaz	name=Justina Machado	episodes=42 episodes, 2001-2005 	
character=Billy Chenowith	name=Jeremy Sisto	episodes=29 episodes, 2001-2005 	
character=Maya Fisher	name=Brenna Tosh	episodes=28 episodes, 2003-2005 	
character=Maya Fisher	name=Bronwyn Tosh	episodes=28 episodes, 2003-2005 	
character=George Sibley	name=James Cromwell	episodes=27 episodes, 2003-2005 	
character=Lisa Kimmel Fisher	name=Lili Taylor	episodes=22 episodes, 2002-2005 	
character=Russell Corwin	name=Ben Foster	episodes=21 episodes, 2003-2005 	
character=Margaret Chenowith	name=Joanna Cassidy	episodes=20 episodes, 2001-2005 	
character=Nathaniel Fisher	name=Richard Jenkins	episodes=20 episodes, 2001-2005 	
character=Julio Diaz	name=Giancarlo Rodriguez	episodes=21 episodes, 2001-2005 	
character=Nikolai	name=Ed O	episodes=18 episodes, 2001-2005 	
character=Nikolai	name=Ross	episodes=18 episodes, 2001-2005 	
character=Olivier Castro-Staal	name=Peter Macdissi	episodes=15 episodes, 2003-2005 	
character=Father Jack	name=Tim Maculan	episodes=13 episodes, 2001-2005 	
character=Arthur Martin	name=Rainn Wilson	episodes=13 episodes, 2003-2005 	
character=Maggie Sibley	name=Tina Holmes	episodes=13 episodes, 2004-2005 	
character=Anita Miller	name=Sprague Grayden	episodes=12 episodes, 2004-2005 	
character=Gabriel Dimas	name=Eric Balfour	episodes=12 episodes, 2001-2003 	
character=Taylor	name=Aysia Polk	episodes=12 episodes, 2002-2003 	
character=Bettina	name=Kathy Bates	episodes=10 episodes, 2003-2005 	
character=Jimmy	name=Peter Facinelli	episodes=9 episodes, 2004-2005 	
character=Parker McKenna	name=Marina Black	episodes=9 episodes, 2001-2002 	
character=Joe	name=Justin Theroux	episodes=8 episodes, 2003-2004 	
character=Matthew Gilardi	name=Gary Hershberger	episodes=8 episodes, 2001-2002 	
character=Angelica	name=Melissa Marsala	episodes=8 episodes, 2002-2005 	
character=Sophia	name=Idalis DeLeon	episodes=8 episodes, 2003-2004 	
character=Hiram Gunderson	name=Ed Begley Jr.	episodes=8 episodes, 2001-2005 	
character=Gary Deitman	name=David Norona	episodes=8 episodes, 2001-2002 	
character=Anthony	name=C.J. Sanders	episodes=8 episodes, 2005 	
character=Edie	name=Mena Suvari	episodes=7 episodes, 2004 	
character=Patrick	name=David Hornsby	episodes=7 episodes, 2003 	
character=Sarah O	name=Patricia Clarkson	episodes=6 episodes, 2002-2005 	
character=Connor	name=Patricia Clarkson	episodes=6 episodes, 2002-2005 	
character=Robbie	name=Joel Brooks	episodes=7 episodes, 2001-2002 	
character=Eddie	name=Terrell Clayton	episodes=7 episodes, 2001-2002 	
character=Durrell	name=Kendre Berry	episodes=7 episodes, 2005 	
character=Melissa	name=Kellie Waymire	episodes=6 episodes, 2002 	
character=Tracy Montrose Blair	name=Dina Spybey-Waters	episodes=6 episodes, 2001 	
character=Jackie Feldman	name=Anne Ramsay	episodes=6 episodes, 2005 	
character=Roger Pasquese	name=Matt Malloy	episodes=6 episodes, 2004-2005 	
character=Barb	name=Julie Dretzin	episodes=6 episodes, 2004-2005 	
character=Hoyt	name=Jeff Yagher	episodes=6 episodes, 2004-2005 	
character=Dr. Bernard Chenowith	name=Robert Foxworth	episodes=5 episodes, 2001-2003 	
character=Ted Fairwell	name=Chris Messina	episodes=6 episodes, 2005 	
character=Karla	name=Nicki Micheaux	episodes=5 episodes, 2002 	
character=Michaela	name=Steffani Brass	episodes=5 episodes, 2004-2005 	
character=Todd	name=Robert Cicchini	episodes=5 episodes, 2003-2005 	
character=Carol Ward	name=Catherine O	episodes=4 episodes, 2003-2005 	
character=Carol Ward	name=Hara	episodes=4 episodes, 2003-2005 	
character=Jake	name=Michael Weston	episodes=4 episodes, 2004-2005 	
character=Andy	name=Timm Sharp	episodes=4 episodes, 2001-2002 	
character=Celeste	name=Michelle Trachtenberg	episodes=4 episodes, 2004 	
character=Lucille Charles	name=Beverly Todd	episodes=4 episodes, 2002-2003 	
character=Terry	name=Matt Winston	episodes=4 episodes, 2003-2004 	
character=Keith	name=Eric Bruskotter	episodes=4 episodes, 2002 	
character=Partner	name=Eric Bruskotter	episodes=4 episodes, 2002 	
character=Marianne	name=Christine Tucci	episodes=4 episodes, 2005 	
character=Ramon	name=Ricardo Chavira	episodes=4 episodes, 2002 	
character=Kirsten	name=Abby Brammell	episodes=4 episodes, 2005 	
character=Duane	name=James Black	episodes=4 episodes, 2004 	
character=Johnny	name=Kevin Rankin	episodes=4 episodes, 2005 	
character=Mitzi Dalton Huntley	name=Julie White	episodes=4 episodes, 2001-2002 	
character=Dana	name=Myndy Crist	episodes=4 episodes, 2003-2004 	
character=Phil	name=John Paul Pitoc	episodes=4 episodes, 2002-2003 	
character=Art Student	name=Tenaya Cleveland	episodes=1 episode, 2003 	
