# http://fitlayout.github.io/resource/art12 -> https://www.imdb.com/title/tt1119644/fullcredits/
character=Olivia Dunham	name=Anna Torv	episodes=100 episodes, 2008-2013 	
character=Peter Bishop	name=Joshua Jackson	episodes=100 episodes, 2008-2013 	
character=Astrid Farnsworth	name=Jasika Nicole	episodes=100 episodes, 2008-2013 	
character=Dr. Walter Bishop	name=John Noble	episodes=100 episodes, 2008-2013 	
character=Phillip Broyles	name=Lance Reddick	episodes=90 episodes, 2008-2013 	
character=Nina Sharp	name=Blair Brown	episodes=90 episodes, 2008-2012 	
character=The Observer	name=Michael Cerveris	episodes=20 episodes, 2008-2013 	
character=Charlie Francis	name=Kirk Acevedo	episodes=34 episodes, 2008-2011 	
character=Lincoln Lee	name=Seth Gabel	episodes=34 episodes, 2010-2013 	
character=Brandon Fayette	name=Ryan McDonald	episodes=20 episodes, 2009-2012 	
character=John Scott	name=Mark Valley	episodes=13 episodes, 2008-2009 	
character=Captain Windmark	name=Michael Kopsa	episodes=11 episodes, 2012-2013 	
character=Ella	name=Lily Pilblad	episodes=11 episodes, 2009-2010 	
character=Dr. William Bell	name=Leonard Nimoy	episodes=8 episodes, 2009-2012 	
character=Rachel	name=Ari Graynor	episodes=10 episodes, 2009-2010 	
character=December	name=Eugene Lipinski	episodes=9 episodes, 2009-2013 	
character=David Robert Jones	name=Jared Harris	episodes=9 episodes, 2008-2012 	
character=Thomas Jerome Newton	name=Sebastian Roché	episodes=6 episodes, 2009-2010 	
character=Anil	name=Shaun Smyth	episodes=7 episodes, 2012-2013 	
character=Sam Weiss	name=Kevin Corrigan	episodes=7 episodes, 2009-2011 	
character=Henrietta Bishop	name=Georgina Haig	episodes=6 episodes, 2012 	
character=FBI Agent Tim	name=Jarod Joseph	episodes=6 episodes, 2010-2012 	
character=Michael	name=Rowan Longworth	episodes=6 episodes, 2012-2013 	
character=Young Etta	name=Abagayle Hardwick	episodes=5 episodes, 2012-2013 	
character=Alternate Elizabeth Bishop	name=Orla Brady	episodes=5 episodes, 2010-2012 	
character=Edward Markham	name=Clark Middleton	episodes=5 episodes, 2009-2012 	
character=Mitchell Loeb	name=Chance Kelly	episodes=5 episodes, 2008-2009 	
character=Mueller	name=Michael J Rogers	episodes=5 episodes, 2012 	
character=ND Agent 	name=Darby Lynn Totten	episodes=5 episodes, 2008-2009 	
character=Sanford Harris	name=Michael Gaston	episodes=4 episodes, 2009 	
character=Senator James Van Horn	name=Gerard Plunkett	episodes=4 episodes, 2009-2012 	
character=Frank Stanton	name=Philip Winchester	episodes=4 episodes, 2010-2011 	
character=Store Owner	name=Stefan Arngrim	episodes=4 episodes, 2009-2010 	
character=Alternate Diane Broyles	name=Karen Holness	episodes=4 episodes, 2009-2012 	
character=Major Warner	name=Heather Doerksen	episodes=4 episodes, 2010-2011 	
character=Assistant	name=Anna Van Hooft	episodes=4 episodes, 2009-2012 	
character=Nina	name=Anna Van Hooft	episodes=4 episodes, 2009-2012 	
character=ND Agent	name=Chris Shields	episodes=4 episodes, 2009-2011 	
character=Observer 	name=Jordan Schartner	episodes=4 episodes, 2012-2013 	
character=Nick Lane	name=David Call	episodes=3 episodes, 2009-2012 	
character=Marilyn Dunham	name=Amy Madigan	episodes=3 episodes, 2010-2011 	
character=Henry Arliss Higgins	name=Andre Royo	episodes=3 episodes, 2010-2011 	
character=Observer 	name=Ian Butcher	episodes=3 episodes, 2012-2013 	
character=Nadine Park	name=Michelle Krusiec	episodes=3 episodes, 2011-2012 	
character=Jill Ruiz	name=Paula Giroday	episodes=3 episodes, 2011 	
character=Nurse	name=Diana Pavlovská	episodes=3 episodes, 2010-2012 	
character=Agent Rodriguez	name=Ash Roeca	episodes=3 episodes, 2008-2009 	
character=Agent 	name=Chad Gittens	episodes=3 episodes, 2009 	
character=Agent Harrison	name=Duncan Spencer	episodes=3 episodes, 2010-2011 	
character=Dr. Carla Warren	name=Jenni Blong	episodes=2 episodes, 2010-2012 	
character=Junior Agent	name=Nelson Peña	episodes=2 episodes, 2009 	
character=Agent 	name=Mig Macario	episodes=2 episodes, 2010 	
character=ND Agent	name=Matthew Quinn Martin	episodes=2 episodes, 2008-2009 	
character=The Commander	name=James Kidnie	episodes=2 episodes, 2013 	
character=Hybrid	name=Roger Cross	episodes=2 episodes, 2009 	
character=CIA Agent Edwards	name=JR Bourne	episodes=2 episodes, 2009-2011 	
