# http://fitlayout.github.io/resource/art13 -> https://www.imdb.com/title/tt0903747/fullcredits/
character=Walter White	name=Bryan Cranston	episodes=62 episodes, 2008-2013 	
character=Skyler White	name=Anna Gunn	episodes=62 episodes, 2008-2013 	
character=Jesse Pinkman	name=Aaron Paul	episodes=62 episodes, 2008-2013 	
character=Marie Schrader	name=Betsy Brandt	episodes=62 episodes, 2008-2013 	
character=Walter White, Jr.	name=RJ Mitte	episodes=62 episodes, 2008-2013 	
character=Hank Schrader	name=Dean Norris	episodes=62 episodes, 2008-2013 	
character=Saul Goodman	name=Bob Odenkirk	episodes=43 episodes, 2009-2013 	
character=Steven Gomez	name=Steven Michael Quezada	episodes=33 episodes, 2008-2013 	
character=Mike Ehrmantraut	name=Jonathan Banks	episodes=28 episodes, 2009-2012 	
character=Gus Fring	name=Giancarlo Esposito	episodes=26 episodes, 2009-2011 	
character=Skinny Pete	name=Charles Baker	episodes=15 episodes, 2008-2013 	
character=Todd	name=Jesse Plemons	episodes=13 episodes, 2012-2013 	
character=Ted Beneke	name=Christopher Cousins	episodes=13 episodes, 2009-2012 	
character=Lydia Rodarte-Quayle	name=Laura Fraser	episodes=12 episodes, 2012-2013 	
character=Badger	name=Matt Jones	episodes=12 episodes, 2008-2013 	
character=ASAC George Merkert	name=Michael Shamus Wiles	episodes=11 episodes, 2009-2012 	
character=Huell	name=Lavell Crawford	episodes=11 episodes, 2011-2013 	
character=Tyrus Kitt	name=Ray Campbell	episodes=10 episodes, 2011 	
character=Jane Margolis	name=Krysten Ritter	episodes=9 episodes, 2009-2010 	
character=Carmen Molina	name=Carmen Serano	episodes=9 episodes, 2008-2013 	
character=Andrea Cantillo	name=Emily Rios	episodes=9 episodes, 2010-2013 	
character=Francesca	name=Tina Parker	episodes=9 episodes, 2009-2013 	
character=Tio Salamanca	name=Mark Margolis	episodes=8 episodes, 2009-2011 	
character=Victor	name=Jeremiah Bitsui	episodes=8 episodes, 2009-2011 	
character=Brock Cantillo	name=Ian Posada	episodes=8 episodes, 2010-2013 	
character=Gale Boetticher	name=David Costabile	episodes=7 episodes, 2010-2011 	
character=Uncle Jack	name=Michael Bowen	episodes=7 episodes, 2012-2013 	
character=Dr. Delcavoli	name=David House	episodes=7 episodes, 2008-2009 	
character=Kenny	name=Kevin Rankin	episodes=7 episodes, 2012-2013 	
character=Leonel Salamanca	name=Daniel Moncada	episodes=6 episodes, 2010-2011 	
character=Frankie	name=Patrick Sane	episodes=6 episodes, 2012-2013 	
character=Holly White	name=Moira Bryg MacDonald	episodes=1 episode, 2013 	
character=Gretchen Schwartz	name=Jessica Hecht	episodes=5 episodes, 2008-2013 	
character=Kuby	name=Bill Burr	episodes=5 episodes, 2011-2013 	
character=Bogdan Wolynetz	name=Marius Stan	episodes=5 episodes, 2008-2011 	
character=Combo	name=Rodney Rush	episodes=5 episodes, 2008-2010 	
character=SAC Ramey	name=Todd Terry	episodes=5 episodes, 2009-2013 	
character=Marco Salamanca	name=Luis Moncada	episodes=5 episodes, 2010 	
character=Kaylee Ehrmantraut	name=Kaija Bales	episodes=5 episodes, 2010-2012 	
character=Lester	name=Tait Fletcher	episodes=5 episodes, 2013 	
character=Matt	name=Matthew T. Metzler	episodes=5 episodes, 2013 	
character=Tuco Salamanca	name=Raymond Cruz	episodes=4 episodes, 2008-2009 	
character=Mrs. Pinkman	name=Tess Harper	episodes=4 episodes, 2008-2010 	
character=Donald Margolis	name=John de Lancie	episodes=4 episodes, 2009-2010 	
character=Group Leader	name=Jere Burns	episodes=4 episodes, 2010-2011 	
character=APD Detective Tim Roberts	name=Nigel Gibbs	episodes=4 episodes, 2009-2011 	
character=Clovis	name=Tom Kiesche	episodes=4 episodes, 2009-2010 	
character=Gaff	name=Maurice Compte	episodes=4 episodes, 2011 	
character=Driver	name=Morse Bicknell	episodes=4 episodes, 2012-2013 	
character=Declan	name=Morse Bicknell	episodes=4 episodes, 2012-2013 	
character=Chris Mara	name=Christopher King	episodes=1 episode, 2011-2012 	
character=Krazy-8	name=Max Arciniega	episodes=3 episodes, 2008 	
character=Mr. Pinkman	name=Michael Bofshever	episodes=3 episodes, 2008-2010 	
character=Elliott Schwartz	name=Adam Godley	episodes=3 episodes, 2008-2013 	
character=Pamela	name=Julie Dretzin	episodes=3 episodes, 2010 	
character=No-Doze	name=Jesus Jr.	episodes=3 episodes, 2008-2009 	
character=Declan	name=Louis Ferreira	episodes=3 episodes, 2012-2013 	
character=Gonzo	name=Cesar Garcia	episodes=3 episodes, 2008-2009 	
character=Wendy	name=Julia Minesci	episodes=3 episodes, 2008-2010 	
character=Dennis Markowski	name=Mike Batayeh	episodes=3 episodes, 2011-2012 	
character=Juan Bolsa	name=Javier Grajeda	episodes=3 episodes, 2010-2011 	
character=Tomas	name=Angelo Martinez	episodes=3 episodes, 2009-2010 	
character=Detective Kalanchoe	name=Gonzalo Menendez	episodes=3 episodes, 2011-2013 	
character=Dan Wachsberger	name=Chris Freihofer	episodes=3 episodes, 2012 	
character=Rival Dealer 	name=Mike Seal	episodes=3 episodes, 2009-2010 	
character=E.M.T.	name=Christopher Dempsey	episodes=3 episodes, 2008-2010 	
character=Pollos Manager	name=Ashley Kajiki	episodes=3 episodes, 2009-2011 	
character=Janice	name=Mary Sue Evans	episodes=3 episodes, 2010-2013 	
character=Detective Munn	name=Jason Douglas	episodes=3 episodes, 2011-2013 	
character=Rival Dealer 	name=Antonio Leyba	episodes=3 episodes, 2009-2010 	
character=Emilio	name=John Koyama	episodes=2 episodes, 2008 	
character=Tortuga	name=Danny Trejo	episodes=2 episodes, 2009-2010 	
character=Woman	name=Dale Dickey	episodes=2 episodes, 2009 	
character=Spooge	name=Dale Dickey	episodes=2 episodes, 2009 	
character=Spooge	name=David Ury	episodes=2 episodes, 2009 	
character=Lawson	name=Jim Beaver	episodes=2 episodes, 2011-2012 	
character=Dr. Victor Bravenec	name=Sam McMurray	episodes=2 episodes, 2009 	
character=Mr. Gardiner	name=Dan Desmond	episodes=2 episodes, 2009-2010 	
character=Sketchy	name=Jeremy Howard	episodes=2 episodes, 2011 	
character=Old Joe	name=Larry Hankin	episodes=2 episodes, 2010-2012 	
character=Dr. Barry Goodman	name=JB Blanc	episodes=2 episodes, 2011-2012 	
character=Ben	name=Jason Byrd	episodes=2 episodes, 2008 	
character=Duane Chow	name=James Ning	episodes=2 episodes, 2010-2012 	
character=Ron Forenall	name=Russ Dillen	episodes=2 episodes, 2012 	
character=Barry	name=Jonathan Ragsdale	episodes=2 episodes, 2009-2010 	
character=Don Eladio	name=Steven Bauer	episodes=2 episodes, 2011 	
character=Drew Sharp	name=Sam Webb	episodes=2 episodes, 2012 	
character=Office Manager	name=Judith Rane	episodes=2 episodes, 2008-2009 	
character=Louis	name=Caleb Landry Jones	episodes=2 episodes, 2009-2010 	
character=Receptionist	name=Catherine Haun	episodes=2 episodes, 2009-2010 	
character=Grandma	name=Virginia Montero	episodes=2 episodes, 2010-2011 	
character=Security Team 2	name=Eric Steinig	episodes=2 episodes, 2011 	
character=Mike	name=Eric Steinig	episodes=2 episodes, 2011 	
character=Mariano	name=Pedro García	episodes=2 episodes, 2013 	
character=DEA Agent	name=Phil Duran	episodes=2 episodes, 2012-2013 	
character=TV Reporter	name=Antoinette Antonio	episodes=2 episodes, 2012 	
character=Fernando	name=Miguel Martinez	episodes=2 episodes, 2012 	
character=Big Biker	name=John Christopher Hicks	episodes=2 episodes, 2009-2011 	
character=Cartel Henchman	name=Lou Pimber	episodes=2 episodes, 2011 	
character=DEA Agent	name=Matt Berlin	episodes=2 episodes, 2011 	
character=Anchor 	name=Dana Cortez	episodes=2 episodes, 2009-2010 	
character=DEA Agent Scott	name=Joe Nemmers	episodes=2 episodes, 2013 	
character=DEA Point Man	name=David Priemazon	episodes=2 episodes, 2009-2013 	
character=Henchman	name=Mark Vasconcellos	episodes=1 episode, 2013 	
character=Jack	name=Mark Vasconcellos	episodes=1 episode, 2013 	
character=Getz	name=DJ Qualls	episodes=1 episode, 2009 	
character=Dr. Chavez	name=Harry Groener	episodes=1 episode, 2009 	
character=Realtor	name=Beth Bailey	episodes=1 episode, 2008 	
character=Ob-Gyn	name=Shane Marinson	episodes=1 episode, 2008 	
character=Lt. Adam Estiguez	name=Fred Cruz	episodes=1 episode, 2012 	
character=Ken Wins	name=Kyle Bornheimer	episodes=1 episode, 2008 	
character=Police Officer	name=Geoffrey Rivas	episodes=1 episode, 2008 	
character=Manager	name=William Sterchi	episodes=1 episode, 2008 	
character=Hugo Archuleta	name=Pierre Barrera	episodes=1 episode, 2008 	
character=Urinal Guy	name=Jeff Fenter	episodes=1 episode, 2009 	
character=Jock	name=Aaron Hill	episodes=1 episode, 2008 	
character=Jake Pinkman	name=Benjamin Petry	episodes=1 episode, 2008 	
character=Sales Girl	name=Anna Felix	episodes=1 episode, 2008 	
character=Farley	name=Marc Mouchet	episodes=1 episode, 2008 	
character=Backhoe Operator	name=Anthony Wamego	episodes=1 episode, 2008 	
character=Rowdy Prisoner	name=Isaac Kappy	episodes=1 episode, 2009 	
character=Paul Tyree	name=Drew Waters	episodes=1 episode, 2009 	
character=Technician	name=Marcus M. Mauldin	episodes=1 episode, 2009 	
character=Tattooed Biker	name=Tomas Potts	episodes=1 episode, 2009 	
character=Arms Dealer	name=Nate Mooney	episodes=1 episode, 2010 	
character=Scary Skell	name=Damon Herriman	episodes=1 episode, 2011 	
character=Stephanie Doswell	name=Jennifer Hasty	episodes=1 episode, 2011 	
character=Server	name=Kiira Arai	episodes=1 episode, 2008 	
character=Dr. Belknap	name=Gregory Chase	episodes=1 episode, 2008 	
character=Neighborhood Kid	name=Ryan Lee	episodes=1 episode, 2009 	
character=Young Boy	name=Dylan Carr	episodes=1 episode, 2009 	
character=Sara Tyree	name=Shauna McLean	episodes=1 episode, 2009 	
character=Tattooed Woman	name=Cyd Schulte	episodes=1 episode, 2009 	
character=Bob	name=Carl Savering	episodes=1 episode, 2009 	
character=Realtor	name=Louis Herthum	episodes=1 episode, 2010 	
character=Mrs. Ortega	name=Carole Gutierrez	episodes=1 episode, 2010 	
character=Benicio Fuentes	name=Carlo Rota	episodes=1 episode, 2011 	
character=Tucker	name=Blake Berris	episodes=1 episode, 2011 	
character=CID Special Agent	name=Rob Brownstein	episodes=1 episode, 2011 	
character=Peter Schuler	name=Norbert Weisser	episodes=1 episode, 2012 	
character=Scientist	name=Bill Allen	episodes=1 episode, 2008 	
character=Meth Drug Dealer	name=Daniel Serrano	episodes=1 episode, 2008 	
character=DEA Agent	name=Jon Kristian Moore	episodes=1 episode, 2008 	
character=Detective	name=Vic Browder	episodes=1 episode, 2009 	
character=Tweaky Dude	name=Shannon McCormick	episodes=1 episode, 2009 	
character=Young Boy	name=Brandon Carr	episodes=1 episode, 2009 	
character=DEA Agent Vanco	name=J.D. Garfield	episodes=1 episode, 2009 	
character=James Edward Kilkelly	name=Jimmy Daniels	episodes=1 episode, 2009 	
character=Addict	name=Tony Whitecrow	episodes=1 episode, 2009 	
character=Henry Tyree	name=Liam Ruggles	episodes=1 episode, 2009 	
character=Doctor	name=Mark Harelik	episodes=1 episode, 2010 	
character=Doctor	name=Michael Bryan French	episodes=1 episode, 2010 	
character=Tweaker Thief	name=Frank Andrade	episodes=1 episode, 2011 	
character=Mortgage Broker	name=Rutherford Cravens	episodes=1 episode, 2011 	
character=Conductor	name=Jamie McShane	episodes=1 episode, 2012 	
character=Herr Herzog	name=Wolf Muser	episodes=1 episode, 2012 	
character=Ira	name=Franc Ross	episodes=1 episode, 2012 	
character=Secretary	name=Melissa McCurley	episodes=1 episode, 2012 	
character=Dave	name=Bruce McKenzie	episodes=1 episode, 2013 	
character=Music Producer	name=Loren Haynes	episodes=1 episode, 2008 	
character=Jewelry Store Owner	name=Mike Miller	episodes=1 episode, 2008 	
character=Mrs. Pope	name=Vivian Nesbitt	episodes=1 episode, 2008 	
character=Chad	name=Evan Bobrick	episodes=1 episode, 2008 	
character=Bank Teller	name=Tish Rayburn-Miller	episodes=1 episode, 2008 	
character=Mail Lady	name=Cocoa Brown	episodes=1 episode, 2009 	
character=Schlubby Guy 	name=Shenoah Allen	episodes=1 episode, 2009 	
character=Thug Buddy	name=Ka Beesler	episodes=1 episode, 2009 	
character=Nurse	name=Wendy Scott	episodes=1 episode, 2009 	
character=Cara	name=Jolene Purdy	episodes=1 episode, 2010 	
character=Young Marco	name=Ruben Munoz-Soto	episodes=1 episode, 2010 	
character=Locksmith	name=John Lawlor	episodes=1 episode, 2011 	
character=Caregiver	name=Myra Turley	episodes=1 episode, 2011 	
character=Support Group Leader	name=Paul Neis	episodes=1 episode, 2011 	
character=Car Wash Customer	name=Scott Sharot	episodes=1 episode, 2011 	
character=Engineer	name=Myk Watford	episodes=1 episode, 2012 	
character=Chief Food Technician	name=Carrington Vilmont	episodes=1 episode, 2012 	
character=Duty Officer	name=James Harris	episodes=1 episode, 2012 	
character=Locksmith	name=Wray Crawford	episodes=1 episode, 2013 	
character=Girlfriend	name=Roberta Marquez Seret	episodes=1 episode, 2008 	
character=Chad	name=Roberta Marquez Seret	episodes=1 episode, 2008 	
character=Concerned Parent	name=Lorri Oliver	episodes=1 episode, 2008 	
character=Louis	name=Kyle Swimmer	episodes=1 episode, 2008 	
character=Federale	name=Rio Alexander	episodes=1 episode, 2009 	
character=Schlubby Guy 	name=Drew Pollock	episodes=1 episode, 2009 	
character=Jeffrey	name=Andrew Lutheran	episodes=1 episode, 2009 	
character=Wino	name=Argos MacCallum	episodes=1 episode, 2009 	
character=O.M.I. Attendant	name=Phil Howell	episodes=1 episode, 2009 	
character=NA Sponsor	name=Erik J. Bockemeier	episodes=1 episode, 2009 	
character=Sad Faced Girl	name=Taylor Dearden	episodes=1 episode, 2010 	
character=Peng	name=Tiley Chao	episodes=1 episode, 2010 	
character=Young Leonel	name=Victor Munoz-Soto	episodes=1 episode, 2010 	
character=Neighbor	name=John Barbour	episodes=1 episode, 2011 	
