# http://fitlayout.github.io/resource/art14 -> https://www.imdb.com/title/tt0773262/fullcredits/
character=Dexter Morgan	name=Michael C. Hall	episodes=96 episodes, 2006-2013 	
character=Debra Morgan	name=Jennifer Carpenter	episodes=96 episodes, 2006-2013 	
character=Sgt. Angel Batista	name=David Zayas	episodes=96 episodes, 2006-2013 	
character=Harry Morgan	name=James Remar	episodes=96 episodes, 2006-2013 	
character=Vince Masuka	name=C.S. Lee	episodes=95 episodes, 2006-2013 	
character=Lt. Maria LaGuerta	name=Luna Lauren Velez	episodes=85 episodes, 2006-2013 	
character=Det. Joseph 	name=Desmond Harrington	episodes=72 episodes, 2008-2013 	
character=Quinn	name=Desmond Harrington	episodes=72 episodes, 2008-2013 	
character=Joey	name=Desmond Harrington	episodes=72 episodes, 2008-2013 	
character=Rita Bennett	name=Julie Benz	episodes=49 episodes, 2006-2010 	
character=Astor Bennett	name=Christina Robinson	episodes=47 episodes, 2006-2012 	
character=Cody Bennett	name=Preston Bailey	episodes=35 episodes, 2007-2012 	
character=Jamie Batista	name=Aimee Garcia	episodes=34 episodes, 2011-2013 	
character=Harrison Morgan	name=Luke Andrew Kruntchev	episodes=20 episodes, 2010-2012 	
character=Sgt. James Doakes	name=Erik King	episodes=25 episodes, 2006-2012 	
character=Harrison Morgan	name=Evan George Kruntchev	episodes=16 episodes, 2010-2012 	
character=Det. Angie Miller	name=Dana L. Wilson	episodes=18 episodes, 2012-2013 	
character=Hannah McKay	name=Yvonne Strahovski	episodes=17 episodes, 2012-2013 	
character=Anton Briggs	name=David Ramsey	episodes=17 episodes, 2008-2009 	
character=Det. Robert Ramos	name=Pablo Soriano	episodes=5 episodes, 2007-2008 	
character=ADA Miguel Prado	name=Jimmy Smits	episodes=12 episodes, 2008 	
character=Travis Marshall	name=Colin Hanks	episodes=12 episodes, 2011-2012 	
character=Arthur Mitchell	name=John Lithgow	episodes=12 episodes, 2009 	
character=Jacob Elway	name=Sean Patrick Flanery	episodes=12 episodes, 2013 	
character=Det. Jake Simms	name=Francisco Viana	episodes=12 episodes, 2006-2012 	
character=Christine Hill	name=Courtney Ford	episodes=11 episodes, 2009 	
character=Sylvia Prado	name=Valerie Cruz	episodes=11 episodes, 2008-2013 	
