# http://fitlayout.github.io/resource/art15 -> https://www.imdb.com/title/tt1442449/fullcredits/
character=Crixus	name=Manu Bennett	episodes=33 episodes, 2010-2013 	
character=Agron	name=Daniel Feuerriegel	episodes=26 episodes, 2010-2013 	
character=Doctore	name=Peter Mensah	episodes=22 episodes, 2010-2013 	
character=Lucretia	name=Lucy Lawless	episodes=23 episodes, 2010-2012 	
character=Ashur	name=Nick E. Tarabay	episodes=21 episodes, 2010-2012 	
character=Ilithyia	name=Viva Bianca	episodes=21 episodes, 2010-2012 	
character=Spartacus	name=Liam McIntyre	episodes=20 episodes, 2012-2013 	
character=Nasir	name=Pana Hema Taylor	episodes=19 episodes, 2012-2013 	
character=Naevia	name=Cynthia Addai-Robinson	episodes=18 episodes, 2012-2013 	
character=Gannicus	name=Dustin Clare	episodes=16 episodes, 2012-2013 	
character=Donar	name=Heath Jones	episodes=17 episodes, 2012-2013 	
character=Mira	name=Katrina Law	episodes=15 episodes, 2010-2012 	
character=Saxa	name=Ellen Hollman	episodes=14 episodes, 2012-2013 	
character=Lugo	name=Barry Duffield	episodes=14 episodes, 2012-2013 	
character=Kraynos	name=Kelvin Taylor	episodes=7 episodes, 2012-2013 	
character=Spartacus	name=Andy Whitfield	episodes=13 episodes, 2010 	
character=Batiatus	name=John Hannah	episodes=13 episodes, 2010 	
character=Glaber	name=Craig Parker	episodes=13 episodes, 2010-2012 	
character=Naevia	name=Lesley-Ann Brandt	episodes=11 episodes, 2010 	
character=Rhaskos	name=Ioane King	episodes=11 episodes, 2010-2012 	
character=Crassus	name=Simon Merrells	episodes=10 episodes, 2013 	
character=Varro	name=Jai Courtney	episodes=10 episodes, 2010 	
character=Kore	name=Jenna Lind	episodes=10 episodes, 2013 	
character=Tiberius Crassus	name=Christian Antidormi	episodes=10 episodes, 2013 	
character=Laeta	name=Anna Hutchison	episodes=9 episodes, 2013 	
character=Nemetes	name=Ditch Davey	episodes=9 episodes, 2012-2013 	
character=Caesar	name=Todd Lasance	episodes=9 episodes, 2013 	
character=Sibyl	name=Gwendoline Taylor	episodes=9 episodes, 2013 	
character=Hamilcar	name=Siaosi Fonua	episodes=9 episodes, 2010 	
character=Medicus	name=David Austin	episodes=9 episodes, 2010 	
character=Solonius	name=Craig Walsh-Wrightson	episodes=8 episodes, 2010 	
character=Salvius	name=Paul Glover	episodes=8 episodes, 2012 	
character=Castus	name=Blessing Mokgohloa	episodes=8 episodes, 2013 	
character=Commander Rufus	name=Roy Snow	episodes=7 episodes, 2013 	
character=Sura	name=Erin Cummings	episodes=6 episodes, 2010-2012 	
character=Barca	name=Antonio Te Maioha	episodes=6 episodes, 2010 	
character=Pietros	name=Eka Darville	episodes=6 episodes, 2010 	
character=Duro	name=Ande Cunningham	episodes=6 episodes, 2010 	
character=Aurelia	name=Brooke Williams	episodes=6 episodes, 2010-2012 	
character=Magistrate Gallienus	name=Timothy Raby	episodes=6 episodes, 2012 	
character=Mercato	name=Greg Ward	episodes=6 episodes, 2010-2012 	
character=Domitia	name=Janine Burchett	episodes=6 episodes, 2010 	
character=Seppius	name=Tom Hobbs	episodes=6 episodes, 2012 	
character=Gnaeus	name=Raicho Vasilev	episodes=6 episodes, 2010 	
character=Varinius	name=Brett Tucker	episodes=5 episodes, 2012 	
character=Senator Albinius	name=Kevin J. Wilson	episodes=5 episodes, 2010-2012 	
character=Magistrate Calavius	name=John Bach	episodes=5 episodes, 2010 	
character=Marcus	name=Luke Pegler	episodes=5 episodes, 2012 	
character=Numerius	name=Lliam Powell	episodes=5 episodes, 2010 	
character=Senator Metellus	name=Colin Moy	episodes=5 episodes, 2013 	
character=Sanus	name=Anthony Ray Parker	episodes=5 episodes, 2013 	
character=Brictius	name=Jason Lambert	episodes=5 episodes, 2013 	
character=Pregnant Rebel	name=Sacha Stejko	episodes=5 episodes, 2013 	
character=Cook	name=Campbell Cooley	episodes=1 episode, 2010-2012 	
character=Lucius Caelius	name=Peter McCauley	episodes=4 episodes, 2012 	
character=Aulus	name=Mark Mitchinson	episodes=4 episodes, 2010 	
character=Heracleo	name=Vince Colosimo	episodes=4 episodes, 2013 	
character=Sabinus	name=Aaron Jakubenko	episodes=4 episodes, 2013 	
character=Hector	name=Tim Foley	episodes=4 episodes, 2010 	
character=Liscus	name=Joseph Naufahu	episodes=4 episodes, 2012 	
character=Chadara	name=Bonnie Sveen	episodes=4 episodes, 2012 	
character=Belesa	name=Luna Rioumina	episodes=4 episodes, 2013 	
character=Acer	name=Alex Way	episodes=4 episodes, 2012 	
character=Fortis	name=Brian Manthenga	episodes=4 episodes, 2012 	
character=Ulpianus	name=Charlie Bleakley	episodes=4 episodes, 2013 	
character=Ovillus	name=Stephen Papps	episodes=4 episodes, 2012 	
character=Vitus	name=Francis Mossman	episodes=1 episode, 2012 	
character=Kerza	name=Karlos Drinkwater	episodes=3 episodes, 2010 	
character=Ovidius	name=Matthew Chamberlain	episodes=3 episodes, 2010 	
character=Licinia	name=Brooke Harman	episodes=3 episodes, 2010 	
character=Caecilia	name=Tania Nolan	episodes=3 episodes, 2010 	
character=Aemilia	name=Mia Pistorius	episodes=3 episodes, 2010 	
