# http://fitlayout.github.io/resource/art19 -> https://www.imdb.com/title/tt0141842/fullcredits/
character=Tony Soprano	name=James Gandolfini	episodes=86 episodes, 1999-2007 	
character=Carmela Soprano	name=Edie Falco	episodes=85 episodes, 1999-2007 	
character=Christopher Moltisanti	name=Michael Imperioli	episodes=83 episodes, 1999-2007 	
character=Silvio Dante	name=Steven Van Zandt	episodes=79 episodes, 1999-2007 	
character=A.J. Soprano	name=Robert Iler	episodes=75 episodes, 1999-2007 	
character=Gualtieri	name=Tony Sirico	episodes=74 episodes, 1999-2007 	
character=Paulie 	name=Tony Sirico	episodes=74 episodes, 1999-2007 	
character=Walnuts	name=Tony Sirico	episodes=74 episodes, 1999-2007 	
character=Meadow Soprano	name=Jamie-Lynn Sigler	episodes=73 episodes, 1999-2007 	
character=Dr. Jennifer Melfi	name=Lorraine Bracco	episodes=71 episodes, 1999-2007 	
character=Junior Soprano	name=Dominic Chianese	episodes=54 episodes, 1999-2007 	
character=Janice Soprano	name=Aida Turturro	episodes=53 episodes, 2000-2007 	
character=Bacala	name=Steve Schirripa	episodes=53 episodes, 2000-2007 	
character=Baccalieri	name=Steve Schirripa	episodes=53 episodes, 2000-2007 	
character=Bobby 	name=Steve Schirripa	episodes=53 episodes, 2000-2007 	
character=Adriana La Cerva	name=Drea de Matteo	episodes=48 episodes, 1999-2006 	
character=Patsy Parisi	name=Dan Grimaldi	episodes=47 episodes, 2000-2007 	
character=Vito Spatafore	name=Joseph R. Gannascoli	episodes=39 episodes, 1999-2006 	
character=Rosalie Aprile	name=Sharon Angela	episodes=37 episodes, 1999-2007 	
character=Artie Bucco	name=John Ventimiglia	episodes=36 episodes, 1999-2007 	
character=Phil Leotardo	name=Frank Vincent	episodes=30 episodes, 2004-2007 	
character=Furio Giunta	name=Federico Castelluccio	episodes=28 episodes, 2000-2002 	
character=Hesh Rabkin	name=Jerry Adler	episodes=28 episodes, 1999-2007 	
character=Carlo Gervasi	name=Arthur J. Nascarella	episodes=28 episodes, 2002-2007 	
character=Benny Fazio	name=Max Casella	episodes=28 episodes, 2001-2007 	
character=Gabriella Dante	name=Maureen Van Zandt	episodes=28 episodes, 2000-2007 	
character=Eugene Pontecorvo	name=Robert Funaro	episodes=24 episodes, 2001-2006 	
character=Little Paulie Germani	name=Carl Capotorto	episodes=24 episodes, 2001-2007 	
character=Agent Dwight Harris	name=Matt Servitto	episodes=24 episodes, 1999-2007 	
character=Hugh DeAngelis	name=Tom Aldredge	episodes=23 episodes, 2000-2007 	
character=Livia Soprano	name=Nancy Marchand	episodes=22 episodes, 1999-2001 	
character=Ralph Cifaretto	name=Joe Pantoliano	episodes=20 episodes, 2001-2004 	
