# http://fitlayout.github.io/resource/art2 -> https://www.imdb.com/title/tt4574334/fullcredits/
character=Joyce Byers	name=Winona Ryder	episodes=42 episodes, 2016-2024 	
character=Jim Hopper	name=David Harbour	episodes=42 episodes, 2016-2024 	
character=Mike Wheeler	name=Finn Wolfhard	episodes=42 episodes, 2016-2024 	
character=Dustin Henderson	name=Gaten Matarazzo	episodes=42 episodes, 2016-2024 	
character=Lucas Sinclair	name=Caleb McLaughlin	episodes=42 episodes, 2016-2024 	
character=Nancy Wheeler	name=Natalia Dyer	episodes=42 episodes, 2016-2024 	
character=Jonathan Byers	name=Charlie Heaton	episodes=42 episodes, 2016-2024 	
character=Steve Harrington	name=Joe Keery	episodes=42 episodes, 2016-2024 	
character=Eleven	name=Millie Bobby Brown	episodes=42 episodes, 2016-2024 	
character=Will Byers	name=Noah Schnapp	episodes=40 episodes, 2016-2024 	
character=Karen Wheeler	name=Cara Buono	episodes=30 episodes, 2016-2022 	
character=Erica Sinclair	name=Priah Ferguson	episodes=29 episodes, 2017-2024 	
character=Max Mayfield	name=Sadie Sink	episodes=27 episodes, 2017-2023 	
character=Robin Buckley	name=Maya Hawke	episodes=25 episodes, 2019-2024 	
character=Murray Bauman	name=Brett Gelman	episodes=25 episodes, 2017-2024 	
character=Ted Wheeler	name=Joe Chrest	episodes=20 episodes, 2016-2022 	
character=Dr. Sam Owens	name=Paul Reiser	episodes=19 episodes, 2017-2022 	
character=Billy Hargrove	name=Dacre Montgomery	episodes=18 episodes, 2017-2022 	
character=Martin Brenner	name=Matthew Modine	episodes=20 episodes, 2016-2022 	
character=Vecna	name=Jamie Campbell Bower	episodes=17 episodes, 2022-2024 	
character=Officer Powell	name=Rob Morgan	episodes=16 episodes, 2016-2022 	
character=Officer Callahan	name=John Reynolds	episodes=16 episodes, 2016-2022 	
character=Holly Wheeler	name=Tinsley Price	episodes=15 episodes, 2016-2022 	
character=Claudia Henderson	name=Catherine Curtin	episodes=11 episodes, 2017-2022 	
character=Scott Clarke	name=Randy Havens	episodes=11 episodes, 2016-2019 	
character=Terry Ives	name=Aimee Mullins	episodes=7 episodes, 2016-2022 	
character=Bob Newby	name=Sean Astin	episodes=10 episodes, 2017-2019 	
character=Florence	name=Susan Shalhoub Larkin	episodes=10 episodes, 2016-2019 	
character=Argyle	name=Eduardo Franco	episodes=10 episodes, 2022-2023 	
character=Eddie Munson	name=Joseph Quinn	episodes=8 episodes, 2022 	
character=Jason Carver	name=Mason Dye	episodes=8 episodes, 2022 	
character=Holly Wheeler	name=Anniston Price	episodes=8 episodes, 2016-2022 	
character=Dmitri Antonov	name=Tom Wlaschiha	episodes=8 episodes, 2022 	
character=Andy	name=Clayton Royal Johnson	episodes=8 episodes, 2022 	
character=Grigori	name=Andrey Ivchenko	episodes=7 episodes, 2019 	
character=Tommy Hagan	name=Chester Rushing	episodes=7 episodes, 2016-2017 	
character=The Monster	name=Mark Steger	episodes=6 episodes, 2016-2017 	
character=Lt. Col. Jack Sullivan	name=Sherman Augustus	episodes=6 episodes, 2022 	
character=Heather Holloway	name=Francesca Reale	episodes=6 episodes, 2019 	
character=Yuri	name=Nikola Djuricko	episodes=6 episodes, 2022 	
character=Lead Agent	name=Tobias Jelinek	episodes=6 episodes, 2016 	
character=Carol Perkins	name=Chelsea Talmadge	episodes=6 episodes, 2016-2017 	
character=Patrick McKinney	name=Myles Truitt	episodes=6 episodes, 2022 	
character=Susan Hargrove	name=Jennifer Marshall	episodes=6 episodes, 2017-2022 	
character=Barbara Holland	name=Shannon Purser	episodes=4 episodes, 2016-2017 	
character=Bruce	name=Jake Busey	episodes=5 episodes, 2019 	
character=Mayor Larry Kline	name=Cary Elwes	episodes=5 episodes, 2019 	
character=Tom Holloway	name=Michael Park	episodes=5 episodes, 2019 	
character=Agent Connie Frazier	name=Catherine Dyer	episodes=5 episodes, 2016 	
character=Young Eleven	name=Martie Marie Blair	episodes=5 episodes, 2022 	
character=Warden Melnikov	name=Vaidotas Martinaitis	episodes=5 episodes, 2022 	
character=Two	name=Tristan Spohn	episodes=5 episodes, 2022 	
character=Agent Stinson	name=Paris Benjamin	episodes=5 episodes, 2022 	
character=Troy	name=Peyton Wich	episodes=5 episodes, 2016 	
character=Nine	name=Chloe Adona	episodes=5 episodes, 2022 	
character=Agent Wallace	name=Kendrick Cross	episodes=5 episodes, 2022 	
character=Fourteen	name=Jeremiah Friedlander	episodes=5 episodes, 2022 	
character=Three	name=Morgan Gao	episodes=5 episodes, 2022 	
character=Sixteen	name=Ethan J Green	episodes=5 episodes, 2022 	
character=Seventeen	name=Oliver J Green	episodes=5 episodes, 2022 	
character=Twelve	name=David Alexander Kaplan	episodes=5 episodes, 2022 	
character=Fred Benson	name=Logan Riley Bruner	episodes=3 episodes, 2022 	
character=Five	name=Jessica Arden Napier	episodes=5 episodes, 2022 	
character=Four	name=Sparrow Nicole	episodes=5 episodes, 2022 	
character=Eighteen	name=Olivia Sembra	episodes=5 episodes, 2022 	
character=Seven	name=Lana Jean Turner	episodes=5 episodes, 2022 	
character=Fifteen	name=Bentley Williams	episodes=5 episodes, 2022 	
character=Thirteen	name=Hendrix Yancey	episodes=5 episodes, 2022 	
character=Freak	name=Grant Goodman	episodes=2 episodes, 2022 	
character=Lonnie Byers	name=Ross Partridge	episodes=4 episodes, 2016 	
character=Doris Driscoll	name=Peggy Miley	episodes=4 episodes, 2019 	
character=Dr. Alexei	name=Alec Utgoff	episodes=4 episodes, 2019 	
character=Scientist	name=Hugh B. Holub	episodes=4 episodes, 2016 	
character=Mrs. Holland	name=Cynthia Barrett	episodes=4 episodes, 2016-2017 	
character=Mom 	name=Caroline Arapoglou	episodes=4 episodes, 2019 	
character=James	name=Cade Jones	episodes=4 episodes, 2016 	
character=Nerdy Tech	name=Joe Davison	episodes=4 episodes, 2017 	
character=Ten	name=Christian Ganiere	episodes=4 episodes, 2022 	
character=Mr. Melvald	name=Charles Lawlor	episodes=4 episodes, 2016-2017 	
character=Ivan	name=Nikolai Nikolaeff	episodes=4 episodes, 2022 	
character=Janet	name=Holly A. Morris	episodes=4 episodes, 2019 	
character=Newsman	name=Olan Montgomery	episodes=4 episodes, 2019 	
character=Mrs. Sinclair	name=Karen Ceesay	episodes=4 episodes, 2017-2022 	
character=Principal Coleman	name=Tony Vaughn	episodes=4 episodes, 2016-2017 	
character=Vickie	name=Amybeth McNulty	episodes=4 episodes, 2022-2023 	
character=Young Henry Creel	name=Raphael Luce	episodes=4 episodes, 2022 	
character=Freshman Teammate	name=Jayden Griffin	episodes=4 episodes, 2022 	
character=Officer Glenn Daniels	name=Jeff Sprauve	episodes=4 episodes, 2022 	
character=Chance	name=Hunter Romanillos	episodes=4 episodes, 2022 	
character=Six	name=De	episodes=4 episodes, 2022 	
character=Six	name=Jon Watts	episodes=4 episodes, 2022 	
character=Young Kali	name=Vanathi Parthiban	episodes=1 episode, 2017-2022 	
character=Kali	name=Linnea Berthelsen	episodes=3 episodes, 2017 	
character=Hawkins Head of Security	name=Pete Burris	episodes=3 episodes, 2016 	
character=Elevator Scientist	name=Andrew Benator	episodes=3 episodes, 2016 	
character=Nicole	name=Glennellen Anderson	episodes=3 episodes, 2016-2017 	
character=Becky Ives	name=Amy Seimetz	episodes=3 episodes, 2016-2017 	
character=Lynx Security Guard 	name=Anthony Belevtsov	episodes=3 episodes, 2019 	
character=Hospital Receptionist	name=Chantell D. Christopher	episodes=3 episodes, 2019 	
