# http://fitlayout.github.io/resource/art20 -> https://www.imdb.com/title/tt2243973/fullcredits/
character=Will Graham	name=Hugh Dancy	episodes=39 episodes, 2013-2015 	
character=Dr. Hannibal Lecter	name=Mads Mikkelsen	episodes=39 episodes, 2013-2015 	
character=Dr. Alana Bloom	name=Caroline Dhavernas	episodes=39 episodes, 2013-2015 	
character=Jack Crawford	name=Laurence Fishburne	episodes=39 episodes, 2013-2015 	
character=Jimmy Price	name=Scott Thompson	episodes=27 episodes, 2013-2015 	
character=Brian Zeller	name=Aaron Abrams	episodes=27 episodes, 2013-2015 	
character=Dr. Bedelia Du Maurier	name=Gillian Anderson	episodes=21 episodes, 2013-2015 	
character=Beverly Katz	name=Hettienne Park	episodes=18 episodes, 2013-2014 	
character=Abigail Hobbs	name=Kacey Rohl	episodes=13 episodes, 2013-2015 	
character=Freddie Lounds	name=Lara Jean Chorostecki	episodes=13 episodes, 2013-2015 	
character=Dr. Frederick Chilton	name=Raúl Esparza	episodes=12 episodes, 2013-2015 	
character=Garret Jacob Hobbs	name=Vladimir Jon Cubrt	episodes=10 episodes, 2013-2015 	
character=Margot Verger	name=Katharine Isabelle	episodes=9 episodes, 2014-2015 	
character=Stag Man	name=Kalen Davidson	episodes=3 episodes, 2013-2014 	
character=Dr. Abel Gideon	name=Eddie Izzard	episodes=6 episodes, 2013-2015 	
character=Francis Dolarhyde	name=Richard Armitage	episodes=6 episodes, 2015 	
character=Bella Crawford	name=Gina Torres	episodes=5 episodes, 2013-2015 	
character=Reba McClane	name=Rutina Wesley	episodes=5 episodes, 2015 	
character=Mason Verger	name=Joe Anderson	episodes=4 episodes, 2015 	
character=Insp. Rinaldo Pazzi	name=Fortunato Cerlino	episodes=4 episodes, 2015 	
character=Kade Prurnell	name=Cynthia Nixon	episodes=4 episodes, 2014 	
character=Chiyo	name=Tao Okamoto	episodes=4 episodes, 2015 	
character=Miriam Lass	name=Anna Chlumsky	episodes=4 episodes, 2013-2014 	
character=Molly Graham	name=Nina Arianda	episodes=4 episodes, 2015 	
character=Louise Hobbs	name=Krista Patton	episodes=4 episodes, 2013 	
character=Orderly	name=Alana Bridgewater	episodes=4 episodes, 2015 	
character=Mason Verger	name=Michael Pitt	episodes=3 episodes, 2014 	
character=Franklin	name=Dan Fogler	episodes=3 episodes, 2013 	
character=Carlo Deogracias	name=Daniel Kash	episodes=3 episodes, 2014 	
character=Dr. Cordell Doemling	name=Glenn Fleshler	episodes=3 episodes, 2015 	
character=Nicholas Boyle	name=Mark Rendall	episodes=3 episodes, 2013 	
character=Elise Nichols	name=Torianna Lee	episodes=3 episodes, 2013 	
character=Killer	name=Patrick Garrow	episodes=3 episodes, 2014 	
character=Sogliato	name=Rinaldo Rocco	episodes=2 episodes, 2015 	
character=Peter Bernardone	name=Jeremy Davies	episodes=2 episodes, 2014 	
character=Clark Ingram	name=Chris Diamantopoulos	episodes=2 episodes, 2014 	
character=Neal Frank	name=Zachary Quinto	episodes=2 episodes, 2015 	
character=Inspector	name=Giorgio Lupano	episodes=2 episodes, 2015 	
character=Georgia Madchen	name=Ellen Muth	episodes=2 episodes, 2013 	
character=Randall Tier	name=Mark O	episodes=2 episodes, 2014 	
character=Randall Tier	name=Brien	episodes=2 episodes, 2014 	
character=Roland Umber	name=Ryan Field	episodes=2 episodes, 2014 	
character=Doctor	name=Dwight Ireland	episodes=2 episodes, 2015 	
character=Tobias Budge	name=Demore Barnes	episodes=2 episodes, 2013 	
character=Male Nurse	name=Ted Ludzik	episodes=2 episodes, 2014 	
character=Mr. Albizzi	name=David Calderisi	episodes=2 episodes, 2015 	
character=Mrs. Albizzi	name=Toni Ellwand	episodes=2 episodes, 2015 	
character=Matthew Brown	name=Jonathan Tucker	episodes=2 episodes, 2014 	
character=Grandmother Dolarhyde	name=Trudy Weiss	episodes=2 episodes, 2015 	
character=Anthony Dimmond	name=Tom Wisdom	episodes=1 episode, 2015 	
character=Poliziotto Lamanna	name=Anthony Massullo	episodes=1 episode, 2015 	
character=Kidnapper	name=Molly Shannon	episodes=1 episode, 2013 	
character=Dr. Sutcliffe	name=John Benjamin Hickey	episodes=1 episode, 2013 	
character=Elliot Buddish	name=Seann Gallagher	episodes=1 episode, 2013 	
character=Tommaso	name=Bas Reitman	episodes=1 episode, 2014 	
character=Allegra Pazzi	name=Mía Maestro	episodes=1 episode, 2015 	
character=Caged Man	name=Julian Richings	episodes=1 episode, 2015 	
character=Dr. Roman Fell	name=Jeremy Crutchley	episodes=1 episode, 2015 	
character=Inspector Donaggio	name=Izzia	episodes=1 episode, 2015 	
character=Inspector Donaggio	name=Davide D	episodes=1 episode, 2015 	
character=Lawrence Wells	name=Lance Henriksen	episodes=1 episode, 2013 	
character=Beth LeBeau	name=Hilary Jardine	episodes=1 episode, 2013 	
character=Emma Buddish	name=Cynthia Preston	episodes=1 episode, 2013 	
character=Eldon Stammets	name=Aidan Devine	episodes=1 episode, 2013 	
character=Crawford	name=Martin Donovan	episodes=1 episode, 2014 	
character=Therapist	name=Martin Donovan	episodes=1 episode, 2014 	
character=Matteo	name=Wayne Wells	episodes=1 episode, 2014 	
character=Stable Hand	name=Martin Julien	episodes=1 episode, 2014 	
character=Docent	name=Helen Taylor	episodes=1 episode, 2015 	
character=Jocelyn Madchen	name=Krista Bridges	episodes=1 episode, 2013 	
character=Marissa Schurr	name=Holly Deveaux	episodes=1 episode, 2013 	
character=Police Officer 	name=Billy Parrott	episodes=1 episode, 2013 	
character=Mrs. Nichols	name=Sarah Evans	episodes=1 episode, 2013 	
character=Wendy Vega	name=Maria del Mar	episodes=1 episode, 2014 	
character=Guard	name=Jamaal Grant	episodes=1 episode, 2014 	
character=Veterinarian	name=Douglas E. Hughes	episodes=1 episode, 2014 	
character=Garage Attendant	name=Ezio Bondi	episodes=1 episode, 2014 	
character=Trucker	name=Hernaci	episodes=1 episode, 2014 	
character=Trucker	name=Paquito 	episodes=1 episode, 2014 	
character=Trucker	name=Paco	episodes=1 episode, 2014 	
character=Mrs. Fell	name=Catherine Tait	episodes=1 episode, 2015 	
character=Verger Bodyguard	name=Phillip Samuel	episodes=1 episode, 2015 	
character=Tour Guide	name=Nicholas Rice	episodes=1 episode, 2015 	
character=Poliziotto Officer	name=Paul Sturino	episodes=1 episode, 2015 	
character=Mrs. Komeda	name=Ellen Greene	episodes=1 episode, 2013 	
character=Detective Pascal	name=Richard Chevolleau	episodes=1 episode, 2013 	
character=Mother	name=Severn Thompson	episodes=1 episode, 2013 	
character=Marissa	name=Severn Thompson	episodes=1 episode, 2013 	
character=Mr. Nichols	name=Wayne Ward	episodes=1 episode, 2013 	
character=Police Officer 	name=Craig Thomas	episodes=1 episode, 2013 	
character=Hospital Security	name=Mark Waters	episodes=1 episode, 2013 	
character=Cop 	name=Marcel Lewis	episodes=1 episode, 2013 	
character=Officer Stewart	name=Darren Josephs	episodes=1 episode, 2013 	
character=Katherine Pimms	name=Amanda Plummer	episodes=1 episode, 2014 	
character=Leonard Brauer	name=Shawn Doyle	episodes=1 episode, 2014 	
character=Female Beachgoer	name=Brendee Green	episodes=1 episode, 2014 	
character=Franklin	name=Samuel Faraci	episodes=1 episode, 2014 	
