# http://fitlayout.github.io/resource/art21 -> https://www.imdb.com/title/tt0844441/fullcredits/
character=Sookie Stackhouse	name=Anna Paquin	episodes=81 episodes, 2008-2014 	
character=Bill Compton	name=Stephen Moyer	episodes=81 episodes, 2008-2014 	
character=Sam Merlotte	name=Sam Trammell	episodes=81 episodes, 2008-2014 	
character=Jason Stackhouse	name=Ryan Kwanten	episodes=81 episodes, 2008-2014 	
character=Andy Bellefleur	name=Chris Bauer	episodes=81 episodes, 2008-2014 	
character=Lafayette Reynolds	name=Nelsan Ellis	episodes=81 episodes, 2008-2014 	
character=Arlene Fowler	name=Carrie Preston	episodes=81 episodes, 2008-2014 	
character=Tara Thornton	name=Rutina Wesley	episodes=80 episodes, 2008-2014 	
character=Eric Northman	name=Alexander Skarsgård	episodes=76 episodes, 2008-2014 	
character=Jessica Hamby	name=Deborah Ann Woll	episodes=71 episodes, 2008-2014 	
character=Hoyt Fortenberry	name=Jim Parrack	episodes=66 episodes, 2008-2014 	
character=Terry Bellefleur	name=Todd Lowe	episodes=66 episodes, 2008-2014 	
character=Holly Cleary	name=Lauren Bowles	episodes=48 episodes, 2010-2014 	
character=Alcide Herveaux	name=Joe Manganiello	episodes=42 episodes, 2010-2014 	
character=Sheriff Bud Dearborne	name=William Sanderson	episodes=39 episodes, 2008-2012 	
character=Steve Newlin	name=Michael McMillian	episodes=38 episodes, 2008-2014 	
character=Lettie Mae Thornton	name=Adina Porter	episodes=32 episodes, 2008-2014 	
character=Jesus Velasquez	name=Kevin Alejandro	episodes=26 episodes, 2010-2012 	
character=Luna Garza	name=Janina Gavankar	episodes=25 episodes, 2011-2013 	
character=Maxine Fortenberry	name=Dale Raoul	episodes=25 episodes, 2008-2014 	
character=Sarah Newlin	name=Anna Camp	episodes=24 episodes, 2009-2014 	
character=Ginger	name=Tara Buck	episodes=24 episodes, 2008-2014 	
character=Nan Flanagan	name=Jessica Tuck	episodes=23 episodes, 2008-2014 	
character=Tommy Mickens	name=Marshall Allman	episodes=22 episodes, 2010-2011 	
character=Nora Gainesborough	name=Lucy Griffiths	episodes=21 episodes, 2012-2013 	
character=Russell Edgington	name=Hare	episodes=20 episodes, 2010-2012 	
character=Russell Edgington	name=Denis O	episodes=20 episodes, 2010-2012 	
character=Deputy Kevin Ellis	name=John Rezig	episodes=20 episodes, 2008-2014 	
character=Willa Burrell	name=Amelia Rose Blaire	episodes=19 episodes, 2013-2014 	
character=Nicole Wright	name=Jurnee Smollett	episodes=19 episodes, 2013-2014 	
character=Jane Bodehouse	name=Patricia Bethune	episodes=18 episodes, 2008-2014 	
character=Deputy Kenya Jones	name=Tanya Wright	episodes=18 episodes, 2008-2014 	
character=Mike Spencer	name=John Billingsley	episodes=17 episodes, 2008-2012 	
character=Adilyn Bellefleur	name=Bailey Noble	episodes=17 episodes, 2013-2014 	
character=Rene Lenier	name=Michael Raymond-James	episodes=16 episodes, 2008-2011 	
character=Rocky Cleary	name=Aaron Christian Howles	episodes=16 episodes, 2012-2014 	
character=Wade Cleary	name=Noah Matthews	episodes=16 episodes, 2012-2014 	
character=Maryann Forrester	name=Michelle Forbes	episodes=15 episodes, 2008-2012 	
character=Reverend Daniels	name=Gregg Daniel	episodes=15 episodes, 2010-2014 	
character=Violet	name=Karolina Wydra	episodes=15 episodes, 2013-2014 	
character=Lisa Fowler	name=Laurel Weber	episodes=15 episodes, 2008-2014 	
character=Emma Garza	name=Chloe Noelle	episodes=15 episodes, 2011-2013 	
character=Eggs	name=Mehcad Brooks	episodes=13 episodes, 2008-2010 	
character=Crystal Norris	name=Lindsay Pulsipher	episodes=14 episodes, 2010-2011 	
character=Rikki Naylor	name=Kelly Overton	episodes=14 episodes, 2012-2013 	
character=Debbie Pelt	name=Brit Morgan	episodes=14 episodes, 2010-2012 	
character=Coby Fowler	name=Alec Gray	episodes=14 episodes, 2008-2014 	
character=Lorena Krasiki	name=Mariana Klaveno	episodes=13 episodes, 2008-2012 	
character=Marnie Stonebrook	name=Fiona Shaw	episodes=12 episodes, 2011 	
character=Jackson Herveaux	name=Robert Patrick	episodes=12 episodes, 2012-2014 	
character=Martha Bozeman	name=Dale Dickey	episodes=12 episodes, 2012-2013 	
character=Rosie	name=Tess Parker	episodes=12 episodes, 2008-2014 	
character=Adele Stackhouse	name=Lois Smith	episodes=10 episodes, 2008-2014 	
character=Salome Agrippa	name=Valentina Cervi	episodes=11 episodes, 2012 	
character=Danielle	name=Jamie Gray Hyder	episodes=11 episodes, 2012-2013 	
character=Kenneth	name=Marque Richardson	episodes=11 episodes, 2012-2013 	
character=Patrick Devins	name=Scott Foley	episodes=10 episodes, 2011-2012 	
character=James	name=Nathan Parsons	episodes=10 episodes, 2014 	
character=Rosalyn Harris	name=Carolyn Hennesy	episodes=10 episodes, 2012 	
character=Truman Burrell	name=Arliss Howard	episodes=9 episodes, 2013 	
character=Macklyn Warlow	name=Robert Kazinsky	episodes=9 episodes, 2013 	
character=Godric	name=Allan Hyde	episodes=9 episodes, 2009-2012 	
character=Karl	name=Adam Leadbeater	episodes=9 episodes, 2008-2009 	
character=Melinda Mickens	name=J. Smith-Cameron	episodes=9 episodes, 2010-2011 	
character=Claude Crane	name=Giles Matthey	episodes=9 episodes, 2012-2013 	
character=Daphne Landry	name=Ashley Jones	episodes=8 episodes, 2009 	
character=Portia Bellefleur	name=Courtney Ford	episodes=8 episodes, 2011-2013 	
character=Kibwe	name=Peter Mensah	episodes=8 episodes, 2012 	
character=Felton Norris	name=James Harvey Ward	episodes=8 episodes, 2010-2011 	
character=Sophie-Anne Leclerq	name=Evan Rachel Wood	episodes=7 episodes, 2009-2011 	
