# http://fitlayout.github.io/resource/art22 -> https://www.imdb.com/title/tt2879552/fullcredits/
character=Jake Epping	name=James Franco	episodes=8 episodes, 2016 	
character=Sadie Dunhill	name=Sarah Gadon	episodes=8 episodes, 2016 	
character=Bill Turcotte	name=George MacKay	episodes=8 episodes, 2016 	
character=Al Templeton	name=Chris Cooper	episodes=8 episodes, 2016 	
character=Marguerite Oswald	name=Cherry Jones	episodes=7 episodes, 2016 	
character=Lee Harvey Oswald	name=Daniel Webber	episodes=7 episodes, 2016 	
character=Yellow Card Man	name=Connor	episodes=7 episodes, 2016 	
character=Yellow Card Man	name=Kevin J. O	episodes=7 episodes, 2016 	
character=Marina Oswald	name=Lucy Fry	episodes=6 episodes, 2016 	
character=George de Mohrenschildt	name=Jonny Coyne	episodes=5 episodes, 2016 	
character=Deke Simmons	name=Nick Searcy	episodes=5 episodes, 2016 	
character=Johnny Clayton	name=T.R. Knight	episodes=4 episodes, 2016 	
character=Frank Dunning	name=Josh Duhamel	episodes=4 episodes, 2016 	
character=Mia Mimi Corcoran	name=Tonya Pinkins	episodes=4 episodes, 2016 	
character=Christy Epping	name=Brooklyn Sudano	episodes=3 episodes, 2016 	
character=Bobby Oswald	name=Michael Izquierdo	episodes=3 episodes, 2016 	
character=Jeanne De Mohrenschildt	name=Shauna MacDonald	episodes=3 episodes, 2016 	
character=Vada Oswald	name=Amy Marie Wallace	episodes=2 episodes, 2016 	
character=Dallas Dignitary	name=Terrie Cooklin	episodes=1 episode, 2016 	
character=FBI Agent James B. Hosty	name=Gil Bellows	episodes=2 episodes, 2016 	
character=Bobbi Jill Allnut	name=Juliette Angelo	episodes=2 episodes, 2016 	
character=Bonnie Ray Williams	name=Grantham Coleman	episodes=2 episodes, 2016 	
character=Mike Coslaw	name=Braeden Lemasters	episodes=2 episodes, 2016 	
character=Harry Dunning	name=Leon Rippy	episodes=2 episodes, 2016 	
character=General Edwin Walker	name=Gregory North	episodes=2 episodes, 2016 	
character=Sadie	name=Erica Anderson	episodes=2 episodes, 2016 	
character=Cousin 	name=Erica Anderson	episodes=2 episodes, 2016 	
character=Ruth Paine	name=Miranda Calderon	episodes=2 episodes, 2016 	
character=Dr. Jones	name=Kristian Bruun	episodes=2 episodes, 2016 	
character=Dr. Moren	name=Christian Lloyd	episodes=2 episodes, 2016 	
character=Doris Dunning	name=Joanna Douglas	episodes=2 episodes, 2016 	
character=Man 	name=Kevin Dennis	episodes=2 episodes, 2016 	
character=Young Harry Dunning	name=Jack Fulton	episodes=2 episodes, 2016 	
character=Man 	name=Julian De Zotti	episodes=2 episodes, 2016 	
character=Little Brother	name=Cody Gallant	episodes=2 episodes, 2016 	
character=Ellen Dunning	name=Hannah Levinson	episodes=2 episodes, 2016 	
character=Sadie	name=Chelsea Norgren	episodes=2 episodes, 2016 	
character=Cousin 	name=Chelsea Norgren	episodes=2 episodes, 2016 	
character=JFK	name=Christopher Phipps	episodes=2 episodes, 2016 	
character=Police Escort 	name=Gary Biggar	episodes=1 episode, 2016 	
character=Biggest Cop	name=Christopher Dyson	episodes=1 episode, 2016 	
character=Inmate 1	name=Matt Smith	episodes=1 episode, 2016 	
character=Boy 	name=Rividu Mendis	episodes=2 episodes, 2016 	
character=Houston and Elm Pedestrian	name=Ellen Crouch	episodes=1 episode, 2016 	
character=Pedestrian	name=Allene Hillegas	episodes=1 episode, 2016 	
character=Houston and Elm Pedestrian	name=Clarence Cross	episodes=1 episode, 2016 	
character=Arliss Price	name=Neill	episodes=1 episode, 2016 	
character=Arliss Price	name=Michael O	episodes=1 episode, 2016 	
character=Edna Price	name=Toole	episodes=1 episode, 2016 	
character=Edna Price	name=Annette O	episodes=1 episode, 2016 	
character=Earl	name=Jadon Clews	episodes=1 episode, 2016 	
character=Jack Ruby	name=Antoni Corone	episodes=1 episode, 2016 	
character=Captain Will Fritz	name=Wilbur Fitzgerald	episodes=1 episode, 2016 	
