# http://fitlayout.github.io/resource/art23 -> https://www.imdb.com/title/tt1442462/fullcredits/
character=Alicia Florrick	name=Julianna Margulies	episodes=156 episodes, 2009-2016 	
character=Cary Agos	name=Matt Czuchry	episodes=156 episodes, 2009-2016 	
character=Diane Lockhart	name=Christine Baranski	episodes=156 episodes, 2009-2016 	
character=Kalinda Sharma	name=Archie Panjabi	episodes=134 episodes, 2009-2015 	
character=Eli Gold	name=Alan Cumming	episodes=121 episodes, 2010-2016 	
character=Will Gardner	name=Josh Charles	episodes=107 episodes, 2009-2016 	
character=Grace Florrick	name=Makenzie Vega	episodes=102 episodes, 2009-2016 	
character=Peter Florrick	name=Chris Noth	episodes=101 episodes, 2009-2016 	
character=Zach Florrick	name=Graham Phillips	episodes=78 episodes, 2009-2016 	
character=David Lee	name=Zach Grenier	episodes=62 episodes, 2010-2016 	
character=Jackie Florrick	name=Mary Beth Peil	episodes=49 episodes, 2009-2016 	
character=Howard Lyman	name=Jerry Adler	episodes=30 episodes, 2011-2016 	
character=Finn Polmar	name=Matthew Goode	episodes=28 episodes, 2014-2015 	
character=Louis Canning	name=Michael J. Fox	episodes=26 episodes, 2010-2016 	
character=Geneva Pine	name=Renée Elise Goldsberry	episodes=23 episodes, 2010-2016 	
character=Lucca Quinn	name=Cush Jumbo	episodes=22 episodes, 2015-2016 	
character=Marissa Gold	name=Sarah Steele	episodes=22 episodes, 2011-2016 	
character=Matan Brody	name=Chris Butler	episodes=21 episodes, 2009-2016 	
character=Lemond Bishop	name=Mike Colter	episodes=21 episodes, 2010-2015 	
character=Jason Crouse	name=Jeffrey Dean Morgan	episodes=19 episodes, 2015-2016 	
character=Robyn Burdine	name=Jess Weixler	episodes=19 episodes, 2013-2014 	
character=Julius Cain	name=Michael Boatman	episodes=18 episodes, 2009-2015 	
character=Nora	name=Nicole Roderick	episodes=16 episodes, 2011-2016 	
character=Glenn Childs	name=Titus Welliver	episodes=15 episodes, 2009-2011 	
character=Clarke Hayden	name=Nathan Lane	episodes=15 episodes, 2012-2014 	
character=Wendy Scott-Carr	name=Anika Noni Rose	episodes=14 episodes, 2010-2013 	
character=Kurt McVeigh	name=Gary Cole	episodes=14 episodes, 2010-2016 	
character=Blake Calamar	name=Scott Porter	episodes=14 episodes, 2010-2011 	
character=Owen Cavanaugh	name=Dallas Roberts	episodes=14 episodes, 2010-2016 	
character=Elsbeth Tascioni	name=Carrie Preston	episodes=14 episodes, 2010-2016 	
character=Carey Zepps	name=Ben Rappaport	episodes=14 episodes, 2013-2015 	
character=Frank Landau	name=Mike Pniewski	episodes=13 episodes, 2010-2015 	
character=Ruth Eastman	name=Margo Martindale	episodes=13 episodes, 2015-2016 	
character=Johnny Elfman	name=Steven Pasquale	episodes=13 episodes, 2014-2015 	
character=Lana Delaney	name=Jill Flint	episodes=12 episodes, 2009-2014 	
character=Veronica Loy	name=Stockard Channing	episodes=11 episodes, 2012-2016 	
character=Derrick Bond	name=Michael Ealy	episodes=12 episodes, 2010-2011 	
character=Daniel Golden	name=Joe Morton	episodes=11 episodes, 2009-2011 	
character=James Castro	name=Michael Cerveris	episodes=10 episodes, 2014-2015 	
character=Jim Moody	name=Skipp Sudduth	episodes=10 episodes, 2010-2014 	
character=Andrew Wiley	name=Tim Guinee	episodes=10 episodes, 2011-2015 	
character=Judge Robert Parks	name=David Fonteno	episodes=10 episodes, 2009-2015 	
character=Caitlin D	name=Anna Camp	episodes=9 episodes, 2011-2016 	
character=Judge Richard Cuesta	name=David Paymer	episodes=9 episodes, 2009-2016 	
character=Dana Lodge	name=Monica Raymund	episodes=9 episodes, 2011-2012 	
character=Judge Charles Abernathy	name=Hare	episodes=9 episodes, 2009-2016 	
character=Judge Charles Abernathy	name=Denis O	episodes=9 episodes, 2009-2016 	
