# http://fitlayout.github.io/resource/art26 -> https://www.imdb.com/title/tt2628232/fullcredits/
character=Dorian Gray	name=Reeve Carney	episodes=27 episodes, 2014-2016 	
character=Sir Malcolm Murray	name=Timothy Dalton	episodes=27 episodes, 2014-2016 	
character=Vanessa Ives	name=Eva Green	episodes=27 episodes, 2014-2016 	
character=John Clare	name=Rory Kinnear	episodes=27 episodes, 2014-2016 	
character=Lily	name=Billie Piper	episodes=27 episodes, 2014-2016 	
character=Dr. Victor Frankenstein	name=Harry Treadaway	episodes=27 episodes, 2014-2016 	
character=Ethan Chandler	name=Josh Hartnett	episodes=27 episodes, 2014-2016 	
character=Sembene	name=Danny Sapani	episodes=18 episodes, 2014-2015 	
character=Ferdinand Lyle	name=Simon Russell Beale	episodes=14 episodes, 2014-2016 	
character=Bartholomew Rusk	name=Douglas Hodge	episodes=13 episodes, 2015-2016 	
character=Hecate Poole	name=Sarah Greene	episodes=13 episodes, 2015-2016 	
character=Madame Kali	name=Helen McCrory	episodes=12 episodes, 2014-2015 	
character=Junior Inspector	name=Jack Hickey	episodes=11 episodes, 2015-2016 	
character=Dr. Seward	name=Patti LuPone	episodes=10 episodes, 2015-2016 	
character=Mina Harker	name=Olivia Llewellyn	episodes=9 episodes, 2014-2015 	
character=Kaetenay	name=Wes Studi	episodes=9 episodes, 2016 	
character=Witch 	name=Neill	episodes=9 episodes, 2015 	
character=Witch 	name=Nicole O	episodes=9 episodes, 2015 	
character=Witch 	name=Olivia Chenery	episodes=9 episodes, 2015 	
character=Dr. Henry Jekyll	name=Shazad Latif	episodes=8 episodes, 2016 	
character=Dr. Alexander Sweet	name=Christian Camargo	episodes=7 episodes, 2016 	
character=Renfield	name=Samuel Barnett	episodes=7 episodes, 2016 	
character=Gladys Murray	name=Noni Stapleton	episodes=7 episodes, 2014-2015 	
character=Jack	name=Casper Allpress	episodes=6 episodes, 2016 	
character=Warren Roper	name=Stephen Lord	episodes=6 episodes, 2014-2015 	
character=Justine	name=Jessica Barden	episodes=6 episodes, 2016 	
character=Oscar Putney	name=David Haig	episodes=5 episodes, 2015 	
character=Angelique	name=Jonny Beauchamp	episodes=5 episodes, 2015 	
character=Octavia Putney	name=Ruth Gemmell	episodes=5 episodes, 2015 	
character=Lavinia Putney	name=Tamsin Topolski	episodes=5 episodes, 2015 	
character=Marjorie	name=Pandora Colin	episodes=5 episodes, 2016 	
character=Peter	name=Graham Butler	episodes=5 episodes, 2014-2015 	
character=Proteus	name=Alex Price	episodes=4 episodes, 2014-2015 	
character=Maud Gunneson	name=Hannah Tointon	episodes=4 episodes, 2014 	
character=Catriona Hartdegen	name=Perdita Weeks	episodes=4 episodes, 2016 	
character=Marshall Franklin Ostow	name=Sean Gilder	episodes=4 episodes, 2016 	
character=Simon	name=Gavin Fowler	episodes=4 episodes, 2014 	
character=Vampire	name=Robert Strange	episodes=4 episodes, 2014 	
character=Boy Familiar	name=Sebastian Croft	episodes=4 episodes, 2016 	
character=Vincent Brand	name=Alun Armstrong	episodes=3 episodes, 2014 	
character=Fenton	name=Olly Alexander	episodes=3 episodes, 2014 	
character=Balfour	name=Jamie Ballard	episodes=3 episodes, 2016 	
character=Attendant - Bedlam	name=Steve Wilson	episodes=3 episodes, 2016 	
character=Lead Familiar	name=Jack Greenlees	episodes=3 episodes, 2016 	
character=Whore 	name=Charlene Gleeson	episodes=2 episodes, 2016 	
character=Professor Abraham Van Helsing	name=David Warner	episodes=2 episodes, 2014 	
