# http://fitlayout.github.io/resource/art27 -> https://www.imdb.com/title/tt5257744/fullcredits/
character=Alison Hawthorne-Price	name=Juliet Rylance	episodes=13 episodes, 2016 	
character=Garrett Hawthorne	name=Antony Starr	episodes=13 episodes, 2016 	
character=Cam Hawthorne	name=Justin Chatwin	episodes=13 episodes, 2016 	
character=Tessa Ross	name=Megan Ketch	episodes=13 episodes, 2016 	
character=Brady Ross	name=Elliot Knight	episodes=13 episodes, 2016 	
character=Sophie Hawthorne	name=Stephanie Leonidas	episodes=13 episodes, 2016 	
character=Jack Hawthorne	name=Gabriel Bateman	episodes=13 episodes, 2016 	
character=Madeline Hawthorne	name=Virginia Madsen	episodes=13 episodes, 2016 	
character=Detective Linda Cutter	name=Deirdre Lovejoy	episodes=9 episodes, 2016 	
character=Naomi Flynn	name=Maureen Sebastian	episodes=9 episodes, 2016 	
character=Tom Price	name=Dylan Bruce	episodes=7 episodes, 2016 	
character=Christina Morales	name=Catalina Sandino Moreno	episodes=6 episodes, 2016 	
character=Dana	name=Teresa Pavlinek	episodes=6 episodes, 2016 	
character=Jennifer Windham	name=Sarah Power	episodes=5 episodes, 2016 	
character=Harper Hawthorne-Price	name=Natalie Prinzen-Klages	episodes=5 episodes, 2016 	
character=Phyllis Krittenhauser	name=Lorna Wilson	episodes=5 episodes, 2016 	
character=Violet Hawthorne-Price	name=Nora Prinzen-Klages	episodes=5 episodes, 2016 	
character=Mayor Bill Conley	name=Enrico Colantoni	episodes=4 episodes, 2016 	
character=Lieutenant Craft	name=Richard Fitzpatrick	episodes=4 episodes, 2016 	
character=April	name=Bethany Joy Lenz	episodes=3 episodes, 2016 	
character=Gunther Holzman	name=Aidan Devine	episodes=3 episodes, 2016 	
character=Mitchell Hawthorne	name=Jamey Sheridan	episodes=3 episodes, 2016 	
character=Age 17	name=Spencer Macpherson	episodes=3 episodes, 2016 	
character=Cam Hawthorne 	name=Spencer Macpherson	episodes=3 episodes, 2016 	
character=Young Garrett Hawthorne	name=Micheal Doonan	episodes=2 episodes, 2016 	
character=Darcy Campano	name=Glenda Braganza	episodes=2 episodes, 2016 	
character=Young Tessa Hawthorne	name=Zoe Ambrose	episodes=2 episodes, 2016 	
character=District Attorney	name=Clive Walton	episodes=2 episodes, 2016 	
character=Officer Baiers	name=Lamont James	episodes=2 episodes, 2016 	
character=Burly Guy	name=Tim Walker	episodes=2 episodes, 2016 	
character=SBK	name=Rod Wilson	episodes=2 episodes, 2016 	
character=John Martin 	name=Rod Wilson	episodes=2 episodes, 2016 	
character=Young Alison Hawthorne	name=Erica Deutschman	episodes=2 episodes, 2016 	
character=Wendy Molson	name=Katie Messina	episodes=2 episodes, 2016 	
character=Kimmie	name=Kate Ross	episodes=2 episodes, 2016 	
