# http://fitlayout.github.io/resource/art28 -> https://www.imdb.com/title/tt2654620/fullcredits/
character=Ephraim Goodweather	name=Corey Stoll	episodes=46 episodes, 2014-2017 	
character=Abraham Setrakian	name=David Bradley	episodes=46 episodes, 2014-2017 	
character=Vasiliy Fet	name=Kevin Durand	episodes=46 episodes, 2014-2017 	
character=Eldritch Palmer	name=Jonathan Hyde	episodes=46 episodes, 2014-2017 	
character=Thomas Eichorst	name=Richard Sammel	episodes=46 episodes, 2014-2017 	
character=Elizalde	name=Miguel Gomez	episodes=46 episodes, 2014-2017 	
character=Gus	name=Miguel Gomez	episodes=46 episodes, 2014-2017 	
character=Augustin 	name=Miguel Gomez	episodes=46 episodes, 2014-2017 	
character=Dutch Velders	name=Ruta Gedmintas	episodes=39 episodes, 2014-2017 	
character=Kelly Goodweather	name=Natalie Brown	episodes=38 episodes, 2014-2017 	
character=Zach Goodweather	name=Max Charles	episodes=33 episodes, 2015-2017 	
character=The Master	name=Robin Atkin Downes	episodes=30 episodes, 2014-2017 	
character=Gabriel Bolivar	name=Jack Kesy	episodes=29 episodes, 2014-2016 	
character=Mr. Quinlan	name=Rupert Penry-Jones	episodes=29 episodes, 2015-2017 	
character=Nora Martinez	name=Mía Maestro	episodes=26 episodes, 2014-2015 	
character=Justine Feraldo	name=Samantha Mathis	episodes=18 episodes, 2015-2016 	
character=Angel Guzman Hurtado	name=Joaquín Cosio	episodes=17 episodes, 2015-2016 	
character=Strigoi	name=Anthony Lake	episodes=2 episodes, 2014-2017 	
character=Zach Goodweather	name=Ben Hyland	episodes=13 episodes, 2014 	
character=The Master	name=Robert Maillet	episodes=13 episodes, 2014-2017 	
character=Reggie Fitzwilliam	name=Roger Cross	episodes=12 episodes, 2014-2015 	
character=Sanjay Desai	name=Cas Anvar	episodes=10 episodes, 2016-2017 	
character=Alonso Creem	name=Jamie Hector	episodes=9 episodes, 2014-2017 	
character=Jim Kent	name=Sean Astin	episodes=9 episodes, 2014-2015 	
character=Coco Marchand	name=Lizzie Brocheré	episodes=9 episodes, 2015 	
character=Dr. Everett Barnes	name=Daniel Kash	episodes=9 episodes, 2014-2015 	
character=Roman	name=K.C. Collins	episodes=8 episodes, 2017 	
character=Marcus	name=Dewshane Williams	episodes=9 episodes, 2015-2017 	
character=Frank Kowalski	name=Paulino Nunes	episodes=9 episodes, 2015-2016 	
character=Guadalupe Elizalde	name=Adriana Barraza	episodes=8 episodes, 2014-2016 	
character=Abraham 	name=Jim Watson	episodes=7 episodes, 2014-2016 	
character=Young Setrakian	name=Jim Watson	episodes=7 episodes, 2014-2016 	
character=Mariela Martinez	name=Anne Betancourt	episodes=6 episodes, 2014 	
character=Alex Green	name=Angel Parker	episodes=6 episodes, 2017 	
character=Mayor George Lyle	name=Ron Canada	episodes=6 episodes, 2015 	
character=Matt Sayles	name=Drew Nelson	episodes=6 episodes, 2014 	
character=The Ancient	name=Doug Jones	episodes=6 episodes, 2014-2016 	
character=Street Mongrel	name=Troy James	episodes=1 episode, 2017 	
character=Abby	name=Jocelyn Hudon	episodes=5 episodes, 2017 	
character=Vaun	name=Stephen McHattie	episodes=5 episodes, 2014-2015 	
character=Ansel Barbour	name=Nikolai Witschl	episodes=5 episodes, 2014 	
character=Ancient 	name=Clayton Scott	episodes=5 episodes, 2014-2016 	
character=Jason Green	name=Rainbow Sun Francks	episodes=4 episodes, 2017 	
character=Diane	name=Inga Cadranel	episodes=4 episodes, 2014 	
character=Charlotte	name=Rhona Mitra	episodes=4 episodes, 2017 	
character=Crispin Elizalde	name=Francis Capra	episodes=4 episodes, 2014 	
character=Oscar	name=Dayton Sinkia	episodes=4 episodes, 2017 	
character=Joan Luss	name=Leslie Hope	episodes=4 episodes, 2014 	
character=Harrison McGeever	name=Ron Lea	episodes=4 episodes, 2015 	
character=Ben	name=Glen Gould	episodes=4 episodes, 2017 	
character=Sherry	name=Jess Salgueiro	episodes=4 episodes, 2014-2017 	
character=Felix	name=Pedro Miguel Arce	episodes=4 episodes, 2014 	
character=Aanya Gupta	name=Parveen Kaur	episodes=4 episodes, 2015 	
character=Naren Gupta	name=Sugith Varughese	episodes=4 episodes, 2015 	
character=Pinsky	name=Gugun Deep Singh	episodes=4 episodes, 2017 	
character=Nikki	name=Nicola Correia-Damude	episodes=4 episodes, 2014-2015 	
character=Sean Duncan	name=Dwain Murphy	episodes=4 episodes, 2016 	
character=Sway	name=Thomas Darya	episodes=3 episodes, 2017 	
character=Pauline McGeever	name=Brenda Bazinet	episodes=3 episodes, 2015 	
character=Raul	name=Michael Reventar	episodes=3 episodes, 2017 	
character=Ruby Wain	name=Regina King	episodes=3 episodes, 2014 	
character=Ann-Marie Barbour	name=Alex Paxton-Beesley	episodes=3 episodes, 2014 	
character=Vhini Gupta	name=Sonya Anand	episodes=3 episodes, 2015 	
character=Young Palmer	name=Charlie Gallant	episodes=3 episodes, 2015-2016 	
character=Margaret Pierson	name=Maria Ricossa	episodes=3 episodes, 2014 	
character=Jeremiah	name=Kjartan Hewitt	episodes=3 episodes, 2017 	
character=Coffer	name=Brian Hamman	episodes=3 episodes, 2017 	
character=Captain Doyle Redfern	name=Jonathan Potts	episodes=3 episodes, 2014 	
character=Marta	name=Nicki Whitely	episodes=3 episodes, 2017 	
character=Nurse Carla Davis	name=Elizabeth Saunders	episodes=3 episodes, 2016 	
character=Lauretta	name=Katy Breier	episodes=3 episodes, 2014 	
character=Gary Arnot	name=Steven McCarthy	episodes=3 episodes, 2014 	
character=Emma Arnot	name=Isabelle Nélisse	episodes=3 episodes, 2014 	
character=Eve	name=Miranda Edwards	episodes=3 episodes, 2015 	
character=Kroft	name=Aaron Lazar	episodes=2 episodes, 2016 	
character=Tardi	name=Lee Tergesen	episodes=3 episodes, 2016 	
character=Sophie	name=Lauren Collins	episodes=2 episodes, 2017 	
character=Lar 	name=Ryan Hollyman	episodes=3 episodes, 2016 	
character=Sun-Hunter	name=Ryan Hollyman	episodes=3 episodes, 2016 	
character=Dr. Draverhaven	name=Nigel Bennett	episodes=2 episodes, 2015-2016 	
character=Abraham	name=Kathleen Chalfant	episodes=2 episodes, 2014-2015 	
character=Grandmother	name=Kathleen Chalfant	episodes=2 episodes, 2014-2015 	
character=Louisa	name=Hannah New	episodes=2 episodes, 2017 	
character=Curtis Fitzwilliam	name=Kevin Hanchard	episodes=2 episodes, 2015 	
character=Rudyard Fonescu	name=David Schaal	episodes=2 episodes, 2015 	
character=Cardinal McNamara	name=Tom Kemp	episodes=2 episodes, 2015 	
character=Mrs. Taylor	name=Mimi Kuzyk	episodes=2 episodes, 2015 	
character=Officer Bonnie	name=Meghan Allen	episodes=2 episodes, 2016 	
character=Selah	name=Supinder Wraich	episodes=2 episodes, 2017 	
character=Marauder 	name=Tim Cody	episodes=2 episodes, 2016 	
character=Megyn Jones	name=Kylee Evans	episodes=2 episodes, 2017 	
character=Miriam Setrakian	name=Adina Verson	episodes=2 episodes, 2014-2015 	
character=Sylvia Kent	name=Melanie Merkosky	episodes=2 episodes, 2014 	
character=Lucy	name=Dorren Lee	episodes=2 episodes, 2017 	
character=Marauder 	name=Dustin Faith	episodes=2 episodes, 2016 	
character=Nadia	name=Chandler Loryn	episodes=2 episodes, 2017 	
character=Miles Parness	name=Sam Herrington	episodes=2 episodes, 2014 	
character=Kevin Farrell	name=Donald Burda	episodes=2 episodes, 2014 	
character=Mike Rivers	name=Conrad Coates	episodes=2 episodes, 2014 	
character=Neeva	name=Kim Roberts	episodes=2 episodes, 2014 	
character=Hank	name=Jason Gosbee	episodes=2 episodes, 2016-2017 	
character=Hollow-Eyed Woman	name=Kathleen Pollard	episodes=2 episodes, 2017 	
character=Julius Styles	name=Matthew D. Matteo	episodes=2 episodes, 2014 	
character=Dr. Bennett	name=Jeffrey R. Smith	episodes=2 episodes, 2014 	
character=Nurse Greenwood	name=Lisa Ryder	episodes=2 episodes, 2017 	
character=Hu Die	name=Mung-Ling Tsui	episodes=2 episodes, 2017 	
character=Councilman Chuck Cohen	name=Craig Eldridge	episodes=2 episodes, 2015 	
character=Alexei Fet	name=Damir Andrei	episodes=2 episodes, 2014-2016 	
character=Michael 	name=Ricky Tollman	episodes=2 episodes, 2015 	
character=Mikey	name=Ricky Tollman	episodes=2 episodes, 2015 	
character=Williams	name=Ricky Tollman	episodes=2 episodes, 2015 	
character=Bennett	name=Asim Wali	episodes=2 episodes, 2015 	
character=Audrey Luss	name=Malley	episodes=2 episodes, 2014 	
character=Audrey Luss	name=Chloe O	episodes=2 episodes, 2014 	
character=Lydia	name=Teagan Wright	episodes=2 episodes, 2017 	
character=Arthur Fitzwilliam	name=Glen Michael Grant	episodes=2 episodes, 2015 	
character=Corrections Officer Hernandez	name=Rothaford Gray	episodes=2 episodes, 2014 	
character=Keene Luss	name=Jayden Greig	episodes=2 episodes, 2014 	
character=Paco	name=Jason Oliveira	episodes=2 episodes, 2015 	
character=Roach	name=Evan Stern	episodes=2 episodes, 2017 	
character=Dr. Morse	name=Shawn Lawrence	episodes=2 episodes, 2014 	
character=Diego	name=Chris Pineda	episodes=2 episodes, 2015 	
character=Newscaster	name=J.C. Kenny	episodes=2 episodes, 2014 	
character=Doctor Weiss	name=Helen Taylor	episodes=2 episodes, 2017 	
character=Trip Taylor	name=Darrin Baker	episodes=2 episodes, 2014 	
character=Dr. William Lester	name=Ali Momen	episodes=2 episodes, 2014 	
character=Ancient 	name=Tyler Evan Webb	episodes=2 episodes, 2016 	
character=Caldwell	name=Joe Pingue	episodes=2 episodes, 2014 	
character=Captain Kate Rogers	name=America Olivo	episodes=2 episodes, 2016 	
character=Cyrus Minow	name=Jonathan Higgins	episodes=2 episodes, 2016 	
character=Joshua	name=Brett Ryan	episodes=2 episodes, 2015 	
character=Flores	name=Katie Messina	episodes=1 episode, 2017 	
character=Narrator	name=Lance Henriksen	episodes=1 episode, 2014 	
character=Roger Luss	name=Aaron Douglas	episodes=1 episode, 2014 	
character=Sergei Fetrovski	name=Mike Dopud	episodes=1 episode, 2016 	
character=Leigh Thomas	name=Nadia Bowers	episodes=1 episode, 2015 	
character=Alexei Boiko	name=Costa Ronin	episodes=1 episode, 2016 	
character=Bella	name=Jeananne Goossen	episodes=1 episode, 2016 	
character=Ancharia	name=Deanna Dunagan	episodes=1 episode, 2016 	
character=Randy	name=Joe Delfin	episodes=1 episode, 2016 	
character=Special Agent Monroe	name=Dan Lett	episodes=1 episode, 2014 	
character=Hassan	name=Vas Saranga	episodes=1 episode, 2014 	
character=Xun	name=Jeff Kassel	episodes=1 episode, 2016 	
character=Jack Noon	name=Larry Fessenden	episodes=1 episode, 2014 	
character=Buck Norris	name=George Buza	episodes=1 episode, 2014 	
character=James O	name=Don Stark	episodes=1 episode, 2016 	
character=Neill	name=Don Stark	episodes=1 episode, 2016 	
character=Little Girl	name=Makenna Beatty	episodes=1 episode, 2016 	
character=Ron	name=Taso Alexander	episodes=1 episode, 2016 	
character=B-Positive Donor	name=Nicole Babb	episodes=1 episode, 2017 	
character=Brooklyn Guy	name=Rick Baker	episodes=1 episode, 2014 	
character=Roman	name=James Cade	episodes=1 episode, 2014 	
character=Rob Bradley	name=Tom Ellis	episodes=1 episode, 2015 	
character=Checkpoint Police Officer	name=Milton Barnes	episodes=1 episode, 2015 	
character=Lindsay	name=Hannan Younis	episodes=1 episode, 2016 	
character=Boat Captain	name=Daniel Matmor	episodes=1 episode, 2016 	
character=Dr. Wilson Kerry	name=Ben Carlson	episodes=1 episode, 2016 	
character=Francis	name=Tonya Pinkins	episodes=1 episode, 2017 	
character=Karen	name=Lindsey Connell	episodes=1 episode, 2017 	
character=Val	name=Camille Stopps	episodes=1 episode, 2014 	
character=Brea	name=Quincy Tyler Bernstine	episodes=1 episode, 2014 	
character=Marianne	name=Christy Bruce	episodes=1 episode, 2015 	
character=Senator Sertorius	name=Tadhg McMahon	episodes=1 episode, 2015 	
character=Engineer	name=Gary Biggar	episodes=1 episode, 2015 	
character=Fay	name=Zarrin Darnell-Martin	episodes=1 episode, 2016 	
character=Saskia van Orden	name=Erin Noble	episodes=1 episode, 2016 	
character=Night Patrol Officer 	name=Ted Charette	episodes=1 episode, 2016 	
character=Jenn	name=Katherine Gauthier	episodes=1 episode, 2017 	
character=Hollow-Eyed Woman	name=Dave Barclay	episodes=1 episode, 2017 	
character=Husband	name=Dave Barclay	episodes=1 episode, 2017 	
character=Syndie	name=Tiffany Martin	episodes=1 episode, 2014 	
character=Officer Green	name=Neil Girvan	episodes=1 episode, 2015 	
character=Patrick	name=Tim O	episodes=1 episode, 2015 	
character=Patrick	name=Halloran	episodes=1 episode, 2015 	
character=Victor	name=Greg Campbell	episodes=1 episode, 2015 	
character=Homeland Security Agent	name=Kris Bowman	episodes=1 episode, 2015 	
character=Kimberly	name=Kaniehtiio Horn	episodes=1 episode, 2016 	
character=Bob Borgen	name=David Huband	episodes=1 episode, 2016 	
character=The Roman Master	name=Paul Aspland	episodes=1 episode, 2016 	
character=Guard	name=Jarrett Downey-Shaw	episodes=1 episode, 2016 	
character=Officer	name=JD Smith	episodes=1 episode, 2017 	
character=Jack Murphy	name=David Bronfman	episodes=1 episode, 2017 	
