# http://fitlayout.github.io/resource/art3 -> https://www.imdb.com/title/tt0285331/fullcredits/
character=Jack Bauer	name=Kiefer Sutherland	episodes=195 episodes, 2001-2010 	
character=Chloe O	name=Mary Lynn Rajskub	episodes=125 episodes, 2003-2010 	
character=Brian	name=Mary Lynn Rajskub	episodes=125 episodes, 2003-2010 	
character=Tony Almeida	name=Carlos Bernard	episodes=114 episodes, 2001-2009 	
character=President David Palmer	name=Dennis Haysbert	episodes=78 episodes, 2001-2007 	
character=Kim Bauer	name=Elisha Cuthbert	episodes=78 episodes, 2001-2010 	
character=Bill Buchanan	name=James Morrison	episodes=62 episodes, 2005-2009 	
character=Michelle Dessler	name=Reiko Aylesworth	episodes=61 episodes, 2002-2006 	
character=Mike Novick	name=Jude Ciccolella	episodes=58 episodes, 2001-2006 	
character=Audrey Raines	name=Kim Raver	episodes=52 episodes, 2004-2007 	
character=Aaron Pierce	name=Glenn Morshower	episodes=49 episodes, 2001-2009 	
character=Wayne Palmer	name=D.B. Woodside	episodes=48 episodes, 2003-2007 	
character=Curtis Manning	name=Roger Cross	episodes=45 episodes, 2005-2007 	
character=Sherry Palmer	name=Penny Johnson Jerald	episodes=45 episodes, 2001-2004 	
character=President Allison Taylor	name=Cherry Jones	episodes=43 episodes, 2009-2010 	
character=President Charles Logan	name=Gregory Itzin	episodes=43 episodes, 2005-2010 	
character=Renee Walker	name=Annie Wersching	episodes=37 episodes, 2009-2010 	
character=Edgar Stiles	name=Louis Lombardi	episodes=37 episodes, 2005-2006 	
character=Nina Myers	name=Sarah Clarke	episodes=36 episodes, 2001-2004 	
character=Ethan Kanin	name=Bob Gunton	episodes=31 episodes, 2007-2010 	
character=Karen Hayes	name=Jayne Atkinson	episodes=30 episodes, 2006-2007 	
character=Morris O	name=Carlo Rota	episodes=29 episodes, 2006-2009 	
character=Brian	name=Carlo Rota	episodes=29 episodes, 2006-2009 	
character=Milo Pressman	name=Eric Balfour	episodes=27 episodes, 2001-2007 	
character=George Mason	name=Xander Berkeley	episodes=27 episodes, 2001-2003 	
character=Kate Warner	name=Sarah Wynter	episodes=25 episodes, 2002-2003 	
character=Martha Logan	name=Jean Smart	episodes=24 episodes, 2006-2007 	
character=Teri Bauer	name=Leslie Hope	episodes=24 episodes, 2001-2002 	
character=Tom Lennox	name=Peter MacNicol	episodes=24 episodes, 2007 	
character=Chase Edmunds	name=James Badge Dale	episodes=24 episodes, 2003-2004 	
character=Arlo Glass	name=John Boyd	episodes=24 episodes, 2010 	
character=Cole Ortiz	name=Freddie Prinze Jr.	episodes=24 episodes, 2010 	
character=Nadia Yassir	name=Marisol Nichols	episodes=24 episodes, 2007 	
character=Tim Woods	name=Frank John Hughes	episodes=23 episodes, 2009-2010 	
character=Ryan Chappelle	name=Paul Schulze	episodes=22 episodes, 2002-2004 	
character=Jackie	name=Marci Michelle	episodes=20 episodes, 2005-2009 	
character=Adam Kaufman	name=Zachary Quinto	episodes=23 episodes, 2003-2004 	
character=Agent Berkin	name=Greg Hartigan	episodes=1 episode, 2002-2004 	
character=Janis Gold	name=Janeane Garofalo	episodes=21 episodes, 2009 	
character=Kayla Hassan	name=Nazneen Contractor	episodes=21 episodes, 2010 	
character=CTU Staffer	name=Dana Bunch	episodes=2 episodes, 2003-2009 	
character=Dana Walsh	name=Katee Sackhoff	episodes=20 episodes, 2010 	
character=Dalia Hassan	name=Necar Zadegan	episodes=20 episodes, 2010 	
character=Larry Moss	name=Jeffrey Nordling	episodes=19 episodes, 2009 	
character=Rick Allen	name=Daniel Bess	episodes=18 episodes, 2001-2002 	
character=Lynne Kresge	name=Michelle Forbes	episodes=18 episodes, 2002-2003 	
character=President John Keeler	name=Geoff Pierson	episodes=18 episodes, 2003-2005 	
character=Brian Hastings	name=Mykelti Williamson	episodes=17 episodes, 2010 	
character=Habib Marwan	name=Arnold Vosloo	episodes=17 episodes, 2005 	
character=Agent Daniel Reed	name=Steve Lanza	episodes=2 episodes, 2003-2010 	
character=President Omar Hassan	name=Anil Kapoor	episodes=15 episodes, 2010 	
character=Andre Drazen	name=Zeljko Ivanek	episodes=14 episodes, 2002 	
character=Abu Fayed	name=Adoni Maropis	episodes=15 episodes, 2007 	
character=President Yuri Suvarov	name=Nick Jameson	episodes=14 episodes, 2006-2010 	
character=Vice President Noah Daniels	name=Powers Boothe	episodes=14 episodes, 2007 	
character=Gael Ortega	name=Jesse Borrego	episodes=14 episodes, 2003-2004 	
character=Olivia Taylor	name=Sprague Grayden	episodes=14 episodes, 2009 	
character=Marie Warner	name=Laura Harris	episodes=14 episodes, 2002-2003 	
character=Erin Driscoll	name=Alberta Watson	episodes=13 episodes, 2004-2005 	
character=Keith Palmer	name=Vicellous Shannon	episodes=13 episodes, 2001-2002 	
character=Cheng Zhi	name=Tzi Ma	episodes=12 episodes, 2005-2007 	
character=Henry Taylor	name=Colm Feore	episodes=12 episodes, 2009 	
character=Behrooz Araz	name=Jonathan Ahdout	episodes=12 episodes, 2005 	
character=Ira Gaines	name=Michael Massee	episodes=12 episodes, 2001-2002 	
character=Rob Weiss	name=Chris Diamantopoulos	episodes=12 episodes, 2010 	
character=Sarah Gavin	name=Lana Parrilla	episodes=12 episodes, 2005 	
character=Ramon Salazar	name=Joaquim de Almeida	episodes=12 episodes, 2003-2004 	
character=Hector Salazar	name=Vincent Laresca	episodes=12 episodes, 2003-2004 	
character=Bob Warner	name=John Terry	episodes=12 episodes, 2002-2003 	
character=Marilyn Bauer	name=Rena Sofer	episodes=12 episodes, 2007 	
character=Admiral John Smith	name=Ryan Cutrona	episodes=12 episodes, 2007-2010 	
character=Mike Doyle	name=Ricky Schroder	episodes=12 episodes, 2007 	
character=Dina Araz	name=Shohreh Aghdashloo	episodes=12 episodes, 2005 	
character=Dr. Sunny Macer	name=Christina Chang	episodes=11 episodes, 2003-2009 	
character=Carrie Turner	name=Lourdes Benedicto	episodes=11 episodes, 2003 	
character=Jamey Farrell	name=Karina Arroyave	episodes=11 episodes, 2001-2002 	
character=Vladimir Bierko	name=Julian Sands	episodes=11 episodes, 2006 	
character=Walt Cummings	name=John Allen Nelson	episodes=11 episodes, 2005-2006 	
character=Tom Baker	name=Daniel Dae Kim	episodes=11 episodes, 2003-2004 	
character=Tarin Faroush	name=T.J. Ramini	episodes=11 episodes, 2010 	
character=Alan York	name=Richard Burgi	episodes=11 episodes, 2001-2002 	
character=Christopher Henderson	name=Peter Weller	episodes=11 episodes, 2006 	
character=Claudia Hernandez	name=Vanessa Ferlito	episodes=10 episodes, 2003-2004 	
character=Agent Ryan	name=Alexis Cassar	episodes=11 episodes, 2007 	
character=Reza Naiyeer	name=Phillip Rhys Chaudhary	episodes=10 episodes, 2002-2003 	
character=Jonas Hodges	name=Jon Voight	episodes=10 episodes, 2009 	
character=Agent John	name=Michael Jacey	episodes=1 episode, 2002-2007 	
character=Stephen Saunders	name=Paul Blackthorne	episodes=10 episodes, 2004 	
character=Sean Hillinger	name=Rhys Coiro	episodes=10 episodes, 2009 	
character=Lynn McGill	name=Sean Astin	episodes=10 episodes, 2006 	
character=Navi Araz	name=Nestor Serrano	episodes=10 episodes, 2005 	
character=Samir Mehran	name=Mido Hamada	episodes=10 episodes, 2010 	
character=Evelyn Martin	name=Sandrine Holt	episodes=10 episodes, 2006 	
character=Lisa Miller	name=Kari Matchett	episodes=10 episodes, 2007 	
character=Miles Papazian	name=Stephen Spinella	episodes=10 episodes, 2006 	
character=Josh Bauer	name=Evan Ellingson	episodes=10 episodes, 2007 	
character=Paul Raines	name=James Frain	episodes=9 episodes, 2005 	
character=Sandra Palmer	name=Regina King	episodes=9 episodes, 2007 	
character=Michael Amador	name=Greg Ellis	episodes=9 episodes, 2003-2004 	
character=Kevin Wade	name=Clayne Crawford	episodes=9 episodes, 2010 	
character=Patty Brooks	name=Tanya Wright	episodes=9 episodes, 2001-2002 	
character=Lee Castle	name=Cameron Bancroft	episodes=9 episodes, 2005 	
character=Colonel Iké Dubaku	name=Hakeem Kae-Kazim	episodes=9 episodes, 2009 	
character=Jamot	name=Navid Negahban	episodes=9 episodes, 2005-2010 	
character=Susan	name=Sarah Hollis	episodes=9 episodes, 2010 	
character=Graem Bauer	name=Paul McCrane	episodes=9 episodes, 2006-2007 	
character=Dr. Anne Packard	name=Wendy Crewson	episodes=8 episodes, 2003 	
character=Megan Matheson	name=Skye McCole Bartusiak	episodes=8 episodes, 2002-2003 	
character=Phillip Bauer	name=James Cromwell	episodes=8 episodes, 2007 	
character=Jason Pillar	name=Reed Diamond	episodes=8 episodes, 2010 	
character=Carl Webb	name=Zach Grenier	episodes=8 episodes, 2001-2002 	
character=Reed Pollock	name=Chad Lowe	episodes=8 episodes, 2007 	
