# http://fitlayout.github.io/resource/art33 -> https://www.imdb.com/title/tt2618986/fullcredits/
character=Arlene Moran	name=Siobhan Fallon Hogan	episodes=16 episodes, 2015-2016 	
character=Dr. Jenkins	name=Toby Jones	episodes=15 episodes, 2015-2016 	
character=Theresa Burke	name=Shannyn Sossamon	episodes=14 episodes, 2015-2016 	
character=Megan Fisher	name=Hope Davis	episodes=14 episodes, 2015-2016 	
character=Jason Higgins	name=Tom Stevens	episodes=12 episodes, 2015-2016 	
character=Ben Burke	name=Charlie Tahan	episodes=12 episodes, 2015-2016 	
character=Kate Hewson	name=Carla Gugino	episodes=11 episodes, 2015-2016 	
character=Nurse Pam	name=Melissa Leo	episodes=11 episodes, 2015-2016 	
character=Ethan Burke	name=Matt Dillon	episodes=10 episodes, 2015 	
character=Dr. Theo Yedlin	name=Jason Patric	episodes=10 episodes, 2016 	
character=Rebecca Yedlin	name=Nimrat Kaur	episodes=10 episodes, 2016 	
character=Xander Beck	name=Josh Helman	episodes=10 episodes, 2016 	
character=Kerry Campbell	name=Kacey Rohl	episodes=10 episodes, 2016 	
character=CJ Mitchum	name=Djimon Hounsou	episodes=10 episodes, 2016 	
character=Adam Hassler	name=Tim Griffin	episodes=9 episodes, 2015-2016 	
character=Mario	name=Christopher Meyer	episodes=9 episodes, 2016 	
character=Harold Balinger	name=Reed Diamond	episodes=8 episodes, 2015 	
character=Frank Armstrong	name=Michael Garza	episodes=7 episodes, 2016 	
character=Lucy	name=Emma Tremblay	episodes=7 episodes, 2016 	
character=True Believer 	name=Donny Lucas	episodes=7 episodes, 2015-2016 	
character=Margaret	name=Rochelle Okoye	episodes=7 episodes, 2016 	
character=Amy	name=Sarah Jeffery	episodes=6 episodes, 2015 	
character=Tim Bell	name=Chad Krowchuk	episodes=6 episodes, 2015 	
character=Oscar	name=Amitai Marmorstein	episodes=6 episodes, 2016 	
character=Dale	name=Hirondelle	episodes=6 episodes, 2016 	
character=Dale	name=Tyronne L	episodes=6 episodes, 2016 	
character=Sean	name=RJ Fetherstonhaugh	episodes=6 episodes, 2015-2016 	
character=Gina	name=Janet Glassford	episodes=6 episodes, 2015-2016 	
character=Bartender	name=Christian Tessier	episodes=5 episodes, 2015-2016 	
character=Sheriff Pope	name=Terrence Howard	episodes=5 episodes, 2015-2016 	
character=Ruby	name=Greta Lee	episodes=5 episodes, 2015-2016 	
character=Simeon	name=Jaime M. Callica	episodes=5 episodes, 2016 	
character=Ramsey	name=Tyson Bellusci	episodes=5 episodes, 2016 	
character=Nancy	name=Kate Bateman	episodes=5 episodes, 2016 	
character=Brad Fisher	name=Barclay Hope	episodes=4 episodes, 2015 	
character=Big Bill	name=Michael McShane	episodes=4 episodes, 2015 	
character=Drake	name=David Raynolds	episodes=4 episodes, 2016 	
character=Female Abby 	name=Carolyn Anderson	episodes=3 episodes, 2016 	
character=Beverly Brown	name=Juliette Lewis	episodes=3 episodes, 2015 	
character=Henrietta	name=Teryl Rothery	episodes=3 episodes, 2015 	
character=Franklin Dobbs	name=Ian Tracey	episodes=3 episodes, 2015 	
character=Doctor Carol	name=Roger Haskett	episodes=3 episodes, 2015 	
character=Boy on Bike	name=Jared Ager-Foster	episodes=3 episodes, 2015 	
character=Kyle	name=Darren Mann	episodes=3 episodes, 2016 	
character=Marcy	name=Lusia Strus	episodes=3 episodes, 2015 	
character=Meadow	name=Tina Georgieva	episodes=3 episodes, 2016 	
