# http://fitlayout.github.io/resource/art36 -> https://www.imdb.com/title/tt2707408/fullcredits/
character=Javier Peña	name=Pedro Pascal	episodes=30 episodes, 2015-2017 	
character=Pablo Escobar	name=Wagner Moura	episodes=20 episodes, 2015-2016 	
character=Steve Murphy	name=Boyd Holbrook	episodes=20 episodes, 2015-2016 	
character=Pacho Herrera	name=Alberto Ammann	episodes=20 episodes, 2015-2017 	
character=Tata Escobar	name=Paulina Gaitan	episodes=19 episodes, 2015-2016 	
character=Juan Pablo Escobar	name=Juan Murcia	episodes=19 episodes, 2015-2016 	
character=Trujillo	name=Jorge Monterrosa	episodes=18 episodes, 2015-2017 	
character=César Gaviria	name=Raúl Méndez	episodes=17 episodes, 2015-2016 	
character=Navegante	name=Juan Sebastián Calero	episodes=17 episodes, 2015-2017 	
character=Hermilda Gaviria	name=Paulina García	episodes=15 episodes, 2015-2016 	
character=La Quica	name=Diego Cataño	episodes=15 episodes, 2015-2016 	
character=Arthur Crosby	name=Brett Cullen	episodes=15 episodes, 2016-2017 	
character=Blackie	name=Julián Díaz	episodes=15 episodes, 2015-2016 	
character=Connie Murphy	name=Joanna Christie	episodes=14 episodes, 2015-2016 	
character=Horacio Carrillo	name=Maurice Compte	episodes=12 episodes, 2015-2016 	
character=Manuela	name=María José Sanchez Real	episodes=12 episodes, 2015-2016 	
character=Valeria Velez	name=Stephanie Sigman	episodes=11 episodes, 2015-2016 	
character=Jorge Salcedo	name=Matias Varela	episodes=10 episodes, 2017 	
character=David Rodriguez	name=Arturo Castro	episodes=10 episodes, 2017 	
character=Eduardo Sandoval	name=Manolo Cardona	episodes=10 episodes, 2015-2016 	
character=Fernando Duque	name=Bruno Bichir	episodes=10 episodes, 2015-2016 	
character=Maria Salazar	name=Andrea Londo	episodes=10 episodes, 2017 	
character=Limon	name=Leynar Gomez	episodes=10 episodes, 2016 	
character=Gustavo Gaviria	name=Juan Pablo Raba	episodes=10 episodes, 2015-2016 	
character=Agent DEA	name=Richard T. Jones	episodes=10 episodes, 2015-2016 	
character=Paola Salcedo	name=Taliana Vargas	episodes=10 episodes, 2017 	
character=Don Berna	name=Mauricio Cujar	episodes=10 episodes, 2016-2017 	
character=Technician	name=Jason Chad Roth	episodes=10 episodes, 2015 	
character=Chepe Santacruz Londoño	name=Pêpê Rapazote	episodes=9 episodes, 2017 	
character=Chris Feistl	name=Michael Stahl-David	episodes=9 episodes, 2017 	
character=Daniel Van Ness	name=Matt Whelan	episodes=9 episodes, 2017 	
character=Poison	name=Jorge A. Jimenez	episodes=9 episodes, 2015-2016 	
character=Bill Stechner	name=Eric Lange	episodes=9 episodes, 2016-2017 	
character=Ambassador Noonan	name=Danielle Kennedy	episodes=9 episodes, 2015 	
character=Enrique	name=Carrell Lasso	episodes=9 episodes, 2017 	
character=Darío	name=Roberto Cano	episodes=9 episodes, 2017 	
character=Colonel Martinez	name=Juan Pablo Shuk	episodes=9 episodes, 2016-2017 	
character=Vera Salcedo	name=Juana Álvarez	episodes=9 episodes, 2017 	
character=Judy Moncada	name=Cristina Umaña	episodes=8 episodes, 2015-2016 	
character=Major Wysession	name=Patrick St. Esprit	episodes=8 episodes, 2015-2016 	
character=Edward Jacoby	name=Konstantin Melikhov	episodes=8 episodes, 2016 	
character=Sure Shot	name=Ariel Sierra	episodes=8 episodes, 2015-2016 	
character=Carlos Castaño	name=Mauricio Mejía	episodes=8 episodes, 2016-2017 	
character=Fidel Castaño	name=Gustavo Angarita Jr.	episodes=8 episodes, 2016-2017 	
character=Gustavo De Greiff	name=Germán Jaramillo	episodes=8 episodes, 2016 	
character=Jorge Luis Ochoa	name=André Mattos	episodes=7 episodes, 2015 	
character=Fabio Ochoa	name=Roberto Urbina	episodes=7 episodes, 2015 	
character=Claudia Messina	name=Florencia Lozano	episodes=7 episodes, 2016 	
character=Velasco	name=Alejandro Buitrago	episodes=7 episodes, 2015-2016 	
character=Ricardo Prisco	name=Federico Rivera	episodes=7 episodes, 2016 	
character=Jairo	name=Jairo Ordoñez	episodes=7 episodes, 2015-2016 	
character=Alma Salcedo	name=Bella Barragán	episodes=7 episodes, 2017 	
character=Guillermo Pallomari	name=Javier Cámara	episodes=6 episodes, 2017 	
character=José Rodríguez Gacha	name=Luis Guzmán	episodes=6 episodes, 2015 	
character=Orlando Henao	name=Julián Arango	episodes=6 episodes, 2017 	
character=Hugo Martinez Jr.	name=Sebastian Vega	episodes=6 episodes, 2016 	
character=Fercho	name=Cristian Sarmiento	episodes=6 episodes, 2017 	
character=Gerda	name=Vicky Hernández	episodes=6 episodes, 2017 	
character=CIA Agent Owen	name=Thaddeus Phillips	episodes=6 episodes, 2015-2016 	
character=Gaviria	name=Alejandra Crispin	episodes=6 episodes, 2015-2016 	
character=Secretary	name=Alejandra Crispin	episodes=6 episodes, 2015-2016 	
character=General Diego Vargas	name=Álvaro García	episodes=6 episodes, 2016-2017 	
character=Christina Jurado	name=Kerry Bishé	episodes=5 episodes, 2017 	
character=Maritza	name=Martina García	episodes=5 episodes, 2016 	
character=Franklin Jurado	name=Miguel Ángel Silvestre	episodes=5 episodes, 2017 	
character=Elisa Alvaro	name=Ana de la Reguera	episodes=5 episodes, 2015 	
character=Carlo Córdova	name=Andrés Crespo	episodes=5 episodes, 2017 	
character=Nicolas Rodriguez	name=Sebastian Eslava	episodes=5 episodes, 2017 	
character=Fernando Botero	name=Luis Mesa	episodes=5 episodes, 2017 	
character=Stoddard	name=Raymond Ablack	episodes=5 episodes, 2017 	
character=Wilber Varela	name=Girolly Gutierrez	episodes=5 episodes, 2017 	
character=Ana Gaviria	name=Vera Mercado	episodes=5 episodes, 2015-2016 	
character=Patricia Pallomari	name=Lina Castrillón	episodes=5 episodes, 2017 	
character=Pedro Salazar	name=Jerónimo Barón	episodes=5 episodes, 2017 	
character=Amado Carrillo Fuentes	name=José María Yazpik	episodes=4 episodes, 2017 	
character=Carlos Lehder	name=Juan Riedinger	episodes=4 episodes, 2015 	
character=Flaco	name=Arnold Cantillo	episodes=4 episodes, 2017 	
character=The Lion	name=Jon-Michael Ecker	episodes=4 episodes, 2015-2016 	
character=General Serrano	name=Gastón Velandia	episodes=4 episodes, 2015-2017 	
character=Alberto Suarez	name=Julián Beltrán	episodes=4 episodes, 2015 	
character=Alvaro Herrera	name=Edgar Prada	episodes=4 episodes, 2017 	
character=Sergeant Morales	name=Fabian Villa	episodes=4 episodes, 2016 	
character=Marina Ochoa	name=Laura Perico	episodes=4 episodes, 2015 	
character=Kiko Moncada	name=Christian Tappan	episodes=4 episodes, 2015-2016 	
character=Fernando Galeano	name=Orlando Valenzuela	episodes=4 episodes, 2015-2016 	
character=General Jaramillo	name=Andrés Felipe Martínez	episodes=4 episodes, 2015 	
