# http://fitlayout.github.io/resource/art39 -> https://www.imdb.com/title/tt4898282/fullcredits/
character=Arthur Bailey	name=Alan Ritchson	episodes=13 episodes, 2017 	
character=Grace d	name=Christina Ochoa	episodes=13 episodes, 2017 	
character=Argento	name=Christina Ochoa	episodes=13 episodes, 2017 	
character=Christopher Carpenter	name=Thomas Dominique	episodes=13 episodes, 2017 	
character=Aki	name=Marama Corlett	episodes=13 episodes, 2017 	
character=Julian Slink	name=Colin Cunningham	episodes=13 episodes, 2017 	
character=Old Man Heart	name=Sean Cameron Michael	episodes=6 episodes, 2017 	
character=The Scholar	name=Darren Kent	episodes=6 episodes, 2017 	
character=Garrett Kemble	name=Aidan Whytock	episodes=5 episodes, 2017 	
character=Rasher	name=Carel Nel	episodes=5 episodes, 2017 	
character=The Gentleman	name=Andrew Hall	episodes=4 episodes, 2017 	
character=Karma	name=Alex McGregor	episodes=4 episodes, 2017 	
character=Cliff	name=Craig Jackson	episodes=4 episodes, 2017 	
character=Rib Bone	name=Brandon Auret	episodes=4 episodes, 2017 	
character=Domi	name=Jenny Stead	episodes=4 episodes, 2017 	
character=Captain Clown Dick	name=Paul Pieterse	episodes=4 episodes, 2017 	
character=Stacey Fung	name=Natalie Mendoza	episodes=3 episodes, 2017 	
character=Battledrome Fighter	name=Reon Van Der Watt	episodes=3 episodes, 2017 	
character=Sheriff Leon	name=Danny Keogh	episodes=2 episodes, 2017 	
character=Alex Kurosky	name=Claire Berlein	episodes=2 episodes, 2017 	
character=Bill Henry	name=Paul Snodgrass	episodes=2 episodes, 2017 	
character=Doctor 2	name=Rob van Vuuren	episodes=2 episodes, 2017 	
character=Dr. Vermaak	name=Warrick Grier	episodes=2 episodes, 2017 	
character=Sergeant Gower	name=Altovise Lawrence	episodes=2 episodes, 2017 	
character=Fat E	name=Adam Pelkowitz	episodes=2 episodes, 2017 	
character=Drive-Through Girl	name=Frances Sholto-Douglas	episodes=2 episodes, 2017 	
character=Mohawk	name=Dorian Holdren	episodes=2 episodes, 2017 	
character=Mercedes	name=Renée Castle	episodes=1 episode, 2017 	
character=Jeff Warren	name=Tumisho Masha	episodes=1 episode, 2017 	
character=Terry	name=Odelle de Wet	episodes=1 episode, 2017 	
character=Roland	name=Michael Bundred	episodes=1 episode, 2017 	
character=Anne	name=Meganne Young	episodes=1 episode, 2017 	
character=Diane	name=Jay Anstey	episodes=1 episode, 2017 	
character=Melanie	name=Ashley de Lange	episodes=1 episode, 2017 	
character=Documentarian	name=Amy Letcher	episodes=1 episode, 2017 	
character=Karl Kox	name=Tony Caprari	episodes=1 episode, 2017 	
character=Rebel Leader	name=Peter Butler	episodes=1 episode, 2017 	
character=Pearl	name=Pik Sen Lim	episodes=1 episode, 2017 	
character=Mimi Kox	name=Roxane Hayward	episodes=1 episode, 2017 	
character=David	name=Ashish Gangapersad	episodes=1 episode, 2017 	
character=Wife	name=Leigh Bremridge	episodes=1 episode, 2017 	
character=Rebel Leader	name=Leigh Bremridge	episodes=1 episode, 2017 	
character=Dr. Kleinfeld	name=Luthuli Dlamini	episodes=1 episode, 2017 	
character=Operator	name=Gino Lee	episodes=1 episode, 2017 	
character=Abby the Hun	name=Lee-Anne Liebenberg	episodes=1 episode, 2017 	
character=Sutherland	name=Stephen Jennings	episodes=1 episode, 2017 	
character=Team Leader	name=Kevin Otto	episodes=1 episode, 2017 	
character=Cameraman	name=Keenan Arrison	episodes=1 episode, 2017 	
character=Receptionist	name=Jaco Nothnagel	episodes=1 episode, 2017 	
character=Amazon Sperm Slave	name=Matthew Lotter	episodes=1 episode, 2017 	
