# http://fitlayout.github.io/resource/art4 -> https://www.imdb.com/title/tt0285333/fullcredits/
character=Sydney Bristow	name=Jennifer Garner	episodes=105 episodes, 2001-2006 	
character=Arvin Sloane	name=Ron Rifkin	episodes=105 episodes, 2001-2006 	
character=Marcus Dixon	name=Carl Lumbly	episodes=105 episodes, 2001-2006 	
character=Marshall Flinkman	name=Kevin Weisman	episodes=105 episodes, 2001-2006 	
character=Jack Bristow	name=Victor Garber	episodes=105 episodes, 2001-2006 	
character=Michael Vaughn	name=Michael Vartan	episodes=95 episodes, 2001-2006 	
character=Eric Weiss	name=Greg Grunberg	episodes=55 episodes, 2001-2006 	
character=Julian Sark	name=David Anders	episodes=55 episodes, 2002-2006 	
character=Francie Calfo	name=Merrin Dungey	episodes=47 episodes, 2001-2006 	
character=Will Tippin	name=Bradley Cooper	episodes=46 episodes, 2001-2006 	
character=Nadia Santos	name=Mía Maestro	episodes=31 episodes, 2004-2006 	
character=Irina Derevko	name=Lena Olin	episodes=27 episodes, 2002-2006 	
character=Lauren Reed	name=Melissa George	episodes=22 episodes, 2003-2005 	
character=Rachel Gibson	name=Rachel Nichols	episodes=17 episodes, 2005-2006 	
character=Thomas Grace	name=Balthazar Getty	episodes=17 episodes, 2005-2006 	
character=Kelly Peyton	name=Amy Acker	episodes=13 episodes, 2005-2006 	
character=Renée Rienne	name=Élodie Bouchez	episodes=12 episodes, 2005-2006 	
character=Dr. Judy Barnett	name=Patricia Wettig	episodes=11 episodes, 2002-2004 	
character=Agent Blake	name=Kevin Sutherland	episodes=10 episodes, 2002-2004 	
character=Emily Sloane	name=Amy Irving	episodes=9 episodes, 2002-2005 	
character=Arthur Devlin	name=James Handy	episodes=8 episodes, 2002-2006 	
character=Carrie Bowman	name=Amanda Foreman	episodes=8 episodes, 2003-2006 	
character=Jenny	name=Sarah Shahi	episodes=7 episodes, 2001-2002 	
character=C.I.A. Techie Rick McCarthy	name=Ira Heiden	episodes=7 episodes, 2002-2003 	
character=Charlie Bernard	name=Evan Parke	episodes=6 episodes, 2001-2002 	
character=Anna Espinosa	name=Gina Torres	episodes=6 episodes, 2001-2006 	
character=Robert Lindsey	name=Kurt Fuller	episodes=6 episodes, 2003 	
character=Gordon Dean	name=Tyrees Allen	episodes=6 episodes, 2005 	
character=Calvin McCullough	name=Angus Scrimm	episodes=6 episodes, 2001-2005 	
character=Agent Grey	name=Don Took	episodes=6 episodes, 2001-2003 	
character=Elena Derevko	name=Sonia Braga	episodes=5 episodes, 2005 	
character=Katya Derevko	name=Isabella Rossellini	episodes=5 episodes, 2004-2005 	
character=Steven Haladki	name=Joey Slotnick	episodes=5 episodes, 2002 	
character=Dr. Zhang Lee	name=Ric Young	episodes=5 episodes, 2001-2004 	
character=Diane Dixon	name=Yvonne Farrow	episodes=5 episodes, 2001-2003 	
