# http://fitlayout.github.io/resource/art40 -> https://www.imdb.com/title/tt0944947/fullcredits/
character=Tyrion Lannister	name=Peter Dinklage	episodes=67 episodes, 2011-2019 	
character=Cersei Lannister	name=Lena Headey	episodes=62 episodes, 2011-2019 	
character=Daenerys Targaryen	name=Emilia Clarke	episodes=62 episodes, 2011-2019 	
character=Jon Snow	name=Kit Harington	episodes=62 episodes, 2011-2019 	
character=Sansa Stark	name=Sophie Turner	episodes=59 episodes, 2011-2019 	
character=Arya Stark	name=Maisie Williams	episodes=59 episodes, 2011-2019 	
character=Jaime Lannister	name=Nikolaj Coster-Waldau	episodes=55 episodes, 2011-2019 	
character=Jorah Mormont	name=Iain Glen	episodes=52 episodes, 2011-2019 	
character=Samwell Tarly	name=John Bradley	episodes=48 episodes, 2011-2019 	
character=Theon Greyjoy	name=Alfie Allen	episodes=47 episodes, 2011-2019 	
character=Lord Varys	name=Conleth Hill	episodes=46 episodes, 2011-2019 	
character=Davos Seaworth	name=Liam Cunningham	episodes=42 episodes, 2012-2019 	
character=Brienne of Tarth	name=Gwendoline Christie	episodes=42 episodes, 2012-2019 	
character=Baelish	name=Aidan Gillen	episodes=41 episodes, 2011-2017 	
character=Littlefinger	name=Aidan Gillen	episodes=41 episodes, 2011-2017 	
character=Petyr 	name=Aidan Gillen	episodes=41 episodes, 2011-2017 	
character=Bran Stark	name=Isaac Hempstead Wright	episodes=40 episodes, 2011-2019 	
character=Missandei	name=Nathalie Emmanuel	episodes=38 episodes, 2013-2019 	
character=Bronn	name=Jerome Flynn	episodes=37 episodes, 2011-2019 	
character=Podrick Payne	name=Daniel Portman	episodes=35 episodes, 2012-2019 	
character=Grey Worm	name=Jacob Anderson	episodes=34 episodes, 2013-2019 	
character=Eddison Tollett	name=Ben Crompton	episodes=34 episodes, 2012-2019 	
character=Tormund Giantsbane	name=Kristofer Hivju	episodes=33 episodes, 2013-2019 	
character=Grand Maester Pycelle	name=Julian Glover	episodes=31 episodes, 2011-2016 	
character=Melisandre	name=Carice van Houten	episodes=29 episodes, 2012-2019 	
character=Tywin Lannister	name=Charles Dance	episodes=27 episodes, 2011-2015 	
character=Gilly	name=Hannah Murray	episodes=27 episodes, 2012-2019 	
character=Margaery Tyrell	name=Natalie Dormer	episodes=26 episodes, 2012-2016 	
character=Joffrey Baratheon	name=Jack Gleeson	episodes=26 episodes, 2011-2014 	
character=Catelyn Stark	name=Michelle Fairley	episodes=25 episodes, 2011-2016 	
character=Barristan Selmy	name=Ian McElhinney	episodes=25 episodes, 2011-2015 	
character=Stannis Baratheon	name=Stephen Dillane	episodes=24 episodes, 2012-2015 	
character=Gendry	name=Joe Dempsie	episodes=24 episodes, 2011-2019 	
