# http://fitlayout.github.io/resource/art49 -> https://www.imdb.com/title/tt1474684/fullcredits/
character=DCI John Luther	name=Idris Elba	episodes=21 episodes, 2010-2019 	
character=DSU Martin Schenk	name=Dermot Crowley	episodes=18 episodes, 2010-2019 	
character=Benny Silver	name=Michael Smiley	episodes=17 episodes, 2010-2019 	
character=DS Justin Ripley	name=Warren Brown	episodes=16 episodes, 2010-2015 	
character=Alice Morgan	name=Ruth Wilson	episodes=13 episodes, 2010-2019 	
character=Mark North	name=Paul McGann	episodes=11 episodes, 2010-2019 	
character=DCI Erin Gray	name=Nikki Amuka-Bird	episodes=8 episodes, 2011-2013 	
character=DCI Ian Reed	name=Steven Mackintosh	episodes=7 episodes, 2010 	
character=DSU Rose Teller	name=Saskia Reeves	episodes=7 episodes, 2010 	
character=Zoe Luther	name=Indira Varma	episodes=7 episodes, 2010 	
character=George Cornelius	name=Patrick Malahide	episodes=6 episodes, 2015-2019 	
character=Mary Day	name=Sienna Guillory	episodes=4 episodes, 2013 	
character=Jenny Jones	name=Aimee-Ffion Edwards	episodes=4 episodes, 2011 	
character=DSU George Stark	name=Hara	episodes=4 episodes, 2013 	
character=DSU George Stark	name=David O	episodes=4 episodes, 2013 	
character=Caroline Jones	name=Kierston Wareing	episodes=4 episodes, 2011 	
character=Errol Minty	name=Michael Obiora	episodes=4 episodes, 2015-2019 	
character=Henry Madsen	name=Anton Valensi	episodes=4 episodes, 2010 	
character=Jeremy Lake	name=Enzo Cilenti	episodes=4 episodes, 2019 	
character=Vivien Lake	name=Hermione Norris	episodes=4 episodes, 2019 	
character=DS Catherine Halliday	name=Wunmi Mosaku	episodes=4 episodes, 2019 	
character=Donnie McKinney	name=Gary Hailes	episodes=4 episodes, 2019 	
character=Cornelius Henchman	name=Matt Sproit	episodes=1 episode, 2019 	
character=Ronald Massey	name=Lex Daniel	episodes=3 episodes, 2019 	
character=Toby Kent	name=David Dawson	episodes=3 episodes, 2011 	
character=Frank Hodge	name=Alan Williams	episodes=3 episodes, 2011 	
character=Baba	name=Pam Ferris	episodes=3 episodes, 2011 	
character=Celia Lavender	name=Roberta Taylor	episodes=3 episodes, 2019 	
character=DCSU Russell Cornish	name=Matthew Marsh	episodes=3 episodes, 2010 	
character=Alastair Cornelius	name=Andrew Mullan	episodes=2 episodes, 2019 	
character=SCO19 Armed Police Officer	name=Glenn Webster	episodes=1 episode, 2013-2019 	
character=Nicholas Millberry	name=Steven Robertson	episodes=2 episodes, 2011 	
character=Paul Ellis	name=Kevin Fuller	episodes=2 episodes, 2013 	
character=Tom Marwood	name=Elliot Cowan	episodes=2 episodes, 2013 	
character=Cameron Pell	name=Lee Ingleby	episodes=2 episodes, 2011 	
character=Megan Cantor	name=Laura Haddock	episodes=2 episodes, 2015 	
character=DS Emma Lane	name=Rose Leslie	episodes=2 episodes, 2015 	
character=Steven Rose	name=John Heffernan	episodes=2 episodes, 2015 	
character=Dani Lane	name=Sasha Behar	episodes=2 episodes, 2013 	
character=Craig Lane	name=Selva Rasalingam	episodes=2 episodes, 2013 	
character=Derek Hayes	name=Delroy Atkinson	episodes=2 episodes, 2019 	
character=Ken Barnaby	name=Lucian Msamati	episodes=2 episodes, 2013 	
character=Tessa Barnaby	name=Maria Miles	episodes=2 episodes, 2013 	
character=Penny Leyton	name=Katie Brayben	episodes=2 episodes, 2019 	
character=James Hauser	name=Jami Reid-Quarrell	episodes=2 episodes, 2019 	
character=Mindy	name=Julie Teal	episodes=2 episodes, 2019 	
character=Daria Shubik	name=Sonita Henry	episodes=2 episodes, 2019 	
character=Ayesha	name=Orlessa Altass	episodes=2 episodes, 2010-2013 	
character=Palmer	name=Anthony Howell	episodes=2 episodes, 2019 	
character=Graham Shand	name=Rob Jarvis	episodes=1 episode, 2010 	
character=PC Steve Gorman	name=Geoffrey Lumb	episodes=1 episode, 2010 	
character=James Carrodus	name=Thomas Lockyer	episodes=1 episode, 2010 	
character=Kirsten Ross	name=Catherine Hamilton	episodes=1 episode, 2010 	
character=Callum	name=Mark Rowley	episodes=1 episode, 2013 	
character=William Lucas	name=Lewis Young	episodes=1 episode, 2019 	
character=Owen Lynch	name=Sam Spruell	episodes=1 episode, 2010 	
character=Lucien Burgess	name=Paul Rhys	episodes=1 episode, 2010 	
character=Jessica Carrodus	name=Donatienne Dupont	episodes=1 episode, 2010 	
character=Sally Thomas	name=Golda Rosheuvel	episodes=1 episode, 2011 	
character=Richard Gardiner	name=Jamie Richards	episodes=1 episode, 2011 	
character=Maxine	name=Gemma Lawrence	episodes=1 episode, 2013 	
character=Tom Meyer	name=Danny Lee Wynter	episodes=1 episode, 2010 	
character=Adewale Omotoso	name=Babou Ceesay	episodes=1 episode, 2011 	
character=Shaun Butler	name=Oliver Stark	episodes=1 episode, 2013 	
character=Chloe Morley	name=Joanna Croll	episodes=1 episode, 2015 	
character=Monsieur Awaritefe	name=Vincent Vermignon	episodes=1 episode, 2019 	
