# http://fitlayout.github.io/resource/art5 -> https://www.imdb.com/title/tt0410975/fullcredits/
character=Susan Mayer	name=Teri Hatcher	episodes=180 episodes, 2004-2012 	
character=Lynette Scavo	name=Felicity Huffman	episodes=180 episodes, 2004-2012 	
character=Bree Van De Kamp	name=Marcia Cross	episodes=180 episodes, 2004-2012 	
character=Gabrielle Solis	name=Eva Longoria	episodes=180 episodes, 2004-2012 	
character=Carlos Solis	name=Ricardo Chavira	episodes=180 episodes, 2004-2012 	
character=Mary Alice Young	name=Brenda Strong	episodes=180 episodes, 2004-2012 	
character=Mike Delfino	name=James Denton	episodes=180 episodes, 2004-2012 	
character=Tom Scavo	name=Doug Savant	episodes=175 episodes, 2004-2012 	
character=Andrew Van De Kamp	name=Shawn Pyfrom	episodes=111 episodes, 2004-2012 	
character=Edie Britt	name=Nicollette Sheridan	episodes=111 episodes, 2004-2009 	
character=Julie Mayer	name=Andrea Bowen	episodes=107 episodes, 2004-2012 	
character=Orson Hodge	name=Kyle MacLachlan	episodes=96 episodes, 2006-2012 	
character=Preston Scavo	name=Brent Kinsman	episodes=88 episodes, 2004-2011 	
character=Porter Scavo	name=Shane Kinsman	episodes=88 episodes, 2004-2011 	
character=Karen McCluskey	name=Kathryn Joosten	episodes=86 episodes, 2005-2012 	
character=Parker Scavo	name=Zane Huett	episodes=81 episodes, 2004-2010 	
character=Danielle Van De Kamp	name=Joy Jorgensen	episodes=77 episodes, 2004-2011 	
character=Paul Young	name=Mark Moses	episodes=74 episodes, 2004-2011 	
character=Juanita Solis	name=Madison De La Garza	episodes=72 episodes, 2008-2012 	
character=Katherine Mayfair	name=Dana Delany	episodes=65 episodes, 2007-2012 	
character=Parker Scavo	name=Joshua Logan Moore	episodes=65 episodes, 2008-2012 	
character=Porter Scavo	name=Charlie Carver	episodes=62 episodes, 2008-2012 	
character=Zach Young	name=Cody Kasch	episodes=54 episodes, 2004-2011 	
character=M.J. Delfino	name=Mason Vale Cotton	episodes=54 episodes, 2008-2012 	
character=Lee McDermott	name=Kevin Rahm	episodes=53 episodes, 2007-2012 	
character=Celia Solis	name=Daniella Baltodano	episodes=52 episodes, 2008-2012 	
character=Penny Scavo	name=Kendall Applegate	episodes=47 episodes, 2008-2010 	
character=Renee Perry	name=Vanessa Williams	episodes=46 episodes, 2010-2012 	
character=Karl Mayer	name=Richard Burgi	episodes=44 episodes, 2004-2012 	
character=Bob Hunter	name=Tuc Watkins	episodes=42 episodes, 2007-2012 	
character=Preston Scavo	name=Max Carver	episodes=40 episodes, 2008-2012 	
character=Keith Watson	name=Brian Austin Green	episodes=15 episodes, 2009-2011 	
character=Rex Van De Kamp	name=Steven Culp	episodes=29 episodes, 2004-2012 	
character=John Rowland	name=Jesse Metcalfe	episodes=30 episodes, 2004-2009 	
character=Kayla Huntington	name=Rachel Fox	episodes=28 episodes, 2006-2008 	
character=Penny Scavo	name=Darcy Rose Byrnes	episodes=28 episodes, 2010-2012 	
character=Felicia Tilman	name=Harriet Sansom Harris	episodes=28 episodes, 2005-2011 	
character=Ida Greenberg	name=Pat Crawford Brown	episodes=24 episodes, 2004-2007 	
character=Betty Applewhite	name=Alfre Woodard	episodes=26 episodes, 2005-2006 	
character=Matthew Applewhite	name=Mehcad Brooks	episodes=26 episodes, 2005-2006 	
character=Dave Williams	name=Neal McDonough	episodes=24 episodes, 2008-2009 	
character=Angie Bolen	name=Drea de Matteo	episodes=23 episodes, 2009-2010 	
character=Ana Solis	name=Maiara Walsh	episodes=24 episodes, 2009-2010 	
character=Roy Bender	name=Orson Bean	episodes=23 episodes, 2009-2012 	
character=Nick Bolen	name=Jeffrey Nordling	episodes=22 episodes, 2009-2010 	
character=Dylan Mayfair	name=Lyndsy Fonseca	episodes=18 episodes, 2007-2009 	
character=Danny Bolen	name=Beau Mirchoff	episodes=18 episodes, 2009-2010 	
character=Ian Hainsworth	name=Dougray Scott	episodes=18 episodes, 2006-2007 	
character=Caleb Applewhite	name=Nashawn Kearse	episodes=17 episodes, 2005-2006 	
character=Austin McCann	name=Josh Henderson	episodes=16 episodes, 2006-2007 	
character=George Williams	name=Roger Bart	episodes=15 episodes, 2005-2012 	
character=Ben Faulkner	name=Charles Mesure	episodes=15 episodes, 2011-2012 	
character=Jackson Braddock	name=Gale Harold	episodes=14 episodes, 2008-2009 	
character=Victor Lang	name=John Slattery	episodes=14 episodes, 2007 	
character=Beth Young	name=Emily Bergl	episodes=13 episodes, 2010-2012 	
character=Chuck Vance	name=Jonathan Cake	episodes=11 episodes, 2011-2012 	
character=Eddie Orlofsky	name=Josh Zuckerman	episodes=11 episodes, 2009-2010 	
character=Martha Huber	name=Christine Estabrook	episodes=11 episodes, 2004-2012 	
character=Jane Carlson	name=Andrea Parker	episodes=11 episodes, 2011-2012 	
character=Dr. Adam Mayfair	name=Nathan Fillion	episodes=11 episodes, 2007-2012 	
character=Justin	name=Ryan Carnes	episodes=11 episodes, 2004-2006 	
character=Mona Clark	name=Maria Cominis	episodes=10 episodes, 2005-2012 	
character=Noah Taylor	name=Bob Gunton	episodes=10 episodes, 2004-2006 	
character=Stella Wingfield	name=Polly Bergen	episodes=10 episodes, 2007-2011 	
character=Father Crowley	name=Jeff Doucette	episodes=10 episodes, 2004-2010 	
character=Reverend Sikes	name=Dakin Matthews	episodes=9 episodes, 2005-2012 	
character=Ed Ferrara	name=Currie Graham	episodes=9 episodes, 2005-2007 	
character=Xiao-Mei	name=Gwendoline Yeo	episodes=9 episodes, 2006 	
character=Nora Huntington	name=Kiersten Warren	episodes=8 episodes, 2006-2012 	
character=Alma Hodge	name=Valerie Mahaffey	episodes=7 episodes, 2006-2012 	
character=Detective Murphy	name=Michael Dempsey	episodes=8 episodes, 2009-2012 	
character=Juanita 	name=Lupe Ontiveros	episodes=7 episodes, 2004-2012 	
character=Solis	name=Lupe Ontiveros	episodes=7 episodes, 2004-2012 	
character=Mama	name=Lupe Ontiveros	episodes=7 episodes, 2004-2012 	
character=Dr. Albert Goldfine	name=Sam Lloyd	episodes=8 episodes, 2004-2005 	
character=Yao Lin	name=Lucille Soong	episodes=7 episodes, 2004-2009 	
character=Principal Hobson	name=John Rubinstein	episodes=7 episodes, 2009-2012 	
character=Detective Ridley	name=Ernie Hudson	episodes=7 episodes, 2006-2007 	
character=Sam Allen	name=Sam Page	episodes=7 episodes, 2010 	
character=Dr. Ron McCready	name=Jay Harrington	episodes=7 episodes, 2006 	
character=Sophie Bremmer	name=Lesley Ann Warren	episodes=7 episodes, 2005-2011 	
character=Gloria Hodge	name=Dixie Carter	episodes=7 episodes, 2006-2007 	
character=Stu Durber	name=Charlie Babcock	episodes=6 episodes, 2005-2008 	
character=Nurse	name=Dale Waddington	episodes=6 episodes, 2007-2011 	
character=Dr. Alex Cominis	name=Todd Grinnell	episodes=6 episodes, 2008-2011 	
character=Roberta Simmons	name=Lily Tomlin	episodes=6 episodes, 2008-2009 	
character=Rick Coletti	name=Jason Gedrick	episodes=6 episodes, 2007-2008 	
character=Dr. Craig	name=Terry Bozeman	episodes=6 episodes, 2005-2007 	
character=Detective Collins	name=David Fabrizio	episodes=6 episodes, 2006-2009 	
character=Mitzi Kinsky	name=Mindy Sterling	episodes=6 episodes, 2010-2011 	
character=Wayne Davis	name=Gary Cole	episodes=6 episodes, 2008 	
character=Newscaster	name=Christine Clayburg	episodes=6 episodes, 2006-2012 	
character=Caleb Applewhite	name=Page Kennedy	episodes=4 episodes, 2005 	
character=Minister	name=Steve Tyler	episodes=3 episodes, 2006-2010 	
character=Maxine Rosen	name=Lainie Kazan	episodes=5 episodes, 2010 	
character=Mr. Shaw	name=Richard Roundtree	episodes=5 episodes, 2004-2005 	
character=Andre Zeller	name=Miguel Ferrer	episodes=5 episodes, 2011 	
character=Donny	name=Sal Landi	episodes=5 episodes, 2012 	
character=Robin Gallagher	name=Julie Benz	episodes=5 episodes, 2010 	
character=Trip Weston	name=Scott Bakula	episodes=5 episodes, 2012 	
character=Travers McLain	name=Jake Cherry	episodes=5 episodes, 2007 	
character=Patrick Logan	name=John Barrowman	episodes=5 episodes, 2010 	
character=Detective Sullivan	name=Nick Chinlund	episodes=5 episodes, 2005-2006 	
character=Nina Fletcher	name=Joely Fisher	episodes=5 episodes, 2005 	
character=Vern	name=Alec Mapa	episodes=5 episodes, 2005-2007 	
character=Detective Lyons	name=Billy Mayo	episodes=5 episodes, 2007-2009 	
character=Peter McMillan	name=Lee Tergesen	episodes=5 episodes, 2006 	
character=Phyllis Van De Kamp	name=Shirley Knight	episodes=5 episodes, 2005-2007 	
character=Detective Barton	name=Kurt Fuller	episodes=5 episodes, 2005-2006 	
character=Alberta Fromme	name=Betty Murphy	episodes=5 episodes, 2004-2006 	
character=Ralph	name=Alejandro Patiño	episodes=5 episodes, 2005-2006 	
character=Alejandro	name=Tony Plana	episodes=4 episodes, 2011 	
character=Ellie Leonard	name=Justine Bateman	episodes=4 episodes, 2008-2012 	
character=Penny Scavo	name=Darien Pinkerton	episodes=2 episodes, 2006-2007 	
character=Penny Scavo	name=Kerstin Pinkerton	episodes=1 episode, 2006-2007 	
character=Richard Watson	name=John Schneider	episodes=4 episodes, 2010 	
