# http://fitlayout.github.io/resource/art50 -> https://www.imdb.com/title/tt1796960/fullcredits/
character=Carrie Mathison	name=Claire Danes	episodes=96 episodes, 2011-2020 	
character=Saul Berenson	name=Mandy Patinkin	episodes=96 episodes, 2011-2020 	
character=Peter Quinn	name=Rupert Friend	episodes=57 episodes, 2012-2018 	
character=Max Piotrowski	name=Maury Sterling	episodes=45 episodes, 2011-2020 	
character=Dar Adal	name=F. Murray Abraham	episodes=43 episodes, 2012-2018 	
character=Nicholas Brody	name=Damian Lewis	episodes=37 episodes, 2011-2020 	
character=Jessica Brody	name=Morena Baccarin	episodes=36 episodes, 2011-2013 	
character=Chris Brody	name=Jackson Pace	episodes=36 episodes, 2011-2013 	
character=Dana Brody	name=Morgan Saylor	episodes=36 episodes, 2011-2013 	
character=Mike Faber	name=Diego Klattenhoff	episodes=25 episodes, 2011-2013 	
character=President Elizabeth Keane	name=Elizabeth Marvel	episodes=24 episodes, 2016-2018 	
character=David Estes	name=David Harewood	episodes=24 episodes, 2011-2012 	
character=Andrew Lockhart	name=Tracy Letts	episodes=24 episodes, 2013-2014 	
character=David Wellington	name=Linus Roache	episodes=23 episodes, 2017-2020 	
character=Virgil Piotrowski	name=David Marciano	episodes=22 episodes, 2011-2013 	
character=Mira Berenson	name=Sarita Choudhury	episodes=20 episodes, 2011-2017 	
character=Maggie Mathison	name=Amy Hargreaves	episodes=20 episodes, 2011-2020 	
character=Abu Nazir	name=Navid Negahban	episodes=20 episodes, 2011-2013 	
character=Tasneem Qureishi	name=Nimrat Kaur	episodes=18 episodes, 2014-2020 	
character=Yevgeny Gromov	name=Costa Ronin	episodes=17 episodes, 2018-2020 	
character=Fara Sherazi	name=Nazanin Boniadi	episodes=16 episodes, 2013-2014 	
character=Scott Ryan	name=Tim Guinee	episodes=16 episodes, 2012-2020 	
character=Franny	name=Claire Keane	episodes=16 episodes, 2016-2018 	
character=Franny	name=McKenna Keane	episodes=16 episodes, 2016-2018 	
character=Danny Galvez	name=Hrach Titizian	episodes=15 episodes, 2011-2012 	
character=Otto Düring	name=Sebastian Koch	episodes=13 episodes, 2015-2016 	
character=Haissam Haqqani	name=Numan Acar	episodes=13 episodes, 2014-2020 	
character=Astrid	name=Nina Hoss	episodes=13 episodes, 2014-2017 	
character=Martha Boyd	name=Laila Robins	episodes=12 episodes, 2014 	
character=Allison Carr	name=Miranda Otto	episodes=12 episodes, 2015 	
character=Jonas Hollander	name=Alexander Fehling	episodes=12 episodes, 2015 	
character=Laura Sutton	name=Sarah Sokolovic	episodes=12 episodes, 2015 	
character=Rob Emmons	name=Hill Harper	episodes=11 episodes, 2016-2017 	
character=Keefe	name=Jake Weber	episodes=11 episodes, 2017-2018 	
character=Brett O	name=Jake Weber	episodes=11 episodes, 2017-2018 	
character=Jenna Bragg	name=Andrea Deck	episodes=11 episodes, 2020 	
character=President Ben Hayes	name=Sam Trammell	episodes=10 episodes, 2020 	
character=Mike Dunne	name=Cliff Chamberlain	episodes=10 episodes, 2020 	
character=Majid Javadi	name=Shaun Toub	episodes=10 episodes, 2013-2017 	
character=Dante Allen	name=Morgan Spector	episodes=9 episodes, 2018 	
character=Porteous Belli	name=C.J. Wilson	episodes=9 episodes, 2017 	
character=Numan	name=Atheer Adel	episodes=9 episodes, 2015 	
character=Ivan Krupin	name=Mark Ivanir	episodes=9 episodes, 2015-2018 	
character=Roya Hammad	name=Zuleikha Robinson	episodes=9 episodes, 2012 	
character=Senator Sam Paley	name=Dylan Baker	episodes=8 episodes, 2018 	
character=John Redmond	name=Keefe	episodes=8 episodes, 2014 	
character=John Redmond	name=Michael O	episodes=8 episodes, 2014 	
character=Simone Martin	name=Sandrine Holt	episodes=8 episodes, 2018 	
character=Frank Mathison	name=James Rebhorn	episodes=8 episodes, 2011-2013 	
character=Agent Thoms	name=James Mount	episodes=8 episodes, 2017 	
character=Finn Walden	name=Timothée Chalamet	episodes=8 episodes, 2012 	
character=Abdul Qadir G	name=Mohammad Bakri	episodes=7 episodes, 2020 	
character=Aayan Ibrahim	name=Suraj Sharma	episodes=7 episodes, 2014-2018 	
character=Dennis Boyd	name=Mark Moses	episodes=7 episodes, 2014 	
character=Aasar Khan	name=Raza Jaffrey	episodes=7 episodes, 2014 	
character=Sandy Langmore	name=Catherine Curtin	episodes=7 episodes, 2018 	
character=Bunny Latif	name=Art Malik	episodes=7 episodes, 2014-2020 	
character=Bibi Hamed	name=René Ifrah	episodes=7 episodes, 2015 	
character=Etai Luskin	name=Allan Corduner	episodes=7 episodes, 2015-2017 	
character=Tom Walker	name=Chris Chalk	episodes=7 episodes, 2011-2013 	
character=Qasim	name=Alireza Bayram	episodes=7 episodes, 2015 	
character=Thomas Anson	name=James D	episodes=6 episodes, 2018 	
character=Thomas Anson	name=Arcy	episodes=6 episodes, 2018 	
character=Reda Hashem	name=Patrick Sabongui	episodes=6 episodes, 2016-2017 	
character=Kiran	name=Shavani Cameron	episodes=6 episodes, 2014 	
character=Alan Yager	name=Jason Tottenham	episodes=6 episodes, 2020 	
character=Bill Dunn	name=Mackenzie Astin	episodes=6 episodes, 2018 	
character=Clint Prower	name=Peter Vack	episodes=6 episodes, 2018 	
character=Balach	name=Seear Kohi	episodes=6 episodes, 2020 	
character=Utku	name=Erol Afsin	episodes=6 episodes, 2015 	
character=Xander	name=Taylor Kowalski	episodes=6 episodes, 2011-2012 	
character=John Zabel	name=Hugh Dancy	episodes=6 episodes, 2020 	
character=Ray Conlin	name=Dominic Fumusa	episodes=5 episodes, 2016-2017 	
character=General Jamie McClendon	name=Robert Knepper	episodes=5 episodes, 2016-2018 	
character=Janet Bayne	name=Ellen Adair	episodes=5 episodes, 2018 	
character=Jalal Haqqani	name=Elham Ehsas	episodes=5 episodes, 2020 	
character=Staff Sergeant John Durkin	name=Charles Brice	episodes=5 episodes, 2020 	
character=Viktor Makarov	name=Elya Baskin	episodes=5 episodes, 2018-2020 	
character=Mills	name=Micah Hauptman	episodes=5 episodes, 2015 	
character=Specialist Arturo Gonzales	name=Octavio Rodriguez	episodes=5 episodes, 2020 	
character=Specialist Drew Soto	name=Sam Chance	episodes=5 episodes, 2020 	
character=Mirov	name=Merab Ninidze	episodes=5 episodes, 2018-2020 	
character=Aileen Morgan	name=Marin Ireland	episodes=5 episodes, 2011-2012 	
character=Alan Bernard	name=William Abadie	episodes=5 episodes, 2013 	
character=Josie Mathison-Dunn	name=Courtney Grosbeck	episodes=5 episodes, 2018 	
character=Major Joy Mendez	name=Valerie Cruz	episodes=5 episodes, 2012 	
character=Doxie	name=Clé Bennett	episodes=5 episodes, 2018 	
character=Lauder Wakefield	name=Marc Menchaca	episodes=5 episodes, 2011-2012 	
character=Carter Bennet	name=Ari Fliakos	episodes=5 episodes, 2018 	
