# http://fitlayout.github.io/resource/art52 -> https://www.imdb.com/title/tt5753856/fullcredits/
character=Jonas Kahnwald	name=Louis Hofmann	episodes=25 episodes, 2017-2020 	
character=Charlotte Doppler	name=Karoline Eichhorn	episodes=21 episodes, 2017-2020 	
character=Martha Nielsen	name=Lisa Vicari	episodes=20 episodes, 2017-2020 	
character=Hannah Kahnwald	name=Maja Schöne	episodes=20 episodes, 2017-2020 	
character=Katharina Nielsen	name=Jördis Triebel	episodes=19 episodes, 2017-2020 	
character=The Stranger	name=Andreas Pietschmann	episodes=19 episodes, 2017-2020 	
character=Peter Doppler	name=Stephan Kampwirth	episodes=20 episodes, 2017-2020 	
character=Bartosz Tiedemann	name=Paul Lux	episodes=18 episodes, 2017-2020 	
character=Ulrich Nielsen	name=Oliver Masucci	episodes=17 episodes, 2017-2020 	
character=Magnus Nielsen	name=Moritz Jahn	episodes=18 episodes, 2017-2020 	
character=Aleksander Tiedemann	name=Peter Benedict	episodes=17 episodes, 2017-2020 	
character=Franziska Doppler	name=Gina Stiebitz	episodes=16 episodes, 2017-2020 	
character=Regina Tiedemann	name=Deborah Kaufmann	episodes=16 episodes, 2017-2020 	
character=Mikkel Nielsen	name=Daan Lennard Liebrenz	episodes=14 episodes, 2017-2020 	
character=Elisabeth Doppler	name=Carlotta von Falkenhayn	episodes=14 episodes, 2017-2020 	
character=Adam	name=Dietrich Hollinderbäumer	episodes=13 episodes, 2019-2020 	
character=Noah	name=Mark Waschke	episodes=13 episodes, 2017-2020 	
character=Torben Wöller	name=Leopold Hornung	episodes=13 episodes, 2017-2020 	
character=Egon Tiedemann 1986	name=Christian Pätzold	episodes=12 episodes, 2017-2020 	
character=Helge Doppler	name=Hermann Beyer	episodes=10 episodes, 2017-2020 	
character=H.G. Tannhaus 1986	name=Christian Steyer	episodes=10 episodes, 2017-2020 	
character=Doris	name=Tamar Pelzig	episodes=10 episodes, 2017-2019 	
character=The Stranger	name=Will Beinbrink	episodes=10 episodes, 2017-2019 	
character=Claudia Tiedemann	name=Lisa Kreuzer	episodes=9 episodes, 2017-2020 	
character=Ines Kahnwald 1986	name=Anne Ratte-Polle	episodes=9 episodes, 2017-2020 	
character=Tronte Nielsen	name=Walter Kreye	episodes=8 episodes, 2017-2020 	
character=Regina Tiedemann 1986	name=Lydia Maria Makrides	episodes=8 episodes, 2017-2020 	
character=Katharina Nielsen 1986	name=Nele Trebs	episodes=8 episodes, 2017-2020 	
character=Jana Nielsen	name=Tatja Seibt	episodes=8 episodes, 2017-2019 	
character=Girl from the Future	name=Lea van Acken	episodes=7 episodes, 2017-2020 	
character=Young Noah	name=Max Schimmelpfennig	episodes=7 episodes, 2019-2020 	
character=Hannah Kahnwald 1986	name=Ella Lee	episodes=7 episodes, 2017-2020 	
character=Helge Doppler 1953	name=Tom Philipp	episodes=8 episodes, 2017-2020 	
character=Helge Doppler 1986	name=Peter Schneider	episodes=7 episodes, 2017-2020 	
character=Elisabeth Doppler 2053	name=Sandra Borgmann	episodes=7 episodes, 2019-2020 	
character=Adult Franziska Doppler	name=Carina Wiese	episodes=7 episodes, 2019-2020 	
character=Police Officer Jankowski	name=Mieke Schymura	episodes=7 episodes, 2017-2020 	
character=Eva	name=Barbara Nüsse	episodes=6 episodes, 2020 	
character=Benni	name=Anton Rubtsov	episodes=7 episodes, 2017-2020 	
character=Secretary Jasmin Trewen	name=Lea Willkowsky	episodes=7 episodes, 2017-2020 	
character=Adult Unknown	name=Jakob Diehl	episodes=6 episodes, 2020 	
character=Investigator Clausen	name=Sylvester Groth	episodes=6 episodes, 2019 	
character=Old Unknown	name=Hans Diehl	episodes=6 episodes, 2020 	
character=Ulrich Nielsen 1986	name=Ludger Bökelmann	episodes=6 episodes, 2017-2020 	
character=Egon Tiedemann 1953	name=Sebastian Hülk	episodes=7 episodes, 2017-2020 	
character=Young Unknown	name=Claude Heinrich	episodes=6 episodes, 2020 	
character=H.G. Tannhaus 1953	name=Arnd Klawitter	episodes=6 episodes, 2017-2020 	
character=Agnes Nielsen	name=Antje Traue	episodes=7 episodes, 2017-2020 	
character=Greta Doppler 1953	name=Cordelia Wege	episodes=6 episodes, 2017-2020 	
character=Michael Kahnwald	name=Sebastian Rudolph	episodes=6 episodes, 2017-2020 	
character=Daniel Kahnwald	name=Florian Panzner	episodes=6 episodes, 2017-2020 	
character=Female Stranger	name=Nina Kronjäger	episodes=5 episodes, 2020 	
character=Ines Kahnwald	name=Angela Winkler	episodes=5 episodes, 2017 	
character=Adult Magnus Nielsen	name=Wolfram Koch	episodes=5 episodes, 2019-2020 	
character=Old Ulrich Nielsen 1987	name=Winfried Glatzeder	episodes=5 episodes, 2019-2020 	
character=Doris Tiedemann	name=Luise Heyer	episodes=5 episodes, 2017-2020 	
character=Jürgen Obendorf	name=Tom Jahn	episodes=5 episodes, 2017-2020 	
character=Claudia Tiedemann 1953	name=Gwendolyn Göbel	episodes=4 episodes, 2017-2020 	
character=Charlotte Doppler 1986	name=Stephanie Amarell	episodes=4 episodes, 2017-2020 	
character=Tronte Nielsen 1953	name=Joshio Marlon	episodes=4 episodes, 2017-2020 	
character=Jana Nielsen 1986	name=Anne Lebinsky	episodes=4 episodes, 2017-2020 	
character=Tronte Nielsen 1986	name=Felix Kramer	episodes=4 episodes, 2017-2020 	
character=Bernd Doppler 1953	name=Anatole Taubman	episodes=4 episodes, 2017-2020 	
