# http://fitlayout.github.io/resource/art56 -> https://www.imdb.com/title/tt5290382/fullcredits/
character=Holden Ford	name=Jonathan Groff	episodes=19 episodes, 2017-2019 	
character=Bill Tench	name=Holt McCallany	episodes=19 episodes, 2017-2019 	
character=Dr. Wendy Carr	name=Anna Torv	episodes=17 episodes, 2017-2019 	
character=ADT Serviceman	name=Sonny Valicenti	episodes=15 episodes, 2017-2019 	
character=Nancy Tench	name=Stacey Roca	episodes=12 episodes, 2017-2019 	
character=Debbie Mitford	name=Hannah Gross	episodes=10 episodes, 2017 	
character=Gregg Smith	name=Joe Tuttle	episodes=10 episodes, 2017-2019 	
character=Brian Tench	name=Zachary Scott Ross	episodes=10 episodes, 2017-2019 	
character=Unit Chief Shepard	name=Cotter Smith	episodes=9 episodes, 2017-2019 	
character=Jim Barney	name=Albert Jones	episodes=8 episodes, 2017-2019 	
character=Kay Manz	name=Lauren Glazier	episodes=8 episodes, 2019 	
character=Assistant Director Gunn	name=Michael Cerveris	episodes=6 episodes, 2019 	
character=Commissioner Lee Brown	name=Dohn Norwood	episodes=5 episodes, 2019 	
character=Chief Redding	name=Gareth Williams	episodes=5 episodes, 2019 	
character=Camille Bell	name=June Carryl	episodes=5 episodes, 2019 	
character=Edmund Kemper	name=Cameron Britton	episodes=4 episodes, 2017-2019 	
character=Detective Art Spencer	name=Nate Corddry	episodes=4 episodes, 2019 	
character=Tanya Clifton	name=Sierra Aylina McClain	episodes=4 episodes, 2019 	
character=Beverly Belt	name=Siovhan Christensen	episodes=4 episodes, 2019 	
character=Joanne	name=Katherine Banks	episodes=3 episodes, 2017-2019 	
character=Detective Ocasek	name=Alex Morf	episodes=3 episodes, 2017 	
character=Dr. Moritz	name=Erik Jensen	episodes=3 episodes, 2019 	
character=AD Wyman	name=Christopher Grove	episodes=3 episodes, 2019 	
character=Mayor Jackson	name=Regi Davis	episodes=3 episodes, 2019 	
character=Wayne Williams	name=Christopher Livingston	episodes=3 episodes, 2019 	
character=News Anchor 	name=Blythe Howard	episodes=3 episodes, 2019 	
character=Recruit	name=Darrin Giossi	episodes=3 episodes, 2019 	
character=Alex Clarke	name=Bryan McClure	episodes=3 episodes, 2019 	
character=Willie Mae Mathis	name=Crystal Lee Brown	episodes=3 episodes, 2019 	
character=Librarian	name=Patrick Jordan	episodes=2 episodes, 2017-2019 	
character=Benjamin Barnwright	name=Joseph Cross	episodes=2 episodes, 2017 	
character=Roger Wade	name=Marc Kudisch	episodes=2 episodes, 2017 	
character=Jerry Brudos	name=Happy Anderson	episodes=2 episodes, 2017 	
character=Detective Chambers	name=Duke Lafoon	episodes=2 episodes, 2017 	
character=Frank Janderman	name=Jesse C. Boyd	episodes=2 episodes, 2017 	
character=Larry Peterson	name=Trey Teufel	episodes=2 episodes, 2019 	
character=Detective Carver	name=Peter Murnik	episodes=2 episodes, 2017 	
character=Father Monaghan	name=Don O. Knowlton	episodes=2 episodes, 2019 	
