# http://fitlayout.github.io/resource/art57 -> https://www.imdb.com/title/tt6548228/fullcredits/
character=The Kid	name=Bill Skarsgård	episodes=12 episodes, 2018-2019 	
character=Henry Deaver	name=André Holland	episodes=10 episodes, 2018 	
character=Annie Wilkes	name=Lizzy Caplan	episodes=10 episodes, 2019 	
character=Molly Strand	name=Melanie Lynskey	episodes=10 episodes, 2018 	
character=Ace	name=Paul Sparks	episodes=10 episodes, 2019 	
character=Merrill	name=Paul Sparks	episodes=10 episodes, 2019 	
character=John 	name=Paul Sparks	episodes=10 episodes, 2019 	
character=Abdi Howlwadaag	name=Barkhad Abdi	episodes=10 episodes, 2019 	
character=Jackie Torrance	name=Jane Levy	episodes=10 episodes, 2018 	
character=Dr. Nadia Howlwadaag	name=Yusra Warsama	episodes=10 episodes, 2019 	
character=Ruth Deaver	name=Sissy Spacek	episodes=10 episodes, 2018 	
character=Joy Wilkes	name=Elsie Fisher	episodes=10 episodes, 2019 	
character=Chris Merrill	name=Matthew Alan	episodes=10 episodes, 2019 	
character=Merrill	name=Tim Robbins	episodes=10 episodes, 2019 	
character=Reginald 	name=Tim Robbins	episodes=10 episodes, 2019 	
character=Pop	name=Tim Robbins	episodes=10 episodes, 2019 	
character=Young Henry Deaver	name=Caleel Harris	episodes=9 episodes, 2018 	
character=Alan Pangborn	name=Scott Glenn	episodes=8 episodes, 2018 	
character=Reverend Matthew Deaver	name=Adam Rothenberg	episodes=8 episodes, 2018 	
character=Pastor	name=Aaron Staton	episodes=7 episodes, 2018-2019 	
character=Vera	name=Tenea Intriago	episodes=7 episodes, 2019 	
character=Dennis Zalewski	name=Noel Fisher	episodes=6 episodes, 2018 	
character=Valerie Blount	name=Alison Wright	episodes=6 episodes, 2019 	
character=Hassan	name=Faysal Ahmed	episodes=6 episodes, 2019 	
character=Chance	name=Abby Corrigan	episodes=6 episodes, 2019 	
character=Heather	name=Georgia Lyman	episodes=6 episodes, 2018-2019 	
character=Warden Porter	name=Ann Cusack	episodes=5 episodes, 2018 	
character=Timothy	name=Skylan Brooks	episodes=5 episodes, 2019 	
character=Jamal	name=Isayas Theodros	episodes=5 episodes, 2019 	
character=Clay	name=Chris Mulkey	episodes=5 episodes, 2019 	
character=Young Alan Pangborn	name=Jeffrey Pierce	episodes=5 episodes, 2018 	
character=Councilwoman Pinto	name=Joy Lang	episodes=5 episodes, 2019 	
character=Lance	name=Owen Burke	episodes=5 episodes, 2019 	
character=Naji	name=Harbi Osman	episodes=5 episodes, 2019 	
character=Carl Wilkes	name=John Hoogenakker	episodes=4 episodes, 2019 	
character=Boucher	name=Greg Grunberg	episodes=4 episodes, 2019 	
character=Wendell Deaver	name=Chosen Jacobs	episodes=4 episodes, 2018 	
character=Boyd	name=Chris Coy	episodes=4 episodes, 2018 	
character=Willie	name=Rory Culkin	episodes=4 episodes, 2018 	
character=Young Molly Strand	name=Cassady McClincy	episodes=4 episodes, 2018 	
