# http://fitlayout.github.io/resource/art59 -> https://www.imdb.com/title/tt2306299/fullcredits/
character=Lagertha	name=Katheryn Winnick	episodes=71 episodes, 2013-2020 	
character=Floki	name=Gustaf Skarsgård	episodes=68 episodes, 2013-2020 	
character=Bjorn Lothbrok	name=Alexander Ludwig	episodes=67 episodes, 2014-2020 	
character=Torvi	name=Georgia Hirst	episodes=63 episodes, 2014-2020 	
character=Ivar	name=Alex Høgh Andersen	episodes=53 episodes, 2016-2020 	
character=Ubbe	name=Jordan Patrick Smith	episodes=51 episodes, 2016-2020 	
character=Hvitserk	name=Marco Ilsø	episodes=49 episodes, 2016-2020 	
character=King Harald Finehair	name=Peter Franzén	episodes=49 episodes, 2016-2020 	
character=Ragnar Lothbrok	name=Travis Fimmel	episodes=45 episodes, 2013-2017 	
character=Rollo	name=Clive Standen	episodes=45 episodes, 2013-2018 	
character=The Seer	name=John Kavanagh	episodes=42 episodes, 2013-2020 	
character=Judith	name=Jennie Jacques	episodes=40 episodes, 2015-2019 	
character=Helga	name=Maude Hirst	episodes=38 episodes, 2013-2017 	
character=Aethelwulf	name=Moe Dunford	episodes=36 episodes, 2014-2018 	
character=Queen Aslaug	name=Alyssa Sutherland	episodes=35 episodes, 2013-2016 	
character=King Ecbert	name=Linus Roache	episodes=33 episodes, 2014-2017 	
character=Athelstan	name=George Blagden	episodes=30 episodes, 2013-2016 	
character=Kjetill Flatnose	name=Adam Copeland	episodes=25 episodes, 2017-2020 	
character=Siggy Haraldson	name=Jessalyn Gilsig	episodes=24 episodes, 2013-2015 	
character=Halfdan the Black	name=Jasper Pääkkönen	episodes=23 episodes, 2016-2020 	
character=Gunnhild	name=Ragga Ragnars	episodes=22 episodes, 2018-2020 	
character=Alfred the Great	name=Ferdia Walsh-Peelo	episodes=22 episodes, 2017-2020 	
character=Erlendur	name=Edvin Endre	episodes=22 episodes, 2014-2016 	
character=Shield Maiden	name=Katie Castle	episodes=1 episode, 2015-2020 	
character=Freydis	name=Alicia Agneson	episodes=21 episodes, 2017-2020 	
character=Margrethe	name=Ida Nielsen	episodes=20 episodes, 2016-2018 	
character=Torstein	name=Jefferson Hall	episodes=20 episodes, 2013-2015 	
character=Bishop Edmund	name=Sullivan	episodes=20 episodes, 2014-2017 	
