# http://fitlayout.github.io/resource/art62 -> https://www.imdb.com/title/tt2356777/fullcredits/
character=Detective Rust Cohle	name=Matthew McConaughey	episodes=8 episodes, 2014 	
character=Detective Ray Velcoro	name=Colin Farrell	episodes=8 episodes, 2015 	
character=Wayne Hays	name=Mahershala Ali	episodes=8 episodes, 2019 	
character=Detective Marty Hart	name=Woody Harrelson	episodes=8 episodes, 2014 	
character=Detective Ani Bezzerides	name=Rachel McAdams	episodes=8 episodes, 2015 	
character=Amelia Reardon	name=Carmen Ejogo	episodes=8 episodes, 2019 	
character=Maggie Hart	name=Michelle Monaghan	episodes=8 episodes, 2014 	
character=Officer Paul Woodrugh	name=Taylor Kitsch	episodes=8 episodes, 2015 	
character=Roland West	name=Stephen Dorff	episodes=8 episodes, 2019 	
character=Detective Maynard Gilbough	name=Michael Potts	episodes=8 episodes, 2014 	
character=Jordan Semyon	name=Kelly Reilly	episodes=8 episodes, 2015 	
character=Tom Purcell	name=Scoot McNairy	episodes=8 episodes, 2019 	
character=Detective Thomas Papania	name=Tory Kittles	episodes=8 episodes, 2014 	
character=Frank Semyon	name=Vince Vaughn	episodes=8 episodes, 2015 	
character=Henry Hays	name=Ray Fisher	episodes=8 episodes, 2019 	
character=Nails	name=Chris Kerson	episodes=8 episodes, 2015 	
character=Mayor Austin Chessani	name=Ritchie Coster	episodes=7 episodes, 2015 	
character=Elisa Montgomery	name=Sarah Gadon	episodes=7 episodes, 2019 	
character=Blake Churchman	name=Christopher James Baker	episodes=7 episodes, 2015 	
character=Police Chief Holloway	name=Afemo Omilami	episodes=7 episodes, 2015 	
character=Lieutenant Kevin Burris	name=James Frain	episodes=7 episodes, 2015 	
character=Gerald Kindt	name=Brett Cullen	episodes=6 episodes, 2019 	
character=Lucy Purcell	name=Mamie Gummer	episodes=6 episodes, 2019 	
character=Detective Lutz	name=JD Evermore	episodes=6 episodes, 2014 	
character=Ivar	name=Andy Mackenzie	episodes=6 episodes, 2015 	
character=Cathleen	name=Dana Gourrier	episodes=6 episodes, 2014 	
character=Gena Brune	name=Abigail Spencer	episodes=6 episodes, 2015 	
character=Detective Elvis Ilinca	name=Michael Irby	episodes=6 episodes, 2015 	
character=Osip Agronov	name=Timothy V. Murphy	episodes=6 episodes, 2015 	
character=Felicia	name=Yara Martinez	episodes=6 episodes, 2015 	
character=Emily	name=Adria Arjona	episodes=6 episodes, 2015 	
character=Young Henry Hays	name=Isaiah C. Morgan	episodes=6 episodes, 2019 	
character=Audrey Hart	name=Madison Wolfe	episodes=6 episodes, 2014 	
character=Ernst Bodine	name=Alain Uy	episodes=6 episodes, 2015 	
character=Jacob McCandless	name=Jon Lindstrom	episodes=5 episodes, 2015 	
character=Major Ken Quesada	name=Kevin Dunn	episodes=5 episodes, 2014 	
character=Alan Jones	name=Jon Tenney	episodes=5 episodes, 2019 	
character=Brett Woodard	name=Michael Greyeyes	episodes=5 episodes, 2019 	
character=Detective Teague Dixon	name=W. Earl Brown	episodes=5 episodes, 2015 	
character=Detective Demma	name=Joe Chrest	episodes=5 episodes, 2014 	
character=Freddy Burns	name=Rhys Wakefield	episodes=5 episodes, 2019 	
character=Katherine Davis	name=Michael Hyatt	episodes=5 episodes, 2015 	
character=Athena Bezzerides	name=Leven Rambin	episodes=5 episodes, 2015 	
character=Margaret	name=Emily Nelson	episodes=5 episodes, 2019 	
character=Singer	name=Lera Lynn	episodes=5 episodes, 2015 	
character=Young Becca Hays	name=Kennedi Butler	episodes=5 episodes, 2019 	
character=Detective Favre	name=Dane Rhodes	episodes=5 episodes, 2014 	
character=Lisa Tragnetti	name=Alexandra Daddario	episodes=4 episodes, 2014 	
character=Harris James	name=Scott Shepherd	episodes=4 episodes, 2019 	
character=Jim Dobkins	name=Josh Hopkins	episodes=4 episodes, 2019 	
character=Major Blevins	name=James MacDonald	episodes=4 episodes, 2019 	
character=Special Agent John Bowen	name=Michael Broderick	episodes=4 episodes, 2019 	
character=Richard Geldof	name=C.S. Lee	episodes=4 episodes, 2015 	
character=Special Agent Burt Diller	name=Tim Griffin	episodes=4 episodes, 2019 	
character=Cynthia Woodrugh	name=Lolita Davidovich	episodes=4 episodes, 2015 	
character=Detective	name=Tony Molina Jr.	episodes=4 episodes, 2014 	
character=Tony Chessani	name=Vinicius Zorin-Machado	episodes=4 episodes, 2015 	
character=Chad Velcoro	name=Trevor Larcom	episodes=4 episodes, 2015 	
character=Eddie	name=Brian Oerly	episodes=4 episodes, 2019 	
character=Year Old Julie Purcell	name=Bea Santos	episodes=4 episodes, 2019 	
character=Commander Floyd Heschmeyer	name=Matt Battaglia	episodes=4 episodes, 2015 	
character=Michael Bulgari	name=Sol Landerman	episodes=4 episodes, 2015 	
character=Maisie Hart	name=Meghan Wolfe	episodes=4 episodes, 2014 	
character=Detective Morelli	name=Myk Watford	episodes=4 episodes, 2019 	
character=Eliot Bezzerides	name=David Morse	episodes=3 episodes, 2015 	
character=Dr. Irving Pitlor	name=Rick Springfield	episodes=3 episodes, 2015 	
character=Detective Mark Daughtry	name=Jackson Beals	episodes=3 episodes, 2014 	
character=Errol Childress	name=Glenn Fleshler	episodes=3 episodes, 2014 	
character=Steve Geraci	name=Michael Harney	episodes=3 episodes, 2014 	
character=Police Chief Warren	name=Gareth Williams	episodes=3 episodes, 2019 	
character=James O	name=Alex Fernandez	episodes=3 episodes, 2015 	
character=Neal	name=Alex Fernandez	episodes=3 episodes, 2015 	
