# http://fitlayout.github.io/resource/art63 -> https://www.imdb.com/title/tt0106179/fullcredits/
character=Dana Scully	name=Gillian Anderson	episodes=217 episodes, 1993-2018 	
character=Fox Mulder	name=David Duchovny	episodes=190 episodes, 1993-2018 	
character=Walter Skinner	name=Mitch Pileggi	episodes=91 episodes, 1994-2018 	
character=Smoking Man	name=William B. Davis	episodes=43 episodes, 1993-2018 	
character=John Doggett	name=Robert Patrick	episodes=40 episodes, 2000-2002 	
character=Melvin Frohike	name=Tom Braidwood	episodes=39 episodes, 1994-2018 	
character=John Fitzgerald Byers	name=Bruce Harwood	episodes=37 episodes, 1994-2018 	
character=Ringo	name=Dean Haglund	episodes=36 episodes, 1994-2018 	
character=Langly	name=Dean Haglund	episodes=36 episodes, 1994-2018 	
character=Richard 	name=Dean Haglund	episodes=36 episodes, 1994-2018 	
character=Monica Reyes	name=Annabeth Gish	episodes=26 episodes, 2001-2018 	
character=Alex Krycek	name=Nicholas Lea	episodes=24 episodes, 1994-2002 	
character=Alvin Kersh	name=James Pickens Jr.	episodes=21 episodes, 1998-2018 	
character=Margaret Scully	name=Sheila Larken	episodes=16 episodes, 1994-2016 	
character=Jeffrey Spender	name=Chris Owens	episodes=14 episodes, 1996-2018 	
character=Elder 	name=Don S. Williams	episodes=14 episodes, 1995-1999 	
character=Mr. X	name=Steven Williams	episodes=13 episodes, 1994-2002 	
character=Deep Throat	name=Jerry Hardin	episodes=11 episodes, 1993-2002 	
character=Marita Covarrubias	name=Laurie Holden	episodes=10 episodes, 1996-2002 	
character=Teena Mulder	name=Rebecca Toolan	episodes=10 episodes, 1995-2002 	
character=Skinner	name=Arlene Warren	episodes=9 episodes, 1998-2002 	
character=Assistant	name=Arlene Warren	episodes=9 episodes, 1998-2002 	
character=Alien Bounty Hunter	name=Brian Thompson	episodes=9 episodes, 1995-2002 	
character=Chuck Burks	name=Bill Dow	episodes=9 episodes, 1993-2018 	
character=Agent Pendrell	name=Brendan Beiser	episodes=9 episodes, 1995-1997 	
character=Well-Manicured Man	name=John Neville	episodes=8 episodes, 1995-1998 	
character=Baby William	name=Travis Riker	episodes=7 episodes, 2001-2016 	
character=Diana Fowley	name=Mimi Rogers	episodes=6 episodes, 1998-1999 	
character=Baby William	name=James Riker	episodes=6 episodes, 2001-2016 	
character=William Mulder	name=Peter Donat	episodes=6 episodes, 1995-2002 	
character=Brad Follmer	name=Cary Elwes	episodes=6 episodes, 2001-2002 	
character=Gray Haired Man	name=Morris Panych	episodes=6 episodes, 1995-1997 	
character=Section Chief Scott Blevins	name=Charles Cioffi	episodes=5 episodes, 1993-1997 	
character=Elder	name=John Moore	episodes=3 episodes, 1995-1998 	
character=Detective	name=Bob Wilde	episodes=1 episode, 1993-1998 	
character=Albert Hosteen	name=Red Crow	episodes=5 episodes, 1995-1999 	
character=Albert Hosteen	name=Westerman	episodes=5 episodes, 1995-1999 	
character=Albert Hosteen	name=Floyd 	episodes=5 episodes, 1995-1999 	
character=Buddy	name=Alex Diakun	episodes=5 episodes, 1995-2018 	
character=Michael Kritschgau	name=John Finn	episodes=5 episodes, 1997-1999 	
character=Gibson Andrew Praise	name=Jeff Gulka	episodes=5 episodes, 1998-2002 	
character=Agent Gene Crane	name=Kirk B.R. Woller	episodes=5 episodes, 2000-2001 	
character=Dr. Sacks	name=Malcolm Stewart	episodes=5 episodes, 1993-1996 	
