# http://fitlayout.github.io/resource/art68 -> https://www.imdb.com/title/tt2661044/fullcredits/
character=Clarke Griffin	name=Eliza Taylor	episodes=100 episodes, 2014-2020 	
character=Octavia Blake	name=Marie Avgeropoulos	episodes=100 episodes, 2014-2020 	
character=Bellamy Blake	name=Bob Morley	episodes=97 episodes, 2014-2020 	
character=Raven Reyes	name=Lindsey Morgan	episodes=98 episodes, 2014-2020 	
character=John Murphy	name=Richard Harmon	episodes=90 episodes, 2014-2020 	
character=Dr. Abigail Griffin	name=Paige Turco	episodes=85 episodes, 2014-2020 	
character=Marcus Kane	name=Henry Ian Cusick	episodes=80 episodes, 2014-2019 	
character=Monty Green	name=Christopher Larkin	episodes=72 episodes, 2014-2019 	
character=Nathan Miller	name=Jarod Joseph	episodes=66 episodes, 2014-2020 	
character=Thelonious Jaha	name=Isaiah Washington	episodes=60 episodes, 2014-2018 	
character=Dr. Eric Jackson	name=Sachin Sahel	episodes=59 episodes, 2014-2020 	
character=Jasper Jordan	name=Devon Bostick	episodes=56 episodes, 2014-2017 	
character=Echo	name=Tasya Teles	episodes=54 episodes, 2015-2020 	
character=Indra	name=Adina Porter	episodes=54 episodes, 2014-2020 	
character=Emori	name=Luisa d	episodes=44 episodes, 2015-2020 	
character=Emori	name=Oliveira	episodes=44 episodes, 2015-2020 	
character=Harper McIntyre	name=Chelsey Reist	episodes=40 episodes, 2014-2018 	
character=Lincoln	name=Ricky Whittle	episodes=34 episodes, 2014-2019 	
character=Niylah	name=Jessica Harmon	episodes=32 episodes, 2016-2020 	
character=Madi Griffin	name=Lola Flanery	episodes=31 episodes, 2018-2020 	
character=Jordan Green	name=Shannon Kook	episodes=30 episodes, 2018-2020 	
character=Gaia	name=Tati Gabrielle	episodes=29 episodes, 2017-2020 	
character=Sheidheda	name=JR Bourne	episodes=26 episodes, 2019-2020 	
character=Dr. Gabriel Santiago	name=Chuku Modu	episodes=25 episodes, 2019-2020 	
character=Charmaine Diyoza	name=Ivana Milicevic	episodes=23 episodes, 2018-2020 	
character=Finn Collins	name=Thomas McDonell	episodes=22 episodes, 2014-2019 	
character=Costa	name=Jojo Ahenkorah	episodes=10 episodes, 2014-2017 	
character=A.L.I.E.	name=Erica Cerra	episodes=21 episodes, 2015-2020 	
character=Jacapo Sinclair	name=Alessandro Juliani	episodes=19 episodes, 2014-2017 	
character=Hope Diyoza	name=Shelby Flannery	episodes=17 episodes, 2019-2020 	
character=King Roan	name=Zach McGowan	episodes=17 episodes, 2016-2020 	
character=Lexa	name=Alycia Debnam-Carey	episodes=17 episodes, 2014-2020 	
character=Zoe Monroe	name=Katie Stuart	episodes=15 episodes, 2014-2016 	
character=Charles Pike	name=Michael Beach	episodes=13 episodes, 2016-2019 	
character=Maya Vie	name=Eve Harlow	episodes=13 episodes, 2014-2019 	
character=David Miller	name=Chris Shields	episodes=11 episodes, 2014-2017 	
character=Fox	name=Genevieve Buechner	episodes=11 episodes, 2014-2016 	
character=Paxton 	name=William Miller	episodes=11 episodes, 2018 	
character=Graveyard	name=William Miller	episodes=11 episodes, 2018 	
character=McCreary	name=William Miller	episodes=11 episodes, 2018 	
character=Miles Ezekiel Shaw	name=Jordan Bolger	episodes=11 episodes, 2018-2019 	
character=Bill Cadogan	name=John Pyper-Ferguson	episodes=10 episodes, 2017-2020 	
character=Cage Wallace	name=Johnny Whitworth	episodes=10 episodes, 2014-2015 	
character=Jade Royal Guard	name=Bethany Brown	episodes=10 episodes, 2019 	
character=Nelson	name=Lee Majdoub	episodes=10 episodes, 2019-2020 	
character=Bryan	name=Jonathan Whitesell	episodes=10 episodes, 2016-2017 	
character=Lt. Carl Emerson	name=Toby Levins	episodes=10 episodes, 2015-2016 	
character=Nyko	name=Ty Olsson	episodes=10 episodes, 2014-2017 	
character=Blythe Ann	name=Karen Holness	episodes=10 episodes, 2019-2020 	
character=Jae	name=Dean Marshall	episodes=10 episodes, 2019-2020 	
character=President Dante Wallace	name=Raymond J. Barry	episodes=9 episodes, 2014-2015 	
character=Dr. Lorelei Tsing	name=Rekha Sharma	episodes=9 episodes, 2014-2015 	
character=Hannah Green	name=Donna Yamamoto	episodes=9 episodes, 2016 	
character=Penn	name=Luc Roderique	episodes=9 episodes, 2014-2020 	
character=Major Byrne	name=Kendall Cross	episodes=8 episodes, 2014-2015 	
character=Levitt	name=Jason Diaz	episodes=8 episodes, 2020 	
character=Nikki	name=Alaina Huffman	episodes=8 episodes, 2020 	
character=Trey	name=Tom Stevens	episodes=8 episodes, 2019-2020 	
character=Jeremiah	name=Adam Lolacher	episodes=8 episodes, 2020 	
character=Anya	name=Dichen Lachman	episodes=7 episodes, 2014 	
character=Ilian	name=Chai Hansen	episodes=7 episodes, 2017 	
character=Dr. Simone Lightbourne VI	name=Tattiawna Jones	episodes=7 episodes, 2019 	
character=Luna	name=Nadia Hilker	episodes=7 episodes, 2016-2017 	
character=Kara Cooper	name=Kyra Zagorsky	episodes=7 episodes, 2018 	
character=Sterling	name=Keenan Tracey	episodes=7 episodes, 2014 	
character=Ontari	name=Rhiannon Fish	episodes=7 episodes, 2016 	
character=Sangeda Delegate 	name=Barbara Beall	episodes=7 episodes, 2018 	
character=Brell	name=Barbara Beall	episodes=7 episodes, 2018 	
character=Cassius	name=Sean Kuling	episodes=7 episodes, 2019 	
character=Knight	name=Xavier de Guzman	episodes=7 episodes, 2020 	
character=Rex	name=Sean Quan	episodes=7 episodes, 2020 	
character=Titus	name=Neil Sandilands	episodes=6 episodes, 2016 	
character=Josephine Lightbourne	name=Sara Thompson	episodes=6 episodes, 2019-2020 	
character=John 	name=Aaron Miko	episodes=6 episodes, 2014-2016 	
character=Priya Desai VII	name=Ashleigh LaThrop	episodes=6 episodes, 2019 	
character=Ryker Desai IX	name=Thomas Cocquerel	episodes=6 episodes, 2019 	
character=Riley	name=Ben Sullivan	episodes=6 episodes, 2017 	
character=Sheidheda	name=Dakota Daulby	episodes=6 episodes, 2019-2020 	
character=Sierra Royal Guard	name=Kat Ruston	episodes=6 episodes, 2019 	
character=Lindo	name=Max Montesi	episodes=6 episodes, 2018-2020 	
character=Wells Jaha	name=Eli Goree	episodes=4 episodes, 2014-2017 	
character=Rockline Warrior	name=Paul Lazenby	episodes=4 episodes, 2014-2018 	
character=Ambassador 	name=William Coyne	episodes=1 episode, 2016 	
character=Kyle Wick	name=Steve Talley	episodes=5 episodes, 2014-2015 	
character=Michael Vinson	name=Mike Dopud	episodes=5 episodes, 2018 	
character=Kaylee Lee	name=Sarah-Jane Redmond	episodes=5 episodes, 2019 	
character=Anders	name=Neal McDonough	episodes=5 episodes, 2020 	
character=Gillmer	name=Shaine Jones	episodes=5 episodes, 2016 	
character=Layla	name=Megan Danso	episodes=5 episodes, 2016-2019 	
character=James	name=Camden Filtness	episodes=5 episodes, 2019-2020 	
character=Luca	name=Dylan Kingwell	episodes=5 episodes, 2020 	
character=Believer Boy	name=Max Archibald	episodes=5 episodes, 2020 	
character=Connor	name=Josh Ssettuba	episodes=3 episodes, 2014 	
character=Commander Shumway	name=Terry Chen	episodes=4 episodes, 2014 	
character=Conductor	name=Jonathan Scarfe	episodes=4 episodes, 2020 	
character=Gustus	name=Aleks Paunovic	episodes=4 episodes, 2014-2015 	
character=Cosser	name=Albert Nicholas	episodes=4 episodes, 2018 	
character=Ice Nation Warrior	name=Jarett John	episodes=4 episodes, 2017 	
character=Jones	name=Shane Symons	episodes=4 episodes, 2014-2016 	
character=Council Member 	name=Sharon Taylor	episodes=4 episodes, 2014 	
character=Senior Council Member	name=Bill Marchant	episodes=4 episodes, 2014 	
character=Ethan 	name=St. John Myers	episodes=4 episodes, 2018 	
character=Yrs	name=St. John Myers	episodes=4 episodes, 2018 	
character=Council Member 	name=Hiro Kanagawa	episodes=4 episodes, 2014 	
character=Harris	name=Brad Kelly	episodes=4 episodes, 2014-2018 	
character=Aden	name=Cory Gruter-Andrew	episodes=4 episodes, 2016 	
character=Bree	name=Alyson Bath	episodes=4 episodes, 2014-2017 	
character=Miranda	name=Lucia Walters	episodes=4 episodes, 2019 	
character=Grounder Guard	name=Glenn Ennis	episodes=4 episodes, 2015-2019 	
character=Lee	name=Nick Hunnings	episodes=4 episodes, 2014-2015 	
character=Fio	name=James Michalopolous	episodes=4 episodes, 2015-2017 	
character=Otis	name=Josh Collins	episodes=4 episodes, 2020 	
character=Zev	name=Miles Chalmers	episodes=4 episodes, 2019-2020 	
character=Jake Griffin	name=Chris Browning	episodes=3 episodes, 2014-2019 	
character=Ambassador 	name=Christian Sloan	episodes=3 episodes, 2016 	
character=Singing Grounder	name=Julia Dominczak	episodes=3 episodes, 2016-2018 	
character=Craig	name=Jedidiah Goodacre	episodes=2 episodes, 2015 	
character=Whitman	name=Rob Hayter	episodes=2 episodes, 2014-2015 	
character=Diana Sydney	name=Kate Vernon	episodes=3 episodes, 2014 	
character=Vera Kane	name=Christine Willes	episodes=3 episodes, 2014 	
character=Tristan	name=Joseph Gatt	episodes=3 episodes, 2014 	
character=Queen Nia	name=Brenda Strong	episodes=3 episodes, 2016-2019 	
character=Russell Lightbourne	name=Sean Maguire	episodes=3 episodes, 2019-2020 	
character=Hatch	name=Chad Rook	episodes=3 episodes, 2020 	
character=Vincent Vie	name=Ian Tracey	episodes=3 episodes, 2015 	
character=Hardy	name=Cole Vigue	episodes=3 episodes, 2017 	
character=Roma	name=Celia Reid	episodes=3 episodes, 2014-2016 	
character=Tarik	name=David Lennon	episodes=3 episodes, 2018 	
character=Chase	name=Jared Kurtenbach	episodes=3 episodes, 2016 	
character=Hayes	name=Alex Pangburn	episodes=3 episodes, 2017 	
character=Keenan	name=Em Haine	episodes=3 episodes, 2014 	
character=Denae 	name=Georgia Hacche	episodes=3 episodes, 2016 	
character=Sick Grounder	name=Georgia Hacche	episodes=3 episodes, 2016 	
character=Kane	name=Seth Whittaker	episodes=3 episodes, 2014-2018 	
character=Opponent	name=Seth Whittaker	episodes=3 episodes, 2014-2018 	
character=Rose	name=Amélie Eve	episodes=3 episodes, 2019 	
character=Bryson	name=Ian Butcher	episodes=3 episodes, 2019 	
character=Chris	name=James Neate	episodes=3 episodes, 2015-2016 	
character=Alyssa	name=Britt Irvin	episodes=3 episodes, 2020 	
character=Dante	name=Garfield Wilson	episodes=3 episodes, 2014-2015 	
character=Guard	name=Garfield Wilson	episodes=3 episodes, 2014-2015 	
character=Chivalrous Boy 	name=Darren Mann	episodes=3 episodes, 2014-2015 	
character=Kwame	name=Alex Barima	episodes=3 episodes, 2020 	
character=Mom	name=Leah Hennessey	episodes=3 episodes, 2020 	
character=Luca	name=Leah Hennessey	episodes=3 episodes, 2020 	
character=Dax	name=Victor Zinck Jr.	episodes=2 episodes, 2014-2016 	
character=Chief Guard	name=Primo Allon	episodes=2 episodes, 2014 	
character=Otan	name=Mik Byskov	episodes=2 episodes, 2015-2016 	
character=Drew	name=Levi Meaden	episodes=2 episodes, 2014 	
character=Female Wonkru	name=Cassandra Ebner	episodes=2 episodes, 2018-2020 	
character=Delano	name=Brendon Zub	episodes=1 episode, 2014 	
character=Atom	name=Rhys Ward	episodes=2 episodes, 2014 	
character=Aurora Blake	name=Monique Ganderton	episodes=2 episodes, 2014-2020 	
character=Charlotte	name=Izabela Vidovic	episodes=2 episodes, 2014 	
character=Orlando	name=Darren Moore	episodes=2 episodes, 2020 	
character=Young Hope 	name=Nevis Unipan	episodes=2 episodes, 2020 	
character=Yrs	name=Nevis Unipan	episodes=2 episodes, 2020 	
character=Callie	name=Iola Evans	episodes=2 episodes, 2020 	
character=Boy 	name=Manny Jacinto	episodes=2 episodes, 2014 	
character=Healthy Kid	name=Jake Croker	episodes=2 episodes, 2014 	
character=Gina Martin	name=Leah Gibson	episodes=2 episodes, 2016 	
character=Baylis	name=Bradley Stryker	episodes=2 episodes, 2017 	
character=Karina	name=Jenna Berman	episodes=2 episodes, 2018 	
character=Young Hope 	name=Amber Taylor	episodes=2 episodes, 2020 	
character=Yrs	name=Amber Taylor	episodes=2 episodes, 2020 	
character=Myles	name=Brendan Meyer	episodes=2 episodes, 2014 	
character=Guard	name=Reese Alexander	episodes=2 episodes, 2014-2019 	
character=Ethan	name=Beckham Skodje	episodes=2 episodes, 2017-2018 	
character=Josephine Lightbourne VII	name=Gwynyth Walsh	episodes=2 episodes, 2019 	
character=Joanna	name=Stefania Indelicato	episodes=2 episodes, 2016-2020 	
character=Semet	name=Zak Santiago	episodes=2 episodes, 2016 	
character=Dr. Gabriel Santiago	name=Ian Pala	episodes=2 episodes, 2019 	
character=Mel	name=Tanaya Beatty	episodes=2 episodes, 2014 	
character=Marcus Kane II	name=Greyston Holt	episodes=2 episodes, 2019 	
character=Cillian	name=Carlo Marks	episodes=2 episodes, 2019 	
character=Shoana	name=Sunita Prasad	episodes=2 episodes, 2020 	
character=Captain Meredith	name=Josh Blacker	episodes=2 episodes, 2020 	
character=Denby	name=Michael J Rogers	episodes=2 episodes, 2014-2015 	
character=Red	name=Ben Cotton	episodes=2 episodes, 2014 	
character=Rankin	name=Elfina Luk	episodes=2 episodes, 2018 	
character=Conductor Corbett	name=Malcolm Masters	episodes=2 episodes, 2020 	
character=Royal Guard	name=Darien Martin	episodes=2 episodes, 2018 	
