# http://fitlayout.github.io/resource/art7 -> https://www.imdb.com/title/tt0098904/fullcredits/
character=Jerry Seinfeld	name=Jerry Seinfeld	episodes=172 episodes, 1989-1998 	
character=Elaine Benes	name=Julia Louis-Dreyfus	episodes=171 episodes, 1990-1998 	
character=George Costanza	name=Jason Alexander	episodes=171 episodes, 1989-1998 	
character=Cosmo Kramer	name=Michael Richards	episodes=170 episodes, 1989-1998 	
character=Ruthie Cohen	name=Ruth Cohen	episodes=2 episodes, 1992-1998 	
character=Newman	name=Wayne Knight	episodes=43 episodes, 1992-1998 	
character=Man on Sidewalk	name=Norman Brenner	episodes=7 episodes, 1990-1998 	
character=Susan Ross	name=Heidi Swedberg	episodes=27 episodes, 1992-1997 	
character=Estelle Costanza	name=Estelle Harris	episodes=25 episodes, 1992-1998 	
character=Frank Costanza	name=Jerry Stiller	episodes=24 episodes, 1993-1998 	
character=Helen Seinfeld	name=Liz Sheridan	episodes=20 episodes, 1990-1998 	
character=J. Peterman	name=Hurley	episodes=20 episodes, 1995-1998 	
character=J. Peterman	name=John O	episodes=20 episodes, 1995-1998 	
character=Morty Seinfeld	name=Barney Martin	episodes=19 episodes, 1991-1998 	
character=Uncle Leo	name=Len Lesser	episodes=14 episodes, 1991-1998 	
character=Angry Man	name=Deck McKenzie	episodes=7 episodes, 1991-1997 	
character=Wilhelm	name=Richard Herd	episodes=11 episodes, 1995-1998 	
character=Office Worker	name=Peggy Lane	episodes=5 episodes, 1992-1996 	
character=Lippman	name=Richard Fancy	episodes=10 episodes, 1991-1998 	
character=David Puddy	name=Patrick Warburton	episodes=10 episodes, 1995-1998 	
character=Waitress	name=Lauren Bowles	episodes=7 episodes, 1991-1998 	
character=Justin Pitt	name=Ian Abercrombie	episodes=7 episodes, 1994-1998 	
character=Beck	name=David Blackwood	episodes=7 episodes, 1990-1994 	
character=Mickey Abbott	name=Danny Woodburn	episodes=6 episodes, 1994-1998 	
character=Dugan	name=Joe Urla	episodes=6 episodes, 1996-1998 	
character=Kenny Bania	name=Steve Hytner	episodes=6 episodes, 1994-1998 	
character=Manager	name=Lawrence A. Mandley	episodes=5 episodes, 1993-1996 	
character=Russell Dalrymple	name=Bob Balaban	episodes=5 episodes, 1992-1993 	
character=Tim Whatley	name=Bryan Cranston	episodes=5 episodes, 1994-1997 	
character=Crazy	name=Peter Crombie	episodes=5 episodes, 1992-1993 	
character=Joe Davola	name=Peter Crombie	episodes=5 episodes, 1992-1993 	
character=Henry Ross	name=Warren Frost	episodes=5 episodes, 1992-1998 	
character=Jackie Chiles	name=Phil Morris	episodes=5 episodes, 1995-1998 	
character=Jay Crespi	name=Peter Blood	episodes=5 episodes, 1992-1998 	
character=Stu Chermack	name=Kevin Page	episodes=5 episodes, 1992-1998 	
character=Mrs. Ross	name=Grace Zabriskie	episodes=5 episodes, 1992-1998 	
character=Customer	name=David Richardson	episodes=2 episodes, 1993-1997 	
character=Kruger	name=Daniel von Bargen	episodes=4 episodes, 1997-1998 	
character=Jake Jarmel	name=Marty Rackham	episodes=4 episodes, 1992-1995 	
character=Sue Ellen Mischke	name=Brenda Strong	episodes=4 episodes, 1996-1997 	
character=Carol	name=Lisa Mende	episodes=4 episodes, 1992-1997 	
character=Morgan	name=Tom Wright	episodes=4 episodes, 1994-1995 	
character=Jack Klompus	name=Sandy Baron	episodes=4 episodes, 1991-1997 	
character=Dr. Reston	name=Stephen McHattie	episodes=4 episodes, 1992 	
character=Walter	name=Wayne Wilderson	episodes=4 episodes, 1997-1998 	
character=Joanne	name=Lisa Pescia	episodes=4 episodes, 1993-1994 	
character=Doris	name=Annie Korzen	episodes=4 episodes, 1991-1996 	
character=Receptionist	name=Julie Claire	episodes=4 episodes, 1992-1996 	
character=Dr. Wexler	name=Victor Raider-Wexler	episodes=4 episodes, 1993-1998 	
character=Poppie	name=Reni Santoni	episodes=4 episodes, 1994-1998 	
character=Ping	name=Ping Wu	episodes=3 episodes, 1991-1993 	
character=Marla Penny	name=Jane Leeves	episodes=3 episodes, 1992-1998 	
