# http://fitlayout.github.io/resource/art74 -> https://www.imdb.com/title/tt0402711/fullcredits/
character=Alan Shore	name=James Spader	episodes=101 episodes, 2004-2008 	
character=Denny Crane	name=William Shatner	episodes=101 episodes, 2004-2008 	
character=Shirley Schmidt	name=Candice Bergen	episodes=91 episodes, 2005-2008 	
character=Paul Lewiston	name=Rene Auberjonois	episodes=71 episodes, 2004-2008 	
character=Brad Chase	name=Mark Valley	episodes=70 episodes, 2004-2007 	
character=Denise Bauer	name=Julie Bowen	episodes=52 episodes, 2005-2008 	
character=Jerry Espenson	name=Christian Clemenson	episodes=50 episodes, 2005-2008 	
character=Clarence Bell	name=Gary Anthony Williams	episodes=36 episodes, 2006-2008 	
character=Carl Sack	name=John Larroquette	episodes=33 episodes, 2007-2008 	
character=Katie Lloyd	name=Tara Summers	episodes=33 episodes, 2007-2008 	
character=Judge Clark Brown	name=Henry Gibson	episodes=24 episodes, 2004-2008 	
character=Claire Simms	name=Constance Zimmer	episodes=23 episodes, 2006-2007 	
character=Lori Colson	name=Monica Potter	episodes=21 episodes, 2004-2005 	
character=Tara Wilson	name=Rhona Mitra	episodes=20 episodes, 2004-2005 	
character=Lorraine Weller	name=Saffron Burrows	episodes=20 episodes, 2007-2008 	
character=Bethany Horowitz	name=Meredith Eaton	episodes=18 episodes, 2006-2008 	
character=Whitney Rome	name=Taraji P. Henson	episodes=17 episodes, 2007-2008 	
character=Garrett Wells	name=Justin Mentell	episodes=16 episodes, 2005-2006 	
character=Sara Holt	name=Ryan Michelle Bathe	episodes=16 episodes, 2005-2006 	
character=Catherine Piper	name=Betty White	episodes=16 episodes, 2005-2008 	
character=Jeffrey Coho	name=Craig Bierko	episodes=15 episodes, 2006-2007 	
character=Sally Heep	name=Lake Bell	episodes=14 episodes, 2004-2006 	
character=Gracie Jane	name=Jill Brennan	episodes=11 episodes, 2005-2007 	
character=Melissa Hughes	name=Marisa Coughlan	episodes=12 episodes, 2005-2006 	
character=Judge Robert Sanders	name=Shelley Berman	episodes=11 episodes, 2006-2008 	
character=Judge Paul Resnick	name=Michael Ensign	episodes=10 episodes, 2004-2008 	
character=Judge Victoria Peyton	name=Roma Maffia	episodes=9 episodes, 2007-2008 	
character=A.D.A. Frank Ginsberg	name=Currie Graham	episodes=9 episodes, 2005-2008 	
character=Clerk	name=Takayo Fischer	episodes=9 episodes, 2005-2008 	
character=Judge Willard Reese	name=Ron Canada	episodes=8 episodes, 2006-2008 	
character=Lincoln Meyer	name=David Dean Bottrell	episodes=8 episodes, 2006 	
character=Judge Harvey Cooper	name=Anthony Heald	episodes=8 episodes, 2005-2008 	
character=Attorney Adam Jovanka	name=Mark L. Taylor	episodes=7 episodes, 2006-2008 	
character=Judge Brian Hooper	name=Armin Shimerman	episodes=7 episodes, 2006 	
character=Judge Gloria Weldon	name=Grady	episodes=7 episodes, 2007 	
character=Judge Gloria Weldon	name=Gail O	episodes=7 episodes, 2007 	
character=Reporter	name=Leyna Nguyen	episodes=7 episodes, 2005-2008 	
character=Daniel Post	name=Michael J. Fox	episodes=6 episodes, 2006 	
character=Attorney Melvin Palmer	name=Christopher Rich	episodes=6 episodes, 2005-2008 	
character=Bernard Ferrion	name=Leslie Jordan	episodes=6 episodes, 2005 	
character=Judge Byron Fudd	name=Chuck McCann	episodes=6 episodes, 2007-2008 	
character=Detective John Stephenson	name=John Thaddeus	episodes=6 episodes, 2005-2008 	
character=Anchorman	name=Glen Walker	episodes=6 episodes, 2004-2007 	
character=Bailiff	name=Kurt Scholler	episodes=6 episodes, 2006-2007 	
character=Judge Gordon Kolodny	name=Lou Beatty Jr.	episodes=5 episodes, 2004-2008 	
character=Clerk	name=Laura Henry	episodes=6 episodes, 2004-2007 	
character=Receptionist	name=Rebecca Lin	episodes=5 episodes, 2004-2006 	
character=Receptionist	name=Konstantina Mallios	episodes=2 episodes, 2005-2006 	
character=Chelina Hall	name=Kerry Washington	episodes=5 episodes, 2005-2006 	
character=A.D.A. John Lennox	name=Don McManus	episodes=5 episodes, 2004-2008 	
character=Scott Little	name=Ashton Holmes	episodes=5 episodes, 2006 	
character=A.D.A. Christopher Palmer	name=William Russ	episodes=5 episodes, 2005-2008 	
character=Judge Jamie Atkinson	name=Francesca P. Roberts	episodes=5 episodes, 2005-2008 	
character=Dr. Zachary Simon	name=Curtis Armstrong	episodes=5 episodes, 2006 	
character=Beverly Bridge	name=Joanna Cassidy	episodes=5 episodes, 2006 	
character=Bella Horowitz	name=Delta Burke	episodes=5 episodes, 2006-2007 	
character=Bailiff	name=Mark Edward Smith	episodes=5 episodes, 2005-2008 	
character=Barbara Little	name=Katey Sagal	episodes=5 episodes, 2006 	
character=A.D.A. Jonathan Winant	name=Tyler Labine	episodes=4 episodes, 2006 	
character=Walter Seymore	name=Steven Anderson	episodes=4 episodes, 2004-2008 	
character=Clerk	name=Zylan Brooks	episodes=5 episodes, 2005-2006 	
character=Ivan Tiggs	name=Tom Selleck	episodes=4 episodes, 2006 	
character=Marlene Stanger	name=Parker Posey	episodes=4 episodes, 2006 	
character=Rachel Lewiston	name=Jayne Brook	episodes=4 episodes, 2006 	
character=Edwin Poole	name=Larry Miller	episodes=4 episodes, 2004-2008 	
character=Attorney Morrison	name=Andy Umberger	episodes=4 episodes, 2005-2008 	
character=Emma Path	name=Pamela Adlon	episodes=4 episodes, 2007-2008 	
character=Leigh Swift	name=Mary Gross	episodes=4 episodes, 2007-2008 	
character=A.D.A. Holly Raines	name=Ana Ortiz	episodes=4 episodes, 2006 	
character=Missy Tiggs	name=Meredith Patterson	episodes=4 episodes, 2006-2008 	
character=Judge Patrice Webb	name=Debra Mooney	episodes=4 episodes, 2007-2008 	
character=Joanna Monroe	name=Jane Lynch	episodes=4 episodes, 2006-2008 	
character=Judge Peter Harding	name=Richard Portnow	episodes=4 episodes, 2004-2006 	
character=Detective Frank Richmond	name=Vic Polizos	episodes=4 episodes, 2005-2006 	
character=Clerk	name=Nicole J. Butler	episodes=4 episodes, 2007-2008 	
character=Bailiff	name=Marcus Folmar	episodes=4 episodes, 2006-2008 	
character=Clerk	name=Karen Lew	episodes=4 episodes, 2007-2008 	
character=Attorney Samantha Fried	name=Erica Gimpel	episodes=3 episodes, 2006-2007 	
character=Sam Halpern	name=Eric Payne	episodes=3 episodes, 2004-2006 	
character=Reporter	name=Ted Garcia	episodes=4 episodes, 2006-2008 	
character=Judge Dale Melman	name=Richard V. Licata	episodes=4 episodes, 2005-2006 	
character=Female Server	name=Deena Dill	episodes=4 episodes, 2006 	
character=Donny Crane	name=Freddie Prinze Jr.	episodes=3 episodes, 2004-2006 	
character=Renee Winger	name=Missi Pyle	episodes=3 episodes, 2006-2008 	
character=Judge Robert Thompson	name=Howard Hesseman	episodes=3 episodes, 2006-2007 	
character=Vanessa Walker	name=Nia Long	episodes=3 episodes, 2007 	
character=Joseph Washington	name=Craig muMs Grant	episodes=3 episodes, 2007 	
character=Nora Jacobs	name=Keefe	episodes=3 episodes, 2004-2005 	
character=Nora Jacobs	name=Jodi Lyn O	episodes=3 episodes, 2004-2005 	
character=A.D.A. Stewart Betts	name=Peter Onorati	episodes=3 episodes, 2007-2008 	
character=Hyung Lee	name=Ming Lo	episodes=3 episodes, 2004-2008 	
character=Judge Harry Hingham	name=H. Richard Greene	episodes=3 episodes, 2004-2005 	
character=Dana Strickland	name=Rachelle Lefevre	episodes=3 episodes, 2008 	
character=Marshall Kennedy	name=Jim Jansen	episodes=3 episodes, 2007-2008 	
character=Attorney Michael Eaves	name=Mark Derwin	episodes=3 episodes, 2005-2007 	
character=A.D.A. Otto Beedle	name=Patrick Breen	episodes=3 episodes, 2006-2007 	
character=Justice Antonin Scalia	name=Jack Shearer	episodes=3 episodes, 2004-2008 	
character=Judge William Howe	name=Frank Birney	episodes=3 episodes, 2004-2007 	
character=Reverend Donald Diddum	name=Kurt Fuller	episodes=3 episodes, 2005 	
character=Tim Bauer	name=Shawn Christian	episodes=3 episodes, 2005 	
character=Attorney Michael Roker	name=Pat Skipper	episodes=3 episodes, 2005-2008 	
character=A.D.A. Warren Peters	name=Patrick Renna	episodes=3 episodes, 2005-2007 	
character=D.A. Valerie Murrow	name=Lisa Kaminir	episodes=3 episodes, 2005 	
character=A.D.A. Douglas Kupfer	name=Adam Arkin	episodes=3 episodes, 2006 	
character=Judge Leslie Bishop	name=Patricia Belcher	episodes=3 episodes, 2004-2007 	
character=Officer Carl Ralston	name=Randy Thompson	episodes=3 episodes, 2006-2007 	
character=Michael Schiller	name=Ethan Phillips	episodes=3 episodes, 2006 	
character=Judge Blake Winters	name=Thom Gossom Jr.	episodes=3 episodes, 2005-2006 	
character=Clifford Cabot	name=Ed Begley Jr.	episodes=3 episodes, 2006-2007 	
