# http://fitlayout.github.io/resource/art75 -> https://www.imdb.com/title/tt10147644/fullcredits/
character=Mateo Vidal	name=Mario Casas	episodes=8 episodes, 2021 	
character=Sáez	name=Xavi Sáez	episodes=8 episodes, 2021 	
character=Gallardo	name=Santi Pons	episodes=8 episodes, 2021 	
character=Anibal	name=Sam Feuer	episodes=8 episodes, 2021 	
character=Olivia Costa	name=Aura Garrido	episodes=7 episodes, 2021 	
character=Lorena Ortiz	name=Alexandra Jiménez	episodes=7 episodes, 2021 	
character=Teo Aguilar	name=Jose Coronado	episodes=7 episodes, 2021 	
character=Kimmy Dale	name=Martina Gusman	episodes=7 episodes, 2021 	
character=María Luján	name=Juana Acosta	episodes=7 episodes, 2021 	
character=Hermana Irene	name=Susi Sánchez	episodes=7 episodes, 2021 	
character=Aníbal Ledesma	name=Miki Esparbé	episodes=6 episodes, 2021 	
character=Zoe	name=Anna Alarcón	episodes=6 episodes, 2021 	
character=Comisario Oliete	name=Josean Bengoetxea	episodes=6 episodes, 2021 	
character=Bruno Soto	name=Oriol Vila	episodes=6 episodes, 2021 	
character=Lavanda	name=Aysha Daraaui	episodes=6 episodes, 2021 	
character=Ana	name=Natalia Bilbao	episodes=6 episodes, 2021 	
character=Mara	name=Mima Riera	episodes=5 episodes, 2021 	
character=Oscar Crespo	name=Javier Beltrán	episodes=5 episodes, 2021 	
character=Amanda Prieto	name=Lluïsa Mallol	episodes=5 episodes, 2021 	
character=Jaime	name=Gonzalo de Castro	episodes=4 episodes, 2021 	
character=Sonia	name=Ana Wagener	episodes=4 episodes, 2021 	
character=Isma	name=Jordi Coll	episodes=4 episodes, 2021 	
character=Carlos	name=Oriol Guinart	episodes=4 episodes, 2021 	
character=Cassandra	name=Asia Ortega	episodes=4 episodes, 2021 	
character=Daniel	name=Eudald Font	episodes=4 episodes, 2021 	
character=Roberto Aranda	name=Pedro Hernández	episodes=4 episodes, 2021 	
character=Romero	name=Toro Cuenca	episodes=4 episodes, 2021 	
character=Hugo	name=Alejandro Albarracín	episodes=3 episodes, 2021 	
character=Eva	name=Ariadna Cabrol	episodes=3 episodes, 2021 	
character=Pastor	name=Marc Rodríguez	episodes=3 episodes, 2021 	
character=Paula	name=Aina Planas	episodes=3 episodes, 2021 	
character=Carla	name=Mireia Vilapuig	episodes=3 episodes, 2021 	
character=Carmen	name=Montse Morillo	episodes=3 episodes, 2021 	
character=Jose	name=David Vert	episodes=3 episodes, 2021 	
character=Lorena 7 años	name=Ainhara Rodríguez	episodes=3 episodes, 2021 	
character=Bea	name=Cristina Genebat	episodes=3 episodes, 2021 	
character=Sofía	name=Joana Belmonte	episodes=3 episodes, 2021 	
character=Laura	name=Louise Good	episodes=3 episodes, 2021 	
character=Toni Osias	name=Miquel Sitjar	episodes=3 episodes, 2021 	
character=Presentadora TV	name=Tània Sarrias	episodes=3 episodes, 2021 	
character=Ana	name=Cristina Murillo	episodes=3 episodes, 2021 	
character=Menor hangar	name=Yoharis de Lopo	episodes=3 episodes, 2021 	
character=Botones hotel	name=Jordi Vidal	episodes=3 episodes, 2021 	
character=Max	name=Martín Noriega	episodes=2 episodes, 2021 	
character=Alex	name=Cocó Salvador	episodes=2 episodes, 2021 	
character=Claudia	name=Zoe Arnao	episodes=2 episodes, 2021 	
character=Preso 1	name=Ricardo Cerezo	episodes=2 episodes, 2021 	
character=Mujer UDE	name=Ariadna de Guzmán	episodes=2 episodes, 2021 	
character=Preso 2	name=Toni Cayuela	episodes=2 episodes, 2021 	
character=Javi	name=Nico Conde	episodes=2 episodes, 2021 	
character=Lucía	name=Paloma Otero	episodes=2 episodes, 2021 	
character=Marcos	name=Joan Pedrola	episodes=2 episodes, 2021 	
character=Hernán	name=Adrià Escudero	episodes=2 episodes, 2021 	
character=Cliente cadena	name=Àlex Esteve	episodes=2 episodes, 2021 	
character=Blackmail Client	name=Victor Solé	episodes=2 episodes, 2021 	
character=Otis Friedman	name=Frank Feys	episodes=2 episodes, 2021 	
character=Gonzalo	name=Alex Ricart	episodes=2 episodes, 2021 	
character=Matías Oddone	name=Xavi Lite	episodes=2 episodes, 2021 	
character=Psicólogo	name=Armand Villén	episodes=2 episodes, 2021 	
character=Ginecólogo	name=Bernat Muñoz	episodes=2 episodes, 2021 	
character=Presentador informativo	name=Eduard Gibert	episodes=2 episodes, 2021 	
character=Vendedor	name=Xavier Pàmies	episodes=2 episodes, 2021 	
