# http://fitlayout.github.io/resource/art85 -> https://www.imdb.com/title/tt2442560/fullcredits/
character=Thomas Shelby	name=Cillian Murphy	episodes=36 episodes, 2013-2022 	
character=Arthur Shelby	name=Paul Anderson	episodes=36 episodes, 2013-2022 	
character=Ada Shelby	name=Sophie Rundle	episodes=36 episodes, 2013-2022 	
character=Polly Gray	name=Helen McCrory	episodes=30 episodes, 2013-2022 	
character=Charlie Strong	name=Ned Dennehy	episodes=27 episodes, 2013-2022 	
character=Michael Gray	name=Finn Cole	episodes=27 episodes, 2014-2022 	
character=Lizzie Stark	name=Natasha O	episodes=27 episodes, 2013-2022 	
character=Lizzie Stark	name=Keeffe	episodes=27 episodes, 2013-2022 	
character=Curly	name=Ian Peck	episodes=27 episodes, 2013-2022 	
character=Finn Shelby	name=Harry Kirton	episodes=25 episodes, 2014-2022 	
character=Johnny Dogs	name=Packy Lee	episodes=23 episodes, 2013-2022 	
character=John Shelby	name=Joe Cole	episodes=21 episodes, 2013-2017 	
character=Grace Burgess	name=Annabelle Wallis	episodes=19 episodes, 2013-2019 	
character=Linda Shelby	name=Kate Phillips	episodes=17 episodes, 2016-2022 	
character=Esme Shelby	name=Aimee-Ffion Edwards	episodes=17 episodes, 2013-2022 	
character=Sergeant Moss	name=Tony Pitts	episodes=15 episodes, 2013-2017 	
character=Jeremiah Jesus	name=Benjamin Zephaniah	episodes=14 episodes, 2013-2022 	
character=Alfie Solomons	name=Tom Hardy	episodes=13 episodes, 2014-2022 	
character=Isaiah Jesus	name=Jordan Bolger	episodes=12 episodes, 2014-2017 	
character=Gina Gray	name=Anya Taylor-Joy	episodes=11 episodes, 2019-2022 	
character=Oswald Mosley	name=Sam Claflin	episodes=11 episodes, 2019-2022 	
character=Isaiah Jesus	name=Daryl McCormack	episodes=11 episodes, 2019-2022 	
character=Aberama Gold	name=Aidan Gillen	episodes=10 episodes, 2017-2022 	
character=Jessie Eden	name=Charlie Murphy	episodes=8 episodes, 2017-2019 	
character=Frances	name=Pauline Turner	episodes=8 episodes, 2017-2022 	
character=Lancaster Officer Mulchay	name=Dave Simon	episodes=6 episodes, 2017-2022 	
character=Charles Shelby	name=Jensen Clarke	episodes=7 episodes, 2017-2022 	
character=Local Woman	name=Patricia Winker	episodes=1 episode, 2013-2019 	
character=Luca Changretta	name=Adrien Brody	episodes=6 episodes, 2017 	
character=Freddie Thorne	name=Iddo Goldberg	episodes=6 episodes, 2013 	
character=May Carleton	name=Charlotte Riley	episodes=6 episodes, 2014-2017 	
character=Finn Shelby	name=Alfie Evans-Meese	episodes=6 episodes, 2013 	
character=Darby Sabini	name=Noah Taylor	episodes=6 episodes, 2014 	
character=Ruben Oliver	name=Alexander Siddig	episodes=6 episodes, 2016 	
character=Princess Tatiana Petrovna	name=Gaite Jansen	episodes=6 episodes, 2016 	
character=Scudboat	name=Kevin Metcalfe	episodes=2 episodes, 2013 	
character=Diana Mitford	name=Amber Anderson	episodes=5 episodes, 2022 	
character=Jimmy McCavern	name=Brian Gleeson	episodes=5 episodes, 2019 	
character=Ollie	name=Adam El Hagar	episodes=5 episodes, 2014 	
