# http://fitlayout.github.io/resource/art86 -> https://www.imdb.com/title/tt6048596/fullcredits/
character=Harry Ambrose	name=Bill Pullman	episodes=32 episodes, 2017-2021 	
character=Sonya Barzel	name=Jessica Hecht	episodes=12 episodes, 2020-2021 	
character=Dan Leroy	name=Dohn Norwood	episodes=9 episodes, 2017-2018 	
character=Police Chief	name=Adam LeFevre	episodes=9 episodes, 2017-2020 	
character=Cora Tannetti	name=Jessica Biel	episodes=8 episodes, 2017 	
character=Mason Tannetti	name=Christopher Abbott	episodes=8 episodes, 2017 	
character=Vera Walker	name=Carrie Coon	episodes=8 episodes, 2018 	
character=Meg Muldoon	name=Frances Fisher	episodes=8 episodes, 2021 	
character=Heather Novack	name=Natalie Paul	episodes=8 episodes, 2018 	
character=Percy Muldoon	name=Alice Kremelberg	episodes=8 episodes, 2021 	
character=Vic Soto	name=Eddie Martinez	episodes=8 episodes, 2020 	
character=Caitlin Sullivan	name=Abby Miller	episodes=8 episodes, 2017 	
character=Marin Calhoun	name=Hannah Gross	episodes=8 episodes, 2018 	
character=Sean Muldoon	name=Neal Huff	episodes=8 episodes, 2021 	
character=Julian Walker	name=Elisha Henig	episodes=8 episodes, 2018 	
character=Jamie	name=Matt Bomer	episodes=8 episodes, 2020 	
character=Jack Novack	name=Tracy Letts	episodes=8 episodes, 2018 	
character=Colin Muldoon	name=Michael Mosley	episodes=8 episodes, 2021 	
character=Maddie	name=Danielle Burgess	episodes=8 episodes, 2017 	
character=Leela Burns	name=Parisa Fitz-Henley	episodes=7 episodes, 2020 	
character=Stephanie Lam	name=Cindy Cheung	episodes=7 episodes, 2021 	
character=Mike Lam	name=Ronin Wong	episodes=7 episodes, 2021 	
character=Elizabeth Lacey	name=Enid Graham	episodes=7 episodes, 2017 	
character=William	name=C.J. Wilson	episodes=7 episodes, 2017 	
character=Chief Lou Raskin	name=Joe Cobden	episodes=7 episodes, 2021 	
character=Brickowski	name=David Call	episodes=7 episodes, 2018 	
character=Brick	name=David Call	episodes=7 episodes, 2018 	
character=Andy 	name=David Call	episodes=7 episodes, 2018 	
character=Rori Barnhill	name=Dani Deetté	episodes=7 episodes, 2020 	
character=Chief Tom Lidell	name=Jay O. Sanders	episodes=7 episodes, 2018 	
character=Brandon Keyser	name=Gharrett Patrick Paon	episodes=7 episodes, 2021 	
character=J.D.	name=Jacob Pitts	episodes=6 episodes, 2017 	
character=Fiona	name=Brooke Bloom	episodes=6 episodes, 2020 	
character=CJ Lam	name=David Huynh	episodes=6 episodes, 2021 	
character=Emma Hughes	name=Layla Felder	episodes=6 episodes, 2020 	
character=Mother	name=Allison Case	episodes=6 episodes, 2018-2020 	
character=Harry	name=Allison Case	episodes=6 episodes, 2018-2020 	
character=Officer Josh Moore	name=Zach Faye	episodes=6 episodes, 2021 	
character=Public Defender	name=Susan Pourfar	episodes=6 episodes, 2017 	
character=Cora	name=Susan Pourfar	episodes=6 episodes, 2017 	
character=Terry	name=Michael Mann	episodes=6 episodes, 2018 	
character=Young Ambrose	name=Brady Jenness	episodes=6 episodes, 2018 	
character=Melanie	name=Leslie Fray	episodes=5 episodes, 2017-2020 	
character=Nick Haas	name=Chris Messina	episodes=5 episodes, 2020 	
character=Bess McTeer	name=Ellen Adair	episodes=5 episodes, 2018 	
character=Fay Ambrose	name=Kathryn Erbe	episodes=5 episodes, 2017 	
character=Lorna Tannetti	name=Arbanville	episodes=5 episodes, 2017 	
character=Lorna Tannetti	name=Patti D	episodes=5 episodes, 2017 	
character=Castillo	name=Mercedes de la Zerda	episodes=5 episodes, 2021 	
character=Em	name=Mercedes de la Zerda	episodes=5 episodes, 2021 	
character=Emiliana 	name=Mercedes de la Zerda	episodes=5 episodes, 2021 	
character=Judge Barrett	name=Peggy Gormley	episodes=5 episodes, 2017 	
character=Sharon	name=Meredith Holzman	episodes=5 episodes, 2017 	
character=Garrett	name=Maceo Oliver	episodes=5 episodes, 2018 	
character=Glen Fisher	name=Marc Menchaca	episodes=4 episodes, 2018 	
character=Adult Phoebe 	name=Nadia Alexander	episodes=4 episodes, 2017 	
character=D.A. Hutchinson	name=Victor Williams	episodes=4 episodes, 2018 	
character=Ron Tannetti	name=Robert Funaro	episodes=4 episodes, 2017 	
character=Brian	name=Phillip James Brannon	episodes=4 episodes, 2020 	
character=Frankie Belmont	name=Eric Todd	episodes=4 episodes, 2017 	
character=Eli	name=Luke David Blumm	episodes=4 episodes, 2020 	
character=District Attorney Lopez	name=Joseph Melendez	episodes=4 episodes, 2017 	
character=Don Lanier	name=Monte Murray	episodes=4 episodes, 2021 	
character=Laine Tannetti	name=Grayson Eddey	episodes=4 episodes, 2017 	
character=Bailiff	name=Jacob Berger	episodes=4 episodes, 2017 	
character=Captain Anne Farmer	name=Joanna Adler	episodes=3 episodes, 2017 	
character=Lionel Jeffries	name=Brennan Brown	episodes=3 episodes, 2018 	
character=Benji Shaw	name=Samrat Chakrabarti	episodes=3 episodes, 2018 	
character=Adam Lowry	name=Adam David Thompson	episodes=3 episodes, 2018 	
character=Matias Lorcas	name=Olli Haaskivi	episodes=3 episodes, 2018 	
character=Elsa Belmont	name=Orlagh Cassidy	episodes=3 episodes, 2017 	
character=Dad	name=Christopher Innvar	episodes=3 episodes, 2017 	
character=Frankie	name=Christopher Innvar	episodes=3 episodes, 2017 	
character=Belle Kayser	name=Martha Irving	episodes=3 episodes, 2021 	
character=Rhonda	name=Nikki Barnett	episodes=3 episodes, 2021 	
character=Nell	name=Faye Yvette McQueen	episodes=3 episodes, 2018 	
character=D	name=Faye Yvette McQueen	episodes=3 episodes, 2018 	
character=Bruce Herting	name=Robert Cuccioli	episodes=3 episodes, 2017 	
character=Motel Manager	name=Kiran Merchant	episodes=3 episodes, 2018 	
character=Detective Brookes	name=Reid Price	episodes=3 episodes, 2021 	
