# http://fitlayout.github.io/resource/art9 -> https://www.imdb.com/title/tt0330251/fullcredits/
character=Bette Porter	name=Jennifer Beals	episodes=70 episodes, 2004-2009 	
character=Alice Pieszecki	name=Leisha Hailey	episodes=70 episodes, 2004-2009 	
character=Tina Kennard	name=Laurel Holloman	episodes=70 episodes, 2004-2009 	
character=Jenny Schecter	name=Mia Kirshner	episodes=70 episodes, 2004-2009 	
character=Shane McCutcheon	name=Kate Moennig	episodes=70 episodes, 2004-2009 	
character=Kit Porter	name=Pam Grier	episodes=70 episodes, 2004-2009 	
character=Helena Peabody	name=Rachel Shelley	episodes=54 episodes, 2005-2009 	
character=Max Sweeney	name=Daniel Sea	episodes=44 episodes, 2006-2009 	
character=Dana Fairbanks	name=Erin Daniels	episodes=39 episodes, 2004-2007 	
character=Jodi Lerner	name=Marlee Matlin	episodes=29 episodes, 2007-2009 	
character=Tasha Williams	name=Rose Rollins	episodes=28 episodes, 2007-2009 	
character=Carmen de la Pica Morales	name=Sarah Shahi	episodes=25 episodes, 2005-2009 	
character=Angus Partridge	name=Dallas Roberts	episodes=25 episodes, 2006-2009 	
character=James	name=Preston Cook	episodes=24 episodes, 2004-2009 	
character=Angelica	name=Olivia Windbiel	episodes=24 episodes, 2006-2009 	
character=Lara Perkins	name=Lauren Lee Smith	episodes=20 episodes, 2004-2006 	
character=Phyllis Kroll	name=Cybill Shepherd	episodes=18 episodes, 2007-2009 	
character=Tom Mater	name=Jon Wolfe Nelson	episodes=17 episodes, 2007-2009 	
character=Marina Ferrer	name=Karina Lombard	episodes=16 episodes, 2004-2009 	
character=Tim Haspel	name=Eric Mabius	episodes=16 episodes, 2004-2009 	
character=Joyce Wischnia	name=Jane Lynch	episodes=15 episodes, 2005-2009 	
character=Niki Stevens	name=Kate French	episodes=15 episodes, 2008-2009 	
character=Dylan Moreland	name=Alexandra Hedison	episodes=14 episodes, 2006-2009 	
character=Aaron Kornbluth	name=Brian Markinson	episodes=13 episodes, 2007-2009 	
character=Papi	name=Janina Gavankar	episodes=12 episodes, 2007-2009 	
character=Adele Channing	name=Malaya Rivera Drew	episodes=12 episodes, 2008-2009 	
character=Shay McCutcheon	name=Aidan Jarrar	episodes=11 episodes, 2006-2007 	
character=Mark Wayland	name=Eric Lively	episodes=10 episodes, 2005 	
character=Paige Sobel	name=Kristanna Loken	episodes=10 episodes, 2007-2008 	
character=Tonya	name=Meredith McGeachie	episodes=10 episodes, 2004-2006 	
character=Peggy Peabody	name=Holland Taylor	episodes=9 episodes, 2004-2009 	
character=Franklin Phillips	name=Michael Tomlinson	episodes=9 episodes, 2004-2005 	
character=Molly Kroll	name=Clementine Ford	episodes=9 episodes, 2007-2009 	
character=Donald	name=Bruce Dawson	episodes=9 episodes, 2006-2007 	
character=Jared Sobel	name=Jackson Allan	episodes=9 episodes, 2007-2008 	
character=Henry	name=Steven Eckholdt	episodes=8 episodes, 2006-2007 	
character=Jun Ying	name=Eileen Bui	episodes=7 episodes, 2005-2007 	
character=Cindi Annabelle Tucker	name=Alicia Leigh Willis	episodes=8 episodes, 2008-2009 	
character=Dawn Denbo	name=Elizabeth Keener	episodes=7 episodes, 2008 	
character=Dr. Wilson	name=Judith Maxie	episodes=7 episodes, 2004-2006 	
character=Dan Foxworthy	name=Daryl Shuttleworth	episodes=7 episodes, 2004-2009 	
character=Wilson	name=Alex Ferris	episodes=7 episodes, 2005-2007 	
character=Billie Blaikie	name=Alan Cumming	episodes=6 episodes, 2006 	
character=Ivan Aycock	name=Kelly Lynch	episodes=6 episodes, 2004-2009 	
character=Sunset Boulevard	name=Roger Cross	episodes=6 episodes, 2009 	
character=Jamie Chen	name=Meiling Melançon	episodes=6 episodes, 2009 	
character=Grace	name=Simone Bailly	episodes=6 episodes, 2007-2008 	
character=Sharon Fairbanks	name=Susan Hogan	episodes=6 episodes, 2004-2006 	
