# http://fitlayout.github.io/resource/art94 -> https://www.imdb.com/title/tt13207736/fullcredits/
character=Jeffrey Dahmer	name=Evan Peters	episodes=10 episodes, 2022 	
character=Lionel Dahmer	name=Richard Jenkins	episodes=9 episodes, 2022 	
character=Shari Dahmer	name=Molly Ringwald	episodes=8 episodes, 2022 	
character=Glenda Cleveland	name=Niecy Nash	episodes=7 episodes, 2022 	
character=Detective Murphy	name=Michael Beach	episodes=6 episodes, 2022 	
character=Patrick Kennedy	name=Colby French	episodes=6 episodes, 2022 	
character=Catherine Dahmer	name=Michael Learned	episodes=5 episodes, 2022 	
character=Shirley Hughes	name=Karen Malina White	episodes=5 episodes, 2022 	
character=Southone Sinthasomphone	name=Khetphet Phagnasay	episodes=5 episodes, 2022 	
character=Somdy Sinthasomphone	name=Phet Mahathongdy	episodes=5 episodes, 2022 	
character=Somsack Sinthasomphone	name=Brayden Maniago	episodes=5 episodes, 2022 	
character=Anouke Sinthasomphone	name=Scott Paophavihanh	episodes=5 episodes, 2022 	
character=Sayamone Sinthasomphone	name=Somlit Inthalangsy	episodes=4 episodes, 2022 	
character=Ronald Flowers	name=Dyllon Burnside	episodes=4 episodes, 2022 	
character=Mildred Lindsey	name=Nikea Gamby-Turner	episodes=4 episodes, 2022 	
character=Chief Arreola	name=David Barrera	episodes=3 episodes, 2022 	
character=Tony Hughes	name=Rodney Burford	episodes=3 episodes, 2022 	
character=Tracy Edwards	name=Shaun J. Brown	episodes=3 episodes, 2022 	
character=Officer Gabrish	name=Matthew Alan	episodes=3 episodes, 2022 	
character=Joyce Dahmer	name=Penelope Ann Miller	episodes=3 episodes, 2022 	
character=Rita Isbell	name=DaShawn Barnes	episodes=3 episodes, 2022 	
character=Officer Balcerzak	name=Scott Michael Morgan	episodes=3 episodes, 2022 	
character=Konerak Sinthasomphone	name=Kieran Tamondong	episodes=3 episodes, 2022 	
character=Sandra Smith	name=Dia Nash	episodes=4 episodes, 2022 	
character=Young Jeffrey Dahmer	name=Nick A. Fisher	episodes=3 episodes, 2022 	
character=Lionel	name=Josh Braaten	episodes=2 episodes, 2022 	
character=Jesse Jackson	name=Nigel Gibbs	episodes=2 episodes, 2022 	
character=Young Joyce Dahmer	name=Savannah Brown	episodes=2 episodes, 2022 	
character=Officer Rauth	name=Mac Brandt	episodes=2 episodes, 2022 	
character=Officer Mueller	name=Grant Harvey	episodes=2 episodes, 2022 	
character=Police Officer	name=Chris Gann	episodes=2 episodes, 2022 	
character=Wally The Butcher	name=Ken Clement	episodes=2 episodes, 2022 	
character=Jacob	name=Maurice Demus	episodes=2 episodes, 2022 	
character=Young Police Officer	name=Mark Reininga	episodes=2 episodes, 2022 	
character=On Camera Reporter	name=Leanne Suter	episodes=2 episodes, 2022 	
character=Christopher Scarver	name=Furly Mac	episodes=2 episodes, 2022 	
character=Officer Kelly	name=Jake Green	episodes=2 episodes, 2022 	
character=Barbara Hughes	name=Amy Mack	episodes=2 episodes, 2022 	
character=African American Sergeant	name=Rodney J. Hobbs	episodes=2 episodes, 2022 	
character=Deputy Chief	name=Clark Moore	episodes=2 episodes, 2022 	
character=Dorothy Straughter	name=Keyla McNeely	episodes=2 episodes, 2022 	
character=Sopa Princewill	name=Raymond Watanga	episodes=2 episodes, 2022 	
character=Will Hughes	name=Corey Timmons	episodes=2 episodes, 2022 	
character=Kim Hughes	name=Kyrsten V. Williams	episodes=2 episodes, 2022 	
character=Doctor	name=Alex Hyde-White	episodes=2 episodes, 2022 	
character=Denise	name=Emma Kennedy	episodes=2 episodes, 2022 	
character=Chaplain Berkum	name=Patrick Day	episodes=2 episodes, 2022 	
character=Stone	name=Jackson Hurst	episodes=2 episodes, 2022 	
character=Biology, NHS Student	name=Bottara Angele	episodes=2 episodes, 2022 	
character=Prosecuting Attorney	name=Karman Graham	episodes=1 episode, 2022 	
character=John Wayne Gacy	name=Dominic Burgess	episodes=1 episode, 2022 	
character=Steven Tuomi	name=Vince Hill-Bedford	episodes=1 episode, 2022 	
character=Chaplain Adams	name=Chris Greene	episodes=1 episode, 2022 	
character=Lawyer	name=Michael Andrew Baker	episodes=1 episode, 2022 	
character=Lionel	name=Michael Andrew Baker	episodes=1 episode, 2022 	
character=Young Shirley Hughes	name=Nikyla Boxley	episodes=1 episode, 2022 	
character=Officer Clyde Reynolds	name=Karl Makinen	episodes=1 episode, 2022 	
character=Charles	name=Blake Cooper Griffin	episodes=1 episode, 2022 	
character=Dean Vaughn	name=Brandon Black	episodes=1 episode, 2022 	
character=Officer 	name=Jesse Bush	episodes=1 episode, 2022 	
character=Detective Rauss	name=Matt Cordova	episodes=1 episode, 2022 	
character=Julie Yang	name=Linda Park	episodes=1 episode, 2022 	
character=Mayor John Norquist	name=Raphael Sbarge	episodes=1 episode, 2022 	
character=Joe Zilber	name=Ken Lerner	episodes=1 episode, 2022 	
character=Dr. Park Dietz - Psychologist	name=Mark Atteberry	episodes=1 episode, 2022 	
character=Judge	name=Thomas Crawford	episodes=1 episode, 2022 	
character=Doctor	name=Noel Arthur	episodes=1 episode, 2022 	
character=Chazz	name=Colin Ford	episodes=1 episode, 2022 	
character=Field Surgeon	name=Hollie Bahar	episodes=1 episode, 2022 	
character=Aaron	name=Ato Blankson-Wood	episodes=1 episode, 2022 	
character=Margaret	name=Olivia Baptista	episodes=1 episode, 2022 	
character=Stenographer	name=Jamela Asha	episodes=1 episode, 2022 	
character=Richard Guerrero	name=Skyler Bible	episodes=1 episode, 2022 	
character=Dottie	name=Karole Foreman	episodes=1 episode, 2022 	
character=Yearbook Girl	name=Fiona Bishop	episodes=1 episode, 2022 	
character=Don	name=Rhoyle Ivy King	episodes=1 episode, 2022 	
character=Judge	name=Ivar Brogger	episodes=1 episode, 2022 	
character=Dr. Larry Weeks	name=Bruce Beatty	episodes=1 episode, 2022 	
character=Blonde Jogger	name=Asa Germann	episodes=1 episode, 2022 	
character=Checkout Woman	name=Ariella Amar	episodes=1 episode, 2022 	
character=Kareem	name=Verton R. Banks	episodes=1 episode, 2022 	
character=Manny	name=Christopher Bencomo	episodes=1 episode, 2022 	
character=Mrs. Hempsill	name=Hope Banks	episodes=1 episode, 2022 	
character=Officer 	name=Matthew Gilmore	episodes=1 episode, 2022 	
character=Physician	name=Aaron Anastasi	episodes=1 episode, 2022 	
character=Dean of Students	name=Aaron Coleman	episodes=1 episode, 2022 	
character=Portage Prison Guard	name=Phil Biedron	episodes=1 episode, 2022 	
character=Jeffrey	name=Ron Bush	episodes=1 episode, 2022 	
character=Lawyer	name=Ron Bush	episodes=1 episode, 2022 	
character=CSI Investigator	name=Joshua Edward Moore	episodes=1 episode, 2022 	
character=Nurse	name=Crystal Coney	episodes=1 episode, 2022 	
character=Larry King	name=J. Paul Boehmer	episodes=1 episode, 2022 	
character=Guidance Counselor	name=Trilby Glover	episodes=1 episode, 2022 	
character=Cashier	name=Anissa Borrego	episodes=1 episode, 2022 	
character=Paul Myers	name=Jacob Chattman	episodes=1 episode, 2022 	
character=Grandson	name=Anias Anozie	episodes=1 episode, 2022 	
character=Glenda	name=Anias Anozie	episodes=1 episode, 2022 	
character=Russell Goldstein	name=David Bowe	episodes=1 episode, 2022 	
character=Roy Ratcliffe	name=Troy Blendell	episodes=1 episode, 2022 	
character=Kevin	name=Cole Capps	episodes=1 episode, 2022 	
character=Rico	name=Jared DeBusk	episodes=1 episode, 2022 	
character=Special Agent	name=Bill Doyle	episodes=1 episode, 2022 	
character=James Doxator	name=Samjai Daniels	episodes=1 episode, 2022 	
character=Susan	name=Stephanie Erb	episodes=1 episode, 2022 	
character=Dennis	name=Adwin Brown	episodes=1 episode, 2022 	
character=Warden Jeff Endicott	name=Scott Broderick	episodes=1 episode, 2022 	
character=Judge Lawrence Gram	name=Michael Adler	episodes=1 episode, 2022 	
character=Clinician	name=Brie Eley	episodes=1 episode, 2022 	
character=Other Kid	name=Brey Chanadet	episodes=1 episode, 2022 	
character=Prisoner 	name=Lacy Diamond	episodes=1 episode, 2022 	
character=Hairstylist	name=Jordan Michael Green	episodes=1 episode, 2022 	
character=Mr. Bertoglio	name=Peter Mackenzie	episodes=1 episode, 2022 	
character=Rick	name=Austin Cauldwell	episodes=1 episode, 2022 	
character=Ron	name=Kyle Butenhoff	episodes=1 episode, 2022 	
character=Bailiff	name=Carlos Arellano	episodes=1 episode, 2022 	
character=Prisoner 	name=Dion LaMarr Harvey	episodes=1 episode, 2022 	
character=Dan	name=Isaac Faulkner	episodes=1 episode, 2022 	
character=Audience Member	name=Molly Baker	episodes=1 episode, 2022 	
character=Young David Dahmer	name=Tenz McCall	episodes=1 episode, 2022 	
character=Dana	name=Celestial	episodes=1 episode, 2022 	
character=Pediatrics Nurse	name=Taneka Johnson	episodes=1 episode, 2022 	
character=Seth	name=Michael Germant	episodes=1 episode, 2022 	
character=Judge Daniel George	name=Grant Davis	episodes=1 episode, 2022 	
character=Paramedic 	name=Tyler Crim	episodes=1 episode, 2022 	
character=Math Teacher	name=Dave Theune	episodes=1 episode, 2022 	
character=Front Desk Police Officer	name=Tempany Deckert	episodes=1 episode, 2022 	
character=Emily Soo	name=Sarah Chang	episodes=1 episode, 2022 	
character=Tina	name=Brittany Giles	episodes=1 episode, 2022 	
