# http://fitlayout.github.io/resource/art99 -> https://www.imdb.com/title/tt7949218/fullcredits/
character=Baba Voss	name=Jason Momoa	episodes=24 episodes, 2019-2022 	
character=Queen Kane	name=Sylvia Hoeks	episodes=24 episodes, 2019-2022 	
character=Maghra	name=Hera Hilmar	episodes=24 episodes, 2019-2022 	
character=Tamacti Jun	name=Christian Camargo	episodes=24 episodes, 2019-2022 	
character=Kofun	name=Archie Madekwe	episodes=24 episodes, 2019-2022 	
character=Haniwa	name=Nesta Cooper	episodes=24 episodes, 2019-2022 	
character=Charlotte	name=Olivia Cheng	episodes=16 episodes, 2021-2022 	
character=Wren	name=Eden Epstein	episodes=16 episodes, 2021-2022 	
character=Lord Harlan	name=Tom Mison	episodes=16 episodes, 2021-2022 	
character=Paris	name=Alfre Woodard	episodes=16 episodes, 2019-2021 	
character=Captain Gosset	name=Martin Roach	episodes=12 episodes, 2021-2022 	
character=Bow Lion	name=Yadira Guevara-Prip	episodes=11 episodes, 2019-2022 	
character=Tormada	name=David Hewlett	episodes=10 episodes, 2021-2022 	
character=Toad	name=Hoon Lee	episodes=8 episodes, 2021 	
character=Edo Voss	name=Dave Bautista	episodes=8 episodes, 2021 	
character=Witchfinder Warrior	name=Josh Blacker	episodes=8 episodes, 2019 	
character=Boots	name=Franz Drameh	episodes=7 episodes, 2019-2021 	
character=Witchfinder Ayura	name=Christian Sloan	episodes=7 episodes, 2019 	
character=Harmony	name=Nina Kiri	episodes=7 episodes, 2021-2022 	
character=Lord Torrance	name=Ron Kennell	episodes=7 episodes, 2021-2022 	
character=Maddox	name=Matthew G. Taylor	episodes=7 episodes, 2022 	
character=Lucien	name=Dean Jagger	episodes=6 episodes, 2022 	
character=Nevla 	name=Tamara Tunie	episodes=6 episodes, 2021-2022 	
character=The Bank	name=Tamara Tunie	episodes=6 episodes, 2021-2022 	
character=Oloman	name=Dayo Okeniyi	episodes=6 episodes, 2019-2022 	
character=Shiloh	name=Murry Peeters	episodes=6 episodes, 2022 	
character=Lord Diego	name=Michael Reventar	episodes=6 episodes, 2021-2022 	
character=Ambassador Trovere	name=Trieste Kelly Dunn	episodes=5 episodes, 2022 	
character=The Military	name=Joe Flanigan	episodes=5 episodes, 2021-2022 	
character=Lu	name=Mainei Kinimaka	episodes=5 episodes, 2019-2022 	
character=The Dreamer	name=Tantoo Cardinal	episodes=4 episodes, 2019 	
character=Gether Bax	name=Mojean Aria	episodes=4 episodes, 2019 	
character=Jerlamarel	name=Joshua Henry	episodes=4 episodes, 2019-2021 	
character=Souter Bax	name=Marilee Talkington	episodes=4 episodes, 2019 	
character=Cora	name=Jessica Harper	episodes=4 episodes, 2019-2021 	
character=Lord Dune	name=Peter Bryant	episodes=4 episodes, 2019 	
character=Matal	name=Bree Klauser	episodes=4 episodes, 2019 	
character=Dax	name=Alex Breaux	episodes=4 episodes, 2021 	
character=Sheva	name=Damaris Lewis	episodes=4 episodes, 2019-2022 	
character=The People	name=James Immekus	episodes=4 episodes, 2021-2022 	
character=Lord Unoa	name=Hiro Kanagawa	episodes=4 episodes, 2019 	
character=Massler	name=Maxime Savaria	episodes=4 episodes, 2021-2022 	
character=Wolffe	name=Riley Klassen	episodes=4 episodes, 2022 	
character=Cutter	name=Timothy Webber	episodes=3 episodes, 2019 	
character=Nyrie	name=Lauren Glazier	episodes=3 episodes, 2019 	
character=Nonni	name=Raven Scott	episodes=3 episodes, 2019-2022 	
character=Frye	name=Adam Morse	episodes=3 episodes, 2021 	
character=Shadow Warrior 	name=Cassandra Naud	episodes=3 episodes, 2019 	
character=Arca	name=Luc Roderique	episodes=3 episodes, 2019 	
character=Trivantian Ayura	name=Stela Trudeau	episodes=3 episodes, 2022 	
character=Shadow Warrior 	name=Shalyn Ferdinand	episodes=3 episodes, 2019 	
character=Kerrigan	name=Luke Humphrey	episodes=3 episodes, 2021 	
character=Guntar	name=Christopher Tai	episodes=3 episodes, 2022 	
character=Rockwell	name=Adrian Groulx	episodes=3 episodes, 2021 	
character=Nellicut	name=Minh Ly	episodes=3 episodes, 2022 	
character=Wallen	name=Craig Burnatowski	episodes=3 episodes, 2022 	
character=Hayah	name=Amani Avery	episodes=3 episodes, 2019-2022 	
character=Yarnes	name=Ryan Boyko	episodes=3 episodes, 2022 	
character=Hoveh	name=Aiyanna Miorin	episodes=3 episodes, 2019-2022 	
character=Trivantian Trebuchet Captain	name=Benton Hudder	episodes=3 episodes, 2022 	
character=Soldier	name=Fraser Aitcheson	episodes=3 episodes, 2021 	
character=Courtier	name=Jefferson Halliday	episodes=3 episodes, 2019 	
character=Lady Benik	name=Farah Merani	episodes=3 episodes, 2022 	
character=Trivantian Soldier	name=Jason Crawford	episodes=3 episodes, 2022 	
character=Overseer	name=Patricia Drake	episodes=2 episodes, 2019 	
character=Lt. Jurado	name=Kamran Fulleylove	episodes=2 episodes, 2019 	
character=Ferik	name=Brandon McGibbon	episodes=2 episodes, 2021 	
character=Sinjay	name=Brianna Clark	episodes=2 episodes, 2019 	
character=Andal	name=Clint Rudderham	episodes=2 episodes, 2021 	
character=Onica	name=Nicole Stamp	episodes=2 episodes, 2021 	
character=Sheena	name=Janai Attieh	episodes=2 episodes, 2022 	
character=Lord Sak	name=Adrian Hough	episodes=2 episodes, 2019 	
character=Sammy	name=Christian Scott	episodes=2 episodes, 2022 	
character=Lady Zee	name=Alex Bulmer	episodes=2 episodes, 2019 	
character=Lord Carne	name=Donovan Tildesley	episodes=2 episodes, 2019 	
character=Lady in Waiting	name=Ellen MacNevin	episodes=2 episodes, 2019 	
character=Baker Lefet	name=Michael Brown	episodes=2 episodes, 2022 	
character=Coal Miner Catal Ina	name=Jimmy Makris	episodes=2 episodes, 2022 	
character=Peltz	name=Patrick Mark	episodes=2 episodes, 2022 	
character=Lieutenant Moss	name=George Nickolas K.	episodes=2 episodes, 2022 	
character=Witchfinder	name=Rey Casiano	episodes=2 episodes, 2021 	
character=Delia	name=Kyra Zagorsky	episodes=1 episode, 2019 	
character=Wech	name=Aleks Paunovic	episodes=1 episode, 2019 	
character=Age 12	name=Jaeden Noel	episodes=1 episode, 2019 	
character=Kofun 	name=Jaeden Noel	episodes=1 episode, 2019 	
character=Ambassador Scopus	name=David Eisner	episodes=1 episode, 2021 	
character=Michaela	name=Kyra Harper	episodes=1 episode, 2022 	
character=Age 12	name=Millie Davis	episodes=1 episode, 2019 	
character=Haniwa 	name=Millie Davis	episodes=1 episode, 2019 	
character=Maldeogo	name=Nicolas Grimes	episodes=1 episode, 2021 	
character=Lady An	name=Gabrielle Rose	episodes=1 episode, 2019 	
character=King	name=Gardiner Millar	episodes=1 episode, 2019 	
character=Scentier 1	name=Camillia Mahal	episodes=1 episode, 2019 	
character=Sammy	name=Christian Darrel Scott	episodes=1 episode, 2019 	
character=Commander Watts	name=Michelle Giroux	episodes=1 episode, 2021 	
character=Rebel Witchfinder	name=Kostas Tourlentes	episodes=1 episode, 2022 	
character=Young Maghra	name=Ava Joy	episodes=1 episode, 2019 	
character=Archer	name=Leo Rano	episodes=1 episode, 2019 	
character=Sheena	name=Jaidyn Triplett	episodes=1 episode, 2019 	
